file,label,kind,start,end,n_numbers,n_refs,producer,artifact,caption
supp,tab:sensitivity_by_model,table*,543,576,0,2,Miscellaneous Scripts/SensitivityAnalysis.py,paper/sensitivity_analysis_all.csv,Kendall's $\tau$ by model and architecture under seven weight vectors. No value is pooled across models.
supp,tab:sensitivity_top1,table*,578,613,200,2,Miscellaneous Scripts/SensitivityAnalysis.py,paper/sensitivity_analysis_all.csv,Sensitivity analysis: Top-1 accuracy (\%) by model and architecture under seven weight vectors.
supp,tab:single_criterion_perturbation,table*,620,652,69,1,Miscellaneous Scripts/SensitivityAnalysis.py,paper/sensitivity_analysis_all.csv,Kendall's $\tau$ by model and architecture under eight single-criterion $\pm 0.05$ weight perturbations. No value is pooled across models.
supp,fig:violin_tau,figure*,698,755,120,0,paper_pipeline/generate_variance_plot_tex.py,paper/per_run_metrics/variance_plots.tex,Violin plots of Kendall's $\tau$ across five runs.
supp,fig:violin_rmse,figure*,758,821,1,0,UNKNOWN,paper/per_run_metrics/per_run_metrics_<model>.csv,Strip plots of Overall RMSE across five runs.
supp,tab:icc,table,832,861,33,1,Miscellaneous Scripts/significance_testing.py,paper/per_run_metrics/significance_tests.xlsx,"ICC(1,1) variance decomposition: fraction of total variance attributable to between-model differences ($\sigma^2_{\text{model}}$) and residual ($\sigma^2_{\text{residual}}$)."
supp,tab:effect_sizes,table,871,897,27,2,Miscellaneous Scripts/significance_testing.py,paper/per_run_metrics/significance_tests.xlsx,"Cliff's $\delta$ effect sizes for pairwise architecture comparisons, shown per model."
supp,tab:bootstrap_ci,table,901,933,132,0,Miscellaneous Scripts/compute_confidence_intervals.py,paper/per_run_metrics/bootstrap_confidence_intervals.xlsx,"Bootstrap 95\% BCa confidence intervals for primary metrics per model (10,000 resamples)."
supp,tab:prompt_ablation,table*,940,982,3,1,Miscellaneous Scripts/run_prompt_ablation_experiments.py,Analysis/Prompt_Ablation/prompt_ablation_summary.xlsx,"Prompt-sensitivity ablation. Within each model, every $\mathcal{A}_{\text{E}}$ configuration remains above every $\mathcal{A}_{\text{D}}$ configuration on Kendall's $\tau$, so no p"
supp,tab:prompt_friedman,table,991,1016,22,1,Miscellaneous Scripts/test_prompt_ablation_significance.py,Analysis/Prompt_Ablation/prompt_ablation_friedman_tests.xlsx,"Prompt ablation: Friedman omnibus tests for $\mathcal{A}_{\text{E}}$, corrected across the full 16-test family (both architectures, all four models, both metrics)."
supp,tab:prompt_pairwise,table,1018,1041,63,1,Miscellaneous Scripts/test_prompt_ablation_significance.py,Analysis/Prompt_Ablation/prompt_ablation_posthoc_tests.xlsx,"Prompt ablation: significant pairwise comparisons (Holm-corrected post-hoc, run only within omnibus families that survived correction)."
supp,tab:param_provenance,table*,1046,1080,25,1,Miscellaneous Scripts/run_hybrid_ablation_experiments.py,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,"Ranking accuracy of $\mathcal{A}_{\text{H}}$ with true, LLM-extracted, and corpus-median hidden parameters. Significance testing on these conditions follows."
supp,tab:imputed_comparison,table,1098,1139,215,1,paper_pipeline/generate_imputed_robustness_tables.py,Analysis/MetricsSummary/metrics_summary_all_models_imputed_perrun.xlsx,Comparison of per-run-then-average (Method A) vs per-run imputed (0.5 midpoint) aggregation. $\mathcal{A}_{\text{D}}$ and $\mathcal{A}_{\text{E}}$ values are means across all four 
supp,tab:overall_by_model,table,1153,1193,0,2,paper_pipeline/generate_paper_results_numbers.py,paper/per_run_metrics/per_run_metrics_<model>.csv,"Overall performance by model (5-run mean $\pm$ std, 195 scenarios; Top-2 accuracy is a single run-averaged value, not tracked with std). Bolded values indicate the best architectur"
