phase,quantity,model,decision_type,metric,value,note
before,AH_pipeline,gptoss,Overall,success_rate,0.88,
before,AH_pipeline,qwen,Overall,kendall_tau,0.8801,
before,AH_pipeline,qwen,Overall,top1,0.89724,
before,AH_pipeline,qwen,Overall,mae,0.07178,
before,AH_pipeline,qwen,Overall,n_scored,973,
before,AH_pipeline,qwen,HVAC,kendall_tau,0.8813000000000001,
before,AH_pipeline,qwen,HVAC,top1,0.8736599999999999,
before,AH_pipeline,qwen,HVAC,mae,0.056620000000000004,
before,AH_pipeline,qwen,HVAC,n_scored,348,
before,AH_pipeline,qwen,Appliance,kendall_tau,0.9056200000000001,
before,AH_pipeline,qwen,Appliance,top1,0.92926,
before,AH_pipeline,qwen,Appliance,mae,0.11764000000000001,
before,AH_pipeline,qwen,Appliance,n_scored,325,
before,AH_pipeline,qwen,Shower,kendall_tau,0.8511200000000001,
before,AH_pipeline,qwen,Shower,top1,0.89,
before,AH_pipeline,qwen,Shower,mae,0.0397,
before,AH_pipeline,qwen,Shower,n_scored,300,
before,AH_pipeline,qwen,Overall,success_rate,0.997948717948718,
before,DM_param,all,HVAC,r_value,16.0,
before,DM_param,all,HVAC,seer,13.0,
before,DM_param,all,HVAC,hvac_age,18.0,
before,DM_param,all,HVAC,occupancy_context,occupied_all_day,
before,DM_param,all,Appliance,kwh_per_cycle,1.15,
before,DM_param,all,Appliance,appliance,dryer,
before,DM_param,all,Appliance,baseline_time,2:00 PM,
before,DM_param,all,Shower,gpm,2.5,
before,DM_param,all,Shower,tank_size,50.0,
before,DM_param,all,Shower,water_heater_temp,120.0,
before,hybrid:default_params,deepseek,Overall,kendall_tau,0.6410256410256411,
before,hybrid:default_params,deepseek,Overall,top1,0.7692307692307693,
before,hybrid:default_params,deepseek,Overall,mae,0.12234615384615384,
before,hybrid:default_params,deepseek,Overall,n_runs,1,
before,hybrid:default_params,deepseek,Overall,n_scored,195,
before,hybrid:default_params,deepseek,Overall,n_total,195,
before,hybrid:default_params,deepseek,Overall,success_rate,1.0,
before,hybrid:default_params,deepseek,Overall,tau_inclusive,0.6410256410256411,
before,hybrid:default_params,deepseek,Overall,top1_inclusive,0.7692307692307693,
before,hybrid:default_params,deepseek,HVAC,kendall_tau,0.9333333333333332,
before,hybrid:default_params,deepseek,HVAC,top1,0.9571428571428572,
before,hybrid:default_params,deepseek,HVAC,mae,0.0701547619047619,
before,hybrid:default_params,deepseek,HVAC,n_runs,1,
before,hybrid:default_params,deepseek,HVAC,n_scored,70,
before,hybrid:default_params,deepseek,HVAC,n_total,70,
before,hybrid:default_params,deepseek,HVAC,success_rate,1.0,
before,hybrid:default_params,deepseek,HVAC,tau_inclusive,0.9333333333333332,
before,hybrid:default_params,deepseek,HVAC,top1_inclusive,0.9571428571428572,
before,hybrid:default_params,deepseek,Appliance,kendall_tau,0.17948717948717952,
before,hybrid:default_params,deepseek,Appliance,top1,0.49230769230769234,
before,hybrid:default_params,deepseek,Appliance,mae,0.23675641025641028,
before,hybrid:default_params,deepseek,Appliance,n_runs,1,
before,hybrid:default_params,deepseek,Appliance,n_scored,65,
before,hybrid:default_params,deepseek,Appliance,n_total,65,
before,hybrid:default_params,deepseek,Appliance,success_rate,1.0,
before,hybrid:default_params,deepseek,Appliance,tau_inclusive,0.17948717948717952,
before,hybrid:default_params,deepseek,Appliance,top1_inclusive,0.49230769230769234,
before,hybrid:default_params,deepseek,Shower,kendall_tau,0.8000000000000002,
before,hybrid:default_params,deepseek,Shower,top1,0.85,
before,hybrid:default_params,deepseek,Shower,mae,0.05929166666666665,
before,hybrid:default_params,deepseek,Shower,n_runs,1,
before,hybrid:default_params,deepseek,Shower,n_scored,60,
before,hybrid:default_params,deepseek,Shower,n_total,60,
before,hybrid:default_params,deepseek,Shower,success_rate,1.0,
before,hybrid:default_params,deepseek,Shower,tau_inclusive,0.8000000000000002,
before,hybrid:default_params,deepseek,Shower,top1_inclusive,0.85,
before,hybrid:extracted,deepseek,Overall,kendall_tau,0.9042735042735045,
before,hybrid:extracted,deepseek,Overall,top1,0.9128205128205128,
before,hybrid:extracted,deepseek,Overall,mae,0.040132478632478624,
before,hybrid:extracted,deepseek,Overall,n_runs,1,
before,hybrid:extracted,deepseek,Overall,n_scored,195,
before,hybrid:extracted,deepseek,Overall,n_total,195,
before,hybrid:extracted,deepseek,Overall,success_rate,1.0,
before,hybrid:extracted,deepseek,Overall,tau_inclusive,0.9042735042735045,
before,hybrid:extracted,deepseek,Overall,top1_inclusive,0.9128205128205128,
before,hybrid:extracted,deepseek,HVAC,kendall_tau,0.9523809523809524,
before,hybrid:extracted,deepseek,HVAC,top1,0.9285714285714286,
before,hybrid:extracted,deepseek,HVAC,mae,0.03358333333333333,
before,hybrid:extracted,deepseek,HVAC,n_runs,1,
before,hybrid:extracted,deepseek,HVAC,n_scored,70,
before,hybrid:extracted,deepseek,HVAC,n_total,70,
before,hybrid:extracted,deepseek,HVAC,success_rate,1.0,
before,hybrid:extracted,deepseek,HVAC,tau_inclusive,0.9523809523809524,
before,hybrid:extracted,deepseek,HVAC,top1_inclusive,0.9285714285714286,
before,hybrid:extracted,deepseek,Appliance,kendall_tau,0.9692307692307692,
before,hybrid:extracted,deepseek,Appliance,top1,0.9846153846153847,
before,hybrid:extracted,deepseek,Appliance,mae,0.03962820512820513,
before,hybrid:extracted,deepseek,Appliance,n_runs,1,
before,hybrid:extracted,deepseek,Appliance,n_scored,65,
before,hybrid:extracted,deepseek,Appliance,n_total,65,
before,hybrid:extracted,deepseek,Appliance,success_rate,1.0,
before,hybrid:extracted,deepseek,Appliance,tau_inclusive,0.9692307692307692,
before,hybrid:extracted,deepseek,Appliance,top1_inclusive,0.9846153846153847,
before,hybrid:extracted,deepseek,Shower,kendall_tau,0.7777777777777778,
before,hybrid:extracted,deepseek,Shower,top1,0.8166666666666667,
before,hybrid:extracted,deepseek,Shower,mae,0.04831944444444445,
before,hybrid:extracted,deepseek,Shower,n_runs,1,
before,hybrid:extracted,deepseek,Shower,n_scored,60,
before,hybrid:extracted,deepseek,Shower,n_total,60,
before,hybrid:extracted,deepseek,Shower,success_rate,1.0,
before,hybrid:extracted,deepseek,Shower,tau_inclusive,0.7777777777777778,
before,hybrid:extracted,deepseek,Shower,top1_inclusive,0.8166666666666667,
before,hybrid:extracted_per_run,deepseek,Overall,kendall_tau,0.897323112168473,
before,hybrid:extracted_per_run,deepseek,Overall,top1,0.9075865715040973,
before,hybrid:extracted_per_run,deepseek,Overall,mae,0.04481948189267777,
before,hybrid:extracted_per_run,deepseek,Overall,n_runs,5,
before,hybrid:extracted_per_run,deepseek,Overall,n_scored,974,
before,hybrid:extracted_per_run,deepseek,Overall,n_total,975,
before,hybrid:extracted_per_run,deepseek,Overall,success_rate,0.9989743589743589,
before,hybrid:extracted_per_run,deepseek,Overall,tau_inclusive,0.8964102564102564,
before,hybrid:extracted_per_run,deepseek,Overall,top1_inclusive,0.9070085470085469,
before,hybrid:extracted_per_run,deepseek,HVAC,kendall_tau,0.9197515527950311,
before,hybrid:extracted_per_run,deepseek,HVAC,top1,0.9197515527950311,
before,hybrid:extracted_per_run,deepseek,HVAC,mae,0.04471890959282263,
before,hybrid:extracted_per_run,deepseek,HVAC,n_runs,5,
before,hybrid:extracted_per_run,deepseek,HVAC,n_scored,349,
before,hybrid:extracted_per_run,deepseek,HVAC,n_total,350,
before,hybrid:extracted_per_run,deepseek,HVAC,success_rate,0.9971428571428571,
before,hybrid:extracted_per_run,deepseek,HVAC,tau_inclusive,0.917142857142857,
before,hybrid:extracted_per_run,deepseek,HVAC,top1_inclusive,0.9180952380952382,
before,hybrid:extracted_per_run,deepseek,Appliance,kendall_tau,0.9753846153846155,
before,hybrid:extracted_per_run,deepseek,Appliance,top1,0.9846153846153847,
before,hybrid:extracted_per_run,deepseek,Appliance,mae,0.04037435897435897,
before,hybrid:extracted_per_run,deepseek,Appliance,n_runs,5,
before,hybrid:extracted_per_run,deepseek,Appliance,n_scored,325,
before,hybrid:extracted_per_run,deepseek,Appliance,n_total,325,
before,hybrid:extracted_per_run,deepseek,Appliance,success_rate,1.0,
before,hybrid:extracted_per_run,deepseek,Appliance,tau_inclusive,0.9753846153846155,
before,hybrid:extracted_per_run,deepseek,Appliance,top1_inclusive,0.9846153846153847,
before,hybrid:extracted_per_run,deepseek,Shower,kendall_tau,0.7866666666666665,
before,hybrid:extracted_per_run,deepseek,Shower,top1,0.8099999999999999,
before,hybrid:extracted_per_run,deepseek,Shower,mae,0.049744444444444445,
before,hybrid:extracted_per_run,deepseek,Shower,n_runs,5,
before,hybrid:extracted_per_run,deepseek,Shower,n_scored,300,
before,hybrid:extracted_per_run,deepseek,Shower,n_total,300,
before,hybrid:extracted_per_run,deepseek,Shower,success_rate,1.0,
before,hybrid:extracted_per_run,deepseek,Shower,tau_inclusive,0.7866666666666665,
before,hybrid:extracted_per_run,deepseek,Shower,top1_inclusive,0.8099999999999999,
before,hybrid:order_control,deepseek,Overall,kendall_tau,0.8974358974358975,
before,hybrid:order_control,deepseek,Overall,top1,0.9042735042735043,
before,hybrid:order_control,deepseek,Overall,mae,0.04548860398860397,
before,hybrid:order_control,deepseek,Overall,n_runs,3,
before,hybrid:order_control,deepseek,Overall,n_scored,585,
before,hybrid:order_control,deepseek,Overall,n_total,585,
before,hybrid:order_control,deepseek,Overall,success_rate,1.0,
before,hybrid:order_control,deepseek,Overall,tau_inclusive,0.8974358974358975,
before,hybrid:order_control,deepseek,Overall,top1_inclusive,0.9042735042735043,
before,hybrid:order_control,deepseek,HVAC,kendall_tau,0.9238095238095237,
before,hybrid:order_control,deepseek,HVAC,top1,0.9285714285714285,
before,hybrid:order_control,deepseek,HVAC,mae,0.04386904761904762,
before,hybrid:order_control,deepseek,HVAC,n_runs,3,
before,hybrid:order_control,deepseek,HVAC,n_scored,210,
before,hybrid:order_control,deepseek,HVAC,n_total,210,
before,hybrid:order_control,deepseek,HVAC,success_rate,1.0,
before,hybrid:order_control,deepseek,HVAC,tau_inclusive,0.9238095238095237,
before,hybrid:order_control,deepseek,HVAC,top1_inclusive,0.9285714285714285,
before,hybrid:order_control,deepseek,Appliance,kendall_tau,0.9794871794871796,
before,hybrid:order_control,deepseek,Appliance,top1,0.9846153846153847,
before,hybrid:order_control,deepseek,Appliance,mae,0.038700854700854694,
before,hybrid:order_control,deepseek,Appliance,n_runs,3,
before,hybrid:order_control,deepseek,Appliance,n_scored,195,
before,hybrid:order_control,deepseek,Appliance,n_total,195,
before,hybrid:order_control,deepseek,Appliance,success_rate,1.0,
before,hybrid:order_control,deepseek,Appliance,tau_inclusive,0.9794871794871796,
before,hybrid:order_control,deepseek,Appliance,top1_inclusive,0.9846153846153847,
before,hybrid:order_control,deepseek,Shower,kendall_tau,0.7777777777777778,
before,hybrid:order_control,deepseek,Shower,top1,0.7888888888888889,
before,hybrid:order_control,deepseek,Shower,mae,0.054731481481481485,
before,hybrid:order_control,deepseek,Shower,n_runs,3,
before,hybrid:order_control,deepseek,Shower,n_scored,180,
before,hybrid:order_control,deepseek,Shower,n_total,180,
before,hybrid:order_control,deepseek,Shower,success_rate,1.0,
before,hybrid:order_control,deepseek,Shower,tau_inclusive,0.7777777777777778,
before,hybrid:order_control,deepseek,Shower,top1_inclusive,0.7888888888888889,
before,hybrid:order_reversed,deepseek,Overall,kendall_tau,0.9015384615384615,
before,hybrid:order_reversed,deepseek,Overall,top1,0.9107692307692308,
before,hybrid:order_reversed,deepseek,Overall,mae,0.0440111111111111,
before,hybrid:order_reversed,deepseek,Overall,n_runs,5,
before,hybrid:order_reversed,deepseek,Overall,n_scored,975,
before,hybrid:order_reversed,deepseek,Overall,n_total,975,
before,hybrid:order_reversed,deepseek,Overall,success_rate,1.0,
before,hybrid:order_reversed,deepseek,Overall,tau_inclusive,0.9015384615384615,
before,hybrid:order_reversed,deepseek,Overall,top1_inclusive,0.9107692307692308,
before,hybrid:order_reversed,deepseek,HVAC,kendall_tau,0.9180952380952381,
before,hybrid:order_reversed,deepseek,HVAC,top1,0.9228571428571428,
before,hybrid:order_reversed,deepseek,HVAC,mae,0.04477857142857143,
before,hybrid:order_reversed,deepseek,HVAC,n_runs,5,
before,hybrid:order_reversed,deepseek,HVAC,n_scored,350,
before,hybrid:order_reversed,deepseek,HVAC,n_total,350,
before,hybrid:order_reversed,deepseek,HVAC,success_rate,1.0,
before,hybrid:order_reversed,deepseek,HVAC,tau_inclusive,0.9180952380952381,
before,hybrid:order_reversed,deepseek,HVAC,top1_inclusive,0.9228571428571428,
before,hybrid:order_reversed,deepseek,Appliance,kendall_tau,0.9794871794871796,
before,hybrid:order_reversed,deepseek,Appliance,top1,0.9846153846153847,
before,hybrid:order_reversed,deepseek,Appliance,mae,0.03826153846153846,
before,hybrid:order_reversed,deepseek,Appliance,n_runs,5,
before,hybrid:order_reversed,deepseek,Appliance,n_scored,325,
before,hybrid:order_reversed,deepseek,Appliance,n_total,325,
before,hybrid:order_reversed,deepseek,Appliance,success_rate,1.0,
before,hybrid:order_reversed,deepseek,Appliance,tau_inclusive,0.9794871794871796,
before,hybrid:order_reversed,deepseek,Appliance,top1_inclusive,0.9846153846153847,
before,hybrid:order_reversed,deepseek,Shower,kendall_tau,0.7977777777777778,
before,hybrid:order_reversed,deepseek,Shower,top1,0.8166666666666667,
before,hybrid:order_reversed,deepseek,Shower,mae,0.049344444444444455,
before,hybrid:order_reversed,deepseek,Shower,n_runs,5,
before,hybrid:order_reversed,deepseek,Shower,n_scored,300,
before,hybrid:order_reversed,deepseek,Shower,n_total,300,
before,hybrid:order_reversed,deepseek,Shower,success_rate,1.0,
before,hybrid:order_reversed,deepseek,Shower,tau_inclusive,0.7977777777777778,
before,hybrid:order_reversed,deepseek,Shower,top1_inclusive,0.8166666666666667,
before,hybrid:default_params,gemini,Overall,kendall_tau,0.6410256410256411,
before,hybrid:default_params,gemini,Overall,top1,0.7692307692307693,
before,hybrid:default_params,gemini,Overall,mae,0.12234615384615384,
before,hybrid:default_params,gemini,Overall,n_runs,1,
before,hybrid:default_params,gemini,Overall,n_scored,195,
before,hybrid:default_params,gemini,Overall,n_total,195,
before,hybrid:default_params,gemini,Overall,success_rate,1.0,
before,hybrid:default_params,gemini,Overall,tau_inclusive,0.6410256410256411,
before,hybrid:default_params,gemini,Overall,top1_inclusive,0.7692307692307693,
before,hybrid:default_params,gemini,HVAC,kendall_tau,0.9333333333333332,
before,hybrid:default_params,gemini,HVAC,top1,0.9571428571428572,
before,hybrid:default_params,gemini,HVAC,mae,0.0701547619047619,
before,hybrid:default_params,gemini,HVAC,n_runs,1,
before,hybrid:default_params,gemini,HVAC,n_scored,70,
before,hybrid:default_params,gemini,HVAC,n_total,70,
before,hybrid:default_params,gemini,HVAC,success_rate,1.0,
before,hybrid:default_params,gemini,HVAC,tau_inclusive,0.9333333333333332,
before,hybrid:default_params,gemini,HVAC,top1_inclusive,0.9571428571428572,
before,hybrid:default_params,gemini,Appliance,kendall_tau,0.17948717948717952,
before,hybrid:default_params,gemini,Appliance,top1,0.49230769230769234,
before,hybrid:default_params,gemini,Appliance,mae,0.23675641025641028,
before,hybrid:default_params,gemini,Appliance,n_runs,1,
before,hybrid:default_params,gemini,Appliance,n_scored,65,
before,hybrid:default_params,gemini,Appliance,n_total,65,
before,hybrid:default_params,gemini,Appliance,success_rate,1.0,
before,hybrid:default_params,gemini,Appliance,tau_inclusive,0.17948717948717952,
before,hybrid:default_params,gemini,Appliance,top1_inclusive,0.49230769230769234,
before,hybrid:default_params,gemini,Shower,kendall_tau,0.8000000000000002,
before,hybrid:default_params,gemini,Shower,top1,0.85,
before,hybrid:default_params,gemini,Shower,mae,0.05929166666666665,
before,hybrid:default_params,gemini,Shower,n_runs,1,
before,hybrid:default_params,gemini,Shower,n_scored,60,
before,hybrid:default_params,gemini,Shower,n_total,60,
before,hybrid:default_params,gemini,Shower,success_rate,1.0,
before,hybrid:default_params,gemini,Shower,tau_inclusive,0.8000000000000002,
before,hybrid:default_params,gemini,Shower,top1_inclusive,0.85,
before,hybrid:extracted,gemini,Overall,kendall_tau,0.9213675213675213,
before,hybrid:extracted,gemini,Overall,top1,0.9282051282051282,
before,hybrid:extracted,gemini,Overall,mae,0.047038461538461536,
before,hybrid:extracted,gemini,Overall,n_runs,1,
before,hybrid:extracted,gemini,Overall,n_scored,195,
before,hybrid:extracted,gemini,Overall,n_total,195,
before,hybrid:extracted,gemini,Overall,success_rate,1.0,
before,hybrid:extracted,gemini,Overall,tau_inclusive,0.9213675213675213,
before,hybrid:extracted,gemini,Overall,top1_inclusive,0.9282051282051282,
before,hybrid:extracted,gemini,HVAC,kendall_tau,0.9714285714285714,
before,hybrid:extracted,gemini,HVAC,top1,0.9571428571428572,
before,hybrid:extracted,gemini,HVAC,mae,0.028499999999999998,
before,hybrid:extracted,gemini,HVAC,n_runs,1,
before,hybrid:extracted,gemini,HVAC,n_scored,70,
before,hybrid:extracted,gemini,HVAC,n_total,70,
before,hybrid:extracted,gemini,HVAC,success_rate,1.0,
before,hybrid:extracted,gemini,HVAC,tau_inclusive,0.9714285714285714,
before,hybrid:extracted,gemini,HVAC,top1_inclusive,0.9571428571428572,
before,hybrid:extracted,gemini,Appliance,kendall_tau,0.958974358974359,
before,hybrid:extracted,gemini,Appliance,top1,0.9692307692307692,
before,hybrid:extracted,gemini,Appliance,mae,0.06579487179487178,
before,hybrid:extracted,gemini,Appliance,n_runs,1,
before,hybrid:extracted,gemini,Appliance,n_scored,65,
before,hybrid:extracted,gemini,Appliance,n_total,65,
before,hybrid:extracted,gemini,Appliance,success_rate,1.0,
before,hybrid:extracted,gemini,Appliance,tau_inclusive,0.958974358974359,
before,hybrid:extracted,gemini,Appliance,top1_inclusive,0.9692307692307692,
before,hybrid:extracted,gemini,Shower,kendall_tau,0.8222222222222222,
before,hybrid:extracted,gemini,Shower,top1,0.85,
before,hybrid:extracted,gemini,Shower,mae,0.04834722222222222,
before,hybrid:extracted,gemini,Shower,n_runs,1,
before,hybrid:extracted,gemini,Shower,n_scored,60,
before,hybrid:extracted,gemini,Shower,n_total,60,
before,hybrid:extracted,gemini,Shower,success_rate,1.0,
before,hybrid:extracted,gemini,Shower,tau_inclusive,0.8222222222222222,
before,hybrid:extracted,gemini,Shower,top1_inclusive,0.85,
before,hybrid:extracted_per_run,gemini,Overall,kendall_tau,0.9234188034188033,
before,hybrid:extracted_per_run,gemini,Overall,top1,0.9312820512820513,
before,hybrid:extracted_per_run,gemini,Overall,mae,0.04768290598290597,
before,hybrid:extracted_per_run,gemini,Overall,n_runs,5,
before,hybrid:extracted_per_run,gemini,Overall,n_scored,975,
before,hybrid:extracted_per_run,gemini,Overall,n_total,975,
before,hybrid:extracted_per_run,gemini,Overall,success_rate,1.0,
before,hybrid:extracted_per_run,gemini,Overall,tau_inclusive,0.9234188034188033,
before,hybrid:extracted_per_run,gemini,Overall,top1_inclusive,0.9312820512820513,
before,hybrid:extracted_per_run,gemini,HVAC,kendall_tau,0.9771428571428571,
before,hybrid:extracted_per_run,gemini,HVAC,top1,0.9657142857142856,
before,hybrid:extracted_per_run,gemini,HVAC,mae,0.02954285714285714,
before,hybrid:extracted_per_run,gemini,HVAC,n_runs,5,
before,hybrid:extracted_per_run,gemini,HVAC,n_scored,350,
before,hybrid:extracted_per_run,gemini,HVAC,n_total,350,
before,hybrid:extracted_per_run,gemini,HVAC,success_rate,1.0,
before,hybrid:extracted_per_run,gemini,HVAC,tau_inclusive,0.9771428571428571,
before,hybrid:extracted_per_run,gemini,HVAC,top1_inclusive,0.9657142857142856,
before,hybrid:extracted_per_run,gemini,Appliance,kendall_tau,0.9589743589743589,
before,hybrid:extracted_per_run,gemini,Appliance,top1,0.9692307692307691,
before,hybrid:extracted_per_run,gemini,Appliance,mae,0.06653333333333335,
before,hybrid:extracted_per_run,gemini,Appliance,n_runs,5,
before,hybrid:extracted_per_run,gemini,Appliance,n_scored,325,
before,hybrid:extracted_per_run,gemini,Appliance,n_total,325,
before,hybrid:extracted_per_run,gemini,Appliance,success_rate,1.0,
before,hybrid:extracted_per_run,gemini,Appliance,tau_inclusive,0.9589743589743589,
before,hybrid:extracted_per_run,gemini,Appliance,top1_inclusive,0.9692307692307691,
before,hybrid:extracted_per_run,gemini,Shower,kendall_tau,0.8222222222222222,
before,hybrid:extracted_per_run,gemini,Shower,top1,0.85,
before,hybrid:extracted_per_run,gemini,Shower,mae,0.048424999999999996,
before,hybrid:extracted_per_run,gemini,Shower,n_runs,5,
before,hybrid:extracted_per_run,gemini,Shower,n_scored,300,
before,hybrid:extracted_per_run,gemini,Shower,n_total,300,
before,hybrid:extracted_per_run,gemini,Shower,success_rate,1.0,
before,hybrid:extracted_per_run,gemini,Shower,tau_inclusive,0.8222222222222222,
before,hybrid:extracted_per_run,gemini,Shower,top1_inclusive,0.85,
before,hybrid:order_control,gemini,Overall,kendall_tau,0.9293447293447294,
before,hybrid:order_control,gemini,Overall,top1,0.9384615384615383,
before,hybrid:order_control,gemini,Overall,mae,0.04538176638176638,
before,hybrid:order_control,gemini,Overall,n_runs,3,
before,hybrid:order_control,gemini,Overall,n_scored,585,
before,hybrid:order_control,gemini,Overall,n_total,585,
before,hybrid:order_control,gemini,Overall,success_rate,1.0,
before,hybrid:order_control,gemini,Overall,tau_inclusive,0.9293447293447294,
before,hybrid:order_control,gemini,Overall,top1_inclusive,0.9384615384615383,
before,hybrid:order_control,gemini,HVAC,kendall_tau,0.9809523809523807,
before,hybrid:order_control,gemini,HVAC,top1,0.9714285714285714,
before,hybrid:order_control,gemini,HVAC,mae,0.02763888888888889,
before,hybrid:order_control,gemini,HVAC,n_runs,3,
before,hybrid:order_control,gemini,HVAC,n_scored,210,
before,hybrid:order_control,gemini,HVAC,n_total,210,
before,hybrid:order_control,gemini,HVAC,success_rate,1.0,
before,hybrid:order_control,gemini,HVAC,tau_inclusive,0.9809523809523807,
before,hybrid:order_control,gemini,HVAC,top1_inclusive,0.9714285714285714,
before,hybrid:order_control,gemini,Appliance,kendall_tau,0.9692307692307693,
before,hybrid:order_control,gemini,Appliance,top1,0.9846153846153847,
before,hybrid:order_control,gemini,Appliance,mae,0.06187179487179487,
before,hybrid:order_control,gemini,Appliance,n_runs,3,
before,hybrid:order_control,gemini,Appliance,n_scored,195,
before,hybrid:order_control,gemini,Appliance,n_total,195,
before,hybrid:order_control,gemini,Appliance,success_rate,1.0,
before,hybrid:order_control,gemini,Appliance,tau_inclusive,0.9692307692307693,
before,hybrid:order_control,gemini,Appliance,top1_inclusive,0.9846153846153847,
before,hybrid:order_control,gemini,Shower,kendall_tau,0.825925925925926,
before,hybrid:order_control,gemini,Shower,top1,0.85,
before,hybrid:order_control,gemini,Shower,mae,0.0482175925925926,
before,hybrid:order_control,gemini,Shower,n_runs,3,
before,hybrid:order_control,gemini,Shower,n_scored,180,
before,hybrid:order_control,gemini,Shower,n_total,180,
before,hybrid:order_control,gemini,Shower,success_rate,1.0,
before,hybrid:order_control,gemini,Shower,tau_inclusive,0.825925925925926,
before,hybrid:order_control,gemini,Shower,top1_inclusive,0.85,
before,hybrid:order_reversed,gemini,Overall,kendall_tau,0.9261538461538461,
before,hybrid:order_reversed,gemini,Overall,top1,0.9364102564102564,
before,hybrid:order_reversed,gemini,Overall,mae,0.04663418803418803,
before,hybrid:order_reversed,gemini,Overall,n_runs,5,
before,hybrid:order_reversed,gemini,Overall,n_scored,975,
before,hybrid:order_reversed,gemini,Overall,n_total,975,
before,hybrid:order_reversed,gemini,Overall,success_rate,1.0,
before,hybrid:order_reversed,gemini,Overall,tau_inclusive,0.9261538461538461,
before,hybrid:order_reversed,gemini,Overall,top1_inclusive,0.9364102564102564,
before,hybrid:order_reversed,gemini,HVAC,kendall_tau,0.9733333333333333,
before,hybrid:order_reversed,gemini,HVAC,top1,0.9685714285714285,
before,hybrid:order_reversed,gemini,HVAC,mae,0.02749761904761905,
before,hybrid:order_reversed,gemini,HVAC,n_runs,5,
before,hybrid:order_reversed,gemini,HVAC,n_scored,350,
before,hybrid:order_reversed,gemini,HVAC,n_total,350,
before,hybrid:order_reversed,gemini,HVAC,success_rate,1.0,
before,hybrid:order_reversed,gemini,HVAC,tau_inclusive,0.9733333333333333,
before,hybrid:order_reversed,gemini,HVAC,top1_inclusive,0.9685714285714285,
before,hybrid:order_reversed,gemini,Appliance,kendall_tau,0.9671794871794871,
before,hybrid:order_reversed,gemini,Appliance,top1,0.9815384615384616,
before,hybrid:order_reversed,gemini,Appliance,mae,0.06580512820512821,
before,hybrid:order_reversed,gemini,Appliance,n_runs,5,
before,hybrid:order_reversed,gemini,Appliance,n_scored,325,
