scenario_id,decision_type,question,location,outdoor_temp,appliance_age,flow_rate,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
17,HVAC,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",16,,,69,2.0,2.0,8.0,3.0,3,3.3499999999999996
17,HVAC,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",16,,,72,2.0,2.0,8.0,4.0,2,3.5
18,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",91,,,78,4.0,4.0,8.0,7.0,1,5.249999999999999
18,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",91,,,81,3.0,3.0,8.0,7.0,2,4.6
18,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",91,,,84,2.0,2.0,9.0,3.0,3,3.55
19,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",19,,,65,2.0,2.0,8.0,3.0,3,3.3499999999999996
19,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",19,,,68,6.0,6.0,8.0,9.0,1,6.85
19,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",19,,,71,2.0,2.0,8.0,3.0,2,3.3499999999999996
20,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",90,,,71,7.0,7.0,8.0,9.0,1,7.5
20,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",90,,,75,6.0,6.0,8.0,9.0,2,6.85
20,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",90,,,79,2.0,2.0,9.0,8.0,3,4.3
21,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",23,,,68,7.0,7.0,6.0,8.0,1,6.95
21,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",23,,,71,6.0,6.0,8.0,9.0,3,6.85
21,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",23,,,74,6.0,6.0,8.0,9.0,2,6.85
22,HVAC,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",93,,,75,6.0,6.0,8.0,9.0,1,6.85
22,HVAC,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",93,,,78,4.0,4.0,8.0,9.0,2,5.549999999999999
22,HVAC,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",93,,,81,3.0,3.0,8.0,6.0,3,4.449999999999999
23,HVAC,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",18,,,66,3.0,3.0,8.0,7.0,3,4.6
23,HVAC,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",18,,,69,3.0,3.0,8.0,7.0,2,4.6
23,HVAC,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",18,,,72,3.0,3.0,8.0,7.0,1,4.6
24,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",88,,,76,7.0,7.0,8.0,9.0,1,7.5
24,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",88,,,79,3.0,3.0,2.0,4.0,3,2.9499999999999997
24,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",88,,,82,3.0,3.0,2.0,4.0,2,2.9499999999999997
25,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",21,,,66,8.0,8.0,6.0,9.0,1,7.749999999999999
25,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",21,,,69,7.0,7.0,8.0,9.0,2,7.5
25,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",21,,,72,6.0,6.0,8.0,9.0,3,6.85
26,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",91,,,73,7.0,7.0,8.0,9.0,1,7.5
26,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",91,,,76,6.0,6.0,8.0,9.0,2,6.85
26,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",91,,,79,2.0,2.0,2.0,1.0,3,1.8499999999999996
27,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",20,,,67,8.0,8.0,4.0,3.0,1,6.449999999999999
27,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",20,,,70,3.0,3.0,4.0,2.0,3,3.05
27,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",20,,,73,6.0,6.0,4.0,8.0,2,5.8999999999999995
28,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",92,,,78,4.0,4.0,6.0,8.0,1,5.0
28,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",92,,,81,2.0,2.0,3.0,8.0,2,3.0999999999999996
28,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",92,,,84,2.0,2.0,2.0,8.0,3,2.8999999999999995
29,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",22,,,65,8.0,8.0,4.0,7.0,1,7.049999999999999
29,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",22,,,68,7.0,7.0,6.0,8.0,2,6.95
29,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",22,,,71,6.0,6.0,7.0,8.0,3,6.5
30,HVAC,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",89,,,74,8.0,8.0,6.0,9.0,1,7.749999999999999
30,HVAC,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",89,,,77,6.0,6.0,4.0,8.0,3,5.8999999999999995
30,HVAC,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",89,,,80,6.0,6.0,4.0,8.0,2,5.8999999999999995
31,HVAC,It's a cold day. What should I set the thermostat to?,"Newtown, PA",24,,,67,8.0,8.0,4.0,9.0,1,7.349999999999999
31,HVAC,It's a cold day. What should I set the thermostat to?,"Newtown, PA",24,,,70,6.0,6.0,8.0,9.0,3,6.85
31,HVAC,It's a cold day. What should I set the thermostat to?,"Newtown, PA",24,,,73,6.0,6.0,8.0,9.0,2,6.85
32,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",87,,,75,6.0,6.0,7.0,8.0,1,6.5
32,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",87,,,78,6.0,6.0,4.0,8.0,2,5.8999999999999995
32,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",87,,,81,2.0,2.0,1.0,1.0,3,1.6499999999999997
33,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",19,,,66,8.0,8.0,6.0,9.0,1,7.749999999999999
33,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",19,,,69,7.0,7.0,6.0,8.0,2,6.95
33,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",19,,,72,6.0,6.0,7.0,8.0,3,6.5
34,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",90,,,78,3.0,3.0,2.0,4.0,1,2.9499999999999997
34,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",90,,,81,2.0,2.0,3.0,4.0,2,2.5
34,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",90,,,84,2.0,2.0,2.0,1.0,3,1.8499999999999996
35,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",23,,,65,3.0,3.0,2.0,4.0,3,2.9499999999999997
35,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",23,,,68,6.0,6.0,7.0,8.0,1,6.5
35,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",23,,,71,3.0,3.0,8.0,6.0,2,4.449999999999999
36,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",91,,,76,8.0,8.0,6.0,9.0,1,7.749999999999999
36,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",91,,,79,6.0,6.0,4.0,7.0,2,5.749999999999999
36,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",91,,,82,3.0,3.0,2.0,4.0,3,2.9499999999999997
37,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",21,,,66,8.0,8.0,4.0,9.0,1,7.349999999999999
37,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",21,,,69,7.0,7.0,6.0,8.0,2,6.95
37,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",21,,,72,6.0,6.0,8.0,9.0,3,6.85
38,HVAC,It's a hot day. What should I set my air conditioning to?,"Gettysburg, PA",88,,,74,8.0,8.0,6.0,9.0,1,7.749999999999999
38,HVAC,It's a hot day. What should I set my air conditioning to?,"Gettysburg, PA",88,,,77,6.0,6.0,4.0,8.0,3,5.8999999999999995
38,HVAC,It's a hot day. What should I set my air conditioning to?,"Gettysburg, PA",88,,,80,8.0,8.0,4.0,7.0,2,7.049999999999999
39,HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",20,,,67,8.0,8.0,6.0,9.0,1,7.749999999999999
39,HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",20,,,70,7.0,7.0,8.0,9.0,2,7.5
39,HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",20,,,73,4.0,4.0,8.0,7.0,3,5.249999999999999
40,HVAC,What temperature should I set the AC to overnight?,"Chambersburg, PA",92,,,75,7.0,7.0,8.0,9.0,1,7.5
40,HVAC,What temperature should I set the AC to overnight?,"Chambersburg, PA",92,,,78,6.0,6.0,7.0,8.0,2,6.5
40,HVAC,What temperature should I set the AC to overnight?,"Chambersburg, PA",92,,,81,2.0,2.0,1.0,1.0,3,1.6499999999999997
41,HVAC,What temperature should I set the heat to overnight?,"Chambersburg, PA",18,,,67,8.0,8.0,9.0,9.0,1,8.35
41,HVAC,What temperature should I set the heat to overnight?,"Chambersburg, PA",18,,,70,2.0,2.0,8.0,3.0,3,3.3499999999999996
41,HVAC,What temperature should I set the heat to overnight?,"Chambersburg, PA",18,,,73,2.0,2.0,8.0,3.0,2,3.3499999999999996
42,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Altoona, PA",85,,,76,7.0,7.0,8.0,9.0,1,7.5
42,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Altoona, PA",85,,,79,2.0,2.0,9.0,3.0,3,3.55
42,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Altoona, PA",85,,,82,2.0,2.0,9.0,3.0,2,3.55
43,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Altoona, PA",17,,,66,8.0,8.0,6.0,9.0,1,7.749999999999999
43,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Altoona, PA",17,,,69,6.0,6.0,7.0,8.0,3,6.5
43,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Altoona, PA",17,,,72,6.0,6.0,8.0,9.0,2,6.85
44,HVAC,I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Stroudsburg, PA",89,,,76,6.0,6.0,8.0,9.0,1,6.85
44,HVAC,I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Stroudsburg, PA",89,,,79,2.0,2.0,2.0,1.0,2,1.8499999999999996
44,HVAC,I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Stroudsburg, PA",89,,,82,2.0,2.0,1.0,2.0,3,1.7999999999999998
45,HVAC,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",21,,,66,3.0,3.0,4.0,2.0,2,3.05
45,HVAC,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",21,,,69,2.0,2.0,3.0,4.0,3,2.5
45,HVAC,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",21,,,72,3.0,3.0,4.0,6.0,1,3.65
46,HVAC,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",98,,,78,3.0,3.0,2.0,4.0,2,2.9499999999999997
46,HVAC,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",98,,,80,2.0,2.0,2.0,3.0,3,2.1499999999999995
46,HVAC,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",98,,,82,2.0,2.0,3.0,8.0,1,3.0999999999999996
47,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",92,,,76,6.0,6.0,7.0,8.0,1,6.5
47,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",92,,,78,4.0,4.0,2.0,3.0,2,3.4499999999999993
47,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",92,,,80,2.0,2.0,2.0,3.0,3,2.1499999999999995
48,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",97,,,79,2.0,2.0,8.0,3.0,1,3.3499999999999996
48,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",97,,,81,2.0,2.0,3.0,2.0,2,2.1999999999999997
48,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",97,,,83,2.0,2.0,1.0,1.0,3,1.6499999999999997
49,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Butler, PA",88,,,72,6.0,6.0,8.0,9.0,1,6.85
49,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Butler, PA",88,,,75,6.0,6.0,7.0,8.0,2,6.5
49,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Butler, PA",88,,,78,6.0,6.0,4.0,8.0,3,5.8999999999999995
50,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Coatesville, PA",91,,,77,7.0,7.0,6.0,8.0,1,6.95
50,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Coatesville, PA",91,,,79,6.0,6.0,4.0,8.0,2,5.8999999999999995
50,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Coatesville, PA",91,,,81,3.0,3.0,2.0,4.0,3,2.9499999999999997
51,HVAC,It's a hot day. What should I set my air conditioning to?,"Uniontown, PA",95,,,78,3.0,3.0,2.0,4.0,3,2.9499999999999997
51,HVAC,It's a hot day. What should I set my air conditioning to?,"Uniontown, PA",95,,,80,3.0,3.0,2.0,4.0,2,2.9499999999999997
51,HVAC,It's a hot day. What should I set my air conditioning to?,"Uniontown, PA",95,,,82,3.0,3.0,2.0,4.0,1,2.9499999999999997
52,HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Indiana, PA",18,,,65,8.0,8.0,4.0,7.0,2,7.049999999999999
52,HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Indiana, PA",18,,,68,8.0,8.0,6.0,9.0,1,7.749999999999999
52,HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Indiana, PA",18,,,71,6.0,6.0,7.0,8.0,3,6.5
53,HVAC,It's a hot day. What should I set my air conditioning to?,"Meadville, PA",90,,,73,8.0,8.0,6.0,9.0,1,7.749999999999999
53,HVAC,It's a hot day. What should I set my air conditioning to?,"Meadville, PA",90,,,76,7.0,7.0,6.0,8.0,2,6.95
53,HVAC,It's a hot day. What should I set my air conditioning to?,"Meadville, PA",90,,,79,6.0,6.0,4.0,8.0,3,5.8999999999999995
54,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Greensburg, PA",93,,,79,3.0,3.0,8.0,7.0,1,4.6
54,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Greensburg, PA",93,,,81,2.0,2.0,2.0,3.0,2,2.1499999999999995
54,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Greensburg, PA",93,,,83,2.0,2.0,2.0,1.0,3,1.8499999999999996
55,HVAC,It's a hot day. What should I set my air conditioning to?,"DuBois, PA",89,,,76,7.0,7.0,6.0,8.0,1,6.95
55,HVAC,It's a hot day. What should I set my air conditioning to?,"DuBois, PA",89,,,77,6.0,6.0,4.0,8.0,3,5.8999999999999995
55,HVAC,It's a hot day. What should I set my air conditioning to?,"DuBois, PA",89,,,78,6.0,6.0,4.0,8.0,2,5.8999999999999995
56,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Oil City, PA",91,,,82,2.0,2.0,1.0,3.0,3,1.9499999999999997
56,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Oil City, PA",91,,,76,8.0,8.0,7.0,9.0,2,7.949999999999999
56,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Oil City, PA",91,,,70,8.0,8.0,7.0,9.0,1,7.949999999999999
57,HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Reading, PA",20,,,65,8.0,8.0,4.0,7.0,1,7.049999999999999
57,HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Reading, PA",20,,,72,6.0,6.0,7.0,8.0,2,6.5
57,HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Reading, PA",20,,,79,3.0,3.0,8.0,7.0,3,4.6
58,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Carlisle, PA",102,,,78,4.0,4.0,6.0,8.0,1,5.0
58,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Carlisle, PA",102,,,80,2.0,2.0,2.0,3.0,3,2.1499999999999995
58,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Carlisle, PA",102,,,82,2.0,2.0,3.0,4.0,2,2.5
59,HVAC,Cold day today with 4 people home. What's a good heating temperature?,"Chambersburg, PA",5,,,66,8.0,8.0,4.0,6.0,2,6.899999999999999
59,HVAC,Cold day today with 4 people home. What's a good heating temperature?,"Chambersburg, PA",5,,,69,7.0,7.0,6.0,8.0,1,6.95
59,HVAC,Cold day today with 4 people home. What's a good heating temperature?,"Chambersburg, PA",5,,,72,4.0,4.0,8.0,7.0,3,5.249999999999999
60,HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",60,,,68,6.0,6.0,7.0,8.0,2,6.5
60,HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",60,,,70,3.0,3.0,6.0,8.0,3,4.35
60,HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",60,,,72,6.0,6.0,8.0,9.0,1,6.85
61,Appliance,I need to dry clothes this afternoon (around 2 PM). When should I start?,"York, PA",,0 to 10,,Dry at 2:00 PM,6.0,6.0,9.0,8.0,1,6.8999999999999995
61,Appliance,I need to dry clothes this afternoon (around 2 PM). When should I start?,"York, PA",,0 to 10,,Dry at 2:00 AM,8.0,7.0,2.0,1.0,2,5.4
61,Appliance,I need to dry clothes this afternoon (around 2 PM). When should I start?,"York, PA",,0 to 10,,Dry at 9:00 PM,6.0,6.0,3.0,4.0,3,5.1
62,Appliance,Dinner's done around 7 PM. What's the best time to run the dishwasher?,"Lancaster, PA",,0 to 9,,Run dishwasher at 7:00 PM,4.0,4.0,8.0,9.0,1,5.549999999999999
62,Appliance,Dinner's done around 7 PM. What's the best time to run the dishwasher?,"Lancaster, PA",,0 to 9,,Run dishwasher at 5:00 PM,5.0,5.0,3.0,2.0,2,4.15
62,Appliance,Dinner's done around 7 PM. What's the best time to run the dishwasher?,"Lancaster, PA",,0 to 9,,Run dishwasher at 4:00 PM,3.0,4.0,2.0,1.0,3,2.8499999999999996
63,Appliance,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Pittsburgh, PA",,1 to 11,,Run dishwasher at 8:00 PM,6.0,6.0,8.0,9.0,1,6.85
63,Appliance,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Pittsburgh, PA",,1 to 11,,Run dishwasher at 5:00 PM,6.0,6.0,4.0,3.0,3,5.1499999999999995
63,Appliance,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Pittsburgh, PA",,1 to 11,,Run dishwasher at 1:00 AM,8.0,7.0,4.0,6.0,2,6.549999999999999
64,Appliance,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",,5 to 11,,Run dishwasher at 2:00 PM,6.0,6.0,8.0,9.0,1,6.85
64,Appliance,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",,5 to 11,,Run dishwasher at 10:00 PM,7.0,6.0,4.0,3.0,3,5.449999999999999
