number_id,value,where_in_paper,quoted_context,source_file,source_sheet_or_column,computing_script,model,decision_type,basis_notes,status
AH_mae_gptoss,0.052,paper/supplementary.tex:1546,tab:overall_by_model MAE A_H GPT-OSS,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,overall_mae,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gptoss,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_success_gptoss,88.0,paper/supplementary.tex:1548,tab:overall_by_model Success rate (%) A_H GPT-OSS,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,n_scenarios / n_total per run,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gptoss,Overall,scored scenario-runs / 975 (858/975),verified
AH_tau_qwen,0.880,paper/supplementary.tex:1542,tab:overall_by_model Kendall tau A_H Qwen 0.880 +- 0.013,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,"per_run_metrics_all.csv kendall_tau (architecture=LLM-Parameterized_Reference_Scoring, Overall)",paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_top1_qwen,89.7,paper/supplementary.tex:1544,tab:overall_by_model Top-1 (%) A_H Qwen,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,top1_accuracy,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_mae_qwen,0.072,paper/supplementary.tex:1546,tab:overall_by_model MAE A_H Qwen,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,overall_mae,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_success_qwen,99.8,paper/supplementary.tex:1548,tab:overall_by_model Success rate (%) A_H Qwen,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,n_scenarios / n_total per run,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen,Overall,scored scenario-runs / 975 (973/975),verified
AH_tau_inclusive_deepseek,0.896,paper/supplementary.tex:1525,tab:overall_by_model Kendall tau (inclusive) A_H DeepSeek,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,"derived: per run sum(tau)/195, failed=0",Analysis/pass5/d2_reproduce_ah_numbers.py,deepseek,Overall,failed scenario counted as tau=0; mean of 5 runs,verified
AH_top1_inclusive_deepseek,90.7,paper/supplementary.tex:1527,tab:overall_by_model Top-1 (inclusive) A_H DeepSeek,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,derived: failed scenario = 1/3,Analysis/pass5/d2_reproduce_ah_numbers.py,deepseek,Overall,failed scenario counted as Top-1=1/3; mean of 5 runs,verified
AH_tau_inclusive_gemini,0.923,paper/supplementary.tex:1525,tab:overall_by_model Kendall tau (inclusive) A_H Gemini,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,"derived: per run sum(tau)/195, failed=0",Analysis/pass5/d2_reproduce_ah_numbers.py,gemini,Overall,failed scenario counted as tau=0; mean of 5 runs,verified
AH_top1_inclusive_gemini,93.1,paper/supplementary.tex:1527,tab:overall_by_model Top-1 (inclusive) A_H Gemini,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,derived: failed scenario = 1/3,Analysis/pass5/d2_reproduce_ah_numbers.py,gemini,Overall,failed scenario counted as Top-1=1/3; mean of 5 runs,verified
AH_tau_inclusive_gptoss,0.790,paper/supplementary.tex:1543,tab:overall_by_model Kendall tau (inclusive) A_H GPT-OSS,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,"derived: per run sum(tau)/195, failed=0",Analysis/pass5/d2_reproduce_ah_numbers.py,gptoss,Overall,failed scenario counted as tau=0; mean of 5 runs,verified
AH_top1_inclusive_gptoss,84.7,paper/supplementary.tex:1545,tab:overall_by_model Top-1 (inclusive) A_H GPT-OSS,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,derived: failed scenario = 1/3,Analysis/pass5/d2_reproduce_ah_numbers.py,gptoss,Overall,failed scenario counted as Top-1=1/3; mean of 5 runs,verified
AH_tau_inclusive_qwen,0.878,paper/supplementary.tex:1543,tab:overall_by_model Kendall tau (inclusive) A_H Qwen,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,"derived: per run sum(tau)/195, failed=0",Analysis/pass5/d2_reproduce_ah_numbers.py,qwen,Overall,failed scenario counted as tau=0; mean of 5 runs,verified
AH_top1_inclusive_qwen,89.6,paper/supplementary.tex:1545,tab:overall_by_model Top-1 (inclusive) A_H Qwen,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,derived: failed scenario = 1/3,Analysis/pass5/d2_reproduce_ah_numbers.py,qwen,Overall,failed scenario counted as Top-1=1/3; mean of 5 runs,verified
AH_gptoss_success_weighted_tau_text,0.790,paper/paper_draft_v2.tex:889,its 88.0% success rate lowers its success-weighted tau from 0.897 to 0.790,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,derived,Analysis/pass5/d2_reproduce_ah_numbers.py,gptoss,Overall,equals inclusive tau (failed=0) = tau x success,verified
AH_gptoss_success_weighted_top1_text,84.7,paper/paper_draft_v2.tex:889,and its Top-1 from 91.7% to 84.7%,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,derived,Analysis/pass5/d2_reproduce_ah_numbers.py,gptoss,Overall,84.7 is the INCLUSIVE value (failed=1/3); a strictly success-weighted Top-1 (failed=0) is 80.7,mismatch
AH_tau_range_L304,0.880-0.923,paper/paper_draft_v2.tex:304,abstract: Kendall's tau=0.880--0.923,paper/per_run_metrics/per_run_metrics_all.csv,kendall_tau,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen (min) / gemini (max),Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_tau_range_L808,0.880-0.923,paper/paper_draft_v2.tex:808,whose LLM extraction reaches tau = 0.880--0.923,paper/per_run_metrics/per_run_metrics_all.csv,kendall_tau,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen (min) / gemini (max),Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_tau_range_L837,0.880-0.923,paper/paper_draft_v2.tex:837,A_H reaches tau=0.880--0.923 and 89.7--93.1% Top-1,paper/per_run_metrics/per_run_metrics_all.csv,kendall_tau,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen (min) / gemini (max),Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_tau_range_L947,0.880-0.923,paper/paper_draft_v2.tex:947,The per-model tau of 0.880--0.923,paper/per_run_metrics/per_run_metrics_all.csv,kendall_tau,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen (min) / gemini (max),Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_top1_range_L808,89.7-93.1,paper/paper_draft_v2.tex:808,Top-1 of 89.7--93.1%,paper/per_run_metrics/per_run_metrics_all.csv,top1_accuracy,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen (min) / gemini (max),Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_top1_range_L837,89.7-93.1,paper/paper_draft_v2.tex:837,Top-1 of 89.7--93.1%,paper/per_run_metrics/per_run_metrics_all.csv,top1_accuracy,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen (min) / gemini (max),Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_table_best_tau,0.923,paper/paper_draft_v2.tex:795,A_H (best: Gemini) & 93.1 & +22.9 & 0.923 & +0.310,paper/per_run_metrics/per_run_metrics_all.csv,kendall_tau,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gemini,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_table_best_dtau_vs_FD,+0.310,paper/paper_draft_v2.tex:795,A_H (best: Gemini) delta tau vs fixed default 0.614,Output Files/Baselines/baseline_fixeddefault.xlsx + per-run files,FD per-scenario tau,Analysis/pass5/d2_reproduce_ah_numbers.py,gemini,Overall,like-for-like (FD on same scenarios) = +0.310,verified
AH_table_worst_tau,0.880,paper/paper_draft_v2.tex:796,A_H (worst: Qwen) & 89.7 & +19.5 & 0.880 & +0.266,paper/per_run_metrics/per_run_metrics_all.csv,kendall_tau,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_table_worst_dtau_vs_FD,+0.266,paper/paper_draft_v2.tex:796,A_H (worst: Qwen) delta tau vs fixed default,Output Files/Baselines/baseline_fixeddefault.xlsx + per-run files,FD per-scenario tau,Analysis/pass5/d2_reproduce_ah_numbers.py,qwen,Overall,like-for-like = +0.267,verified
AH_dtau_vs_FD_deepseek_not_in_paper,+0.284,not quoted,,Output Files/Baselines/baseline_fixeddefault.xlsx + per-run files,FD per-scenario tau,Analysis/pass5/d2_reproduce_ah_numbers.py,deepseek,Overall,like-for-like; published-basis (FD over all 195) = +0.284,verified
AH_dtau_vs_FD_gptoss_not_in_paper,+0.329,not quoted,,Output Files/Baselines/baseline_fixeddefault.xlsx + per-run files,FD per-scenario tau,Analysis/pass5/d2_reproduce_ah_numbers.py,gptoss,Overall,like-for-like; published-basis (FD over all 195) = +0.284,verified
AH_tau_deepseek_HVAC,0.920,not quoted,,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),deepseek,HVAC,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 92.0; success 99.7%",verified
AH_tau_deepseek_Appliance,0.975,paper/paper_draft_v2.tex:973,Appliance Best 0.975 (D) 98.5,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),deepseek,Appliance,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 98.5; success 100.0%",verified
AH_tau_deepseek_Shower,0.787,paper/paper_draft_v2.tex:977,"Shower Worst 0.787 (D, tied with O) 81.0",Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),deepseek,Shower,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 81.0; success 100.0%",verified
AH_tau_gemini_HVAC,0.977,paper/paper_draft_v2.tex:970,HVAC Best 0.977 (G) 96.6,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gemini,HVAC,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 96.6; success 100.0%",verified
AH_tau_gemini_Appliance,0.959,not quoted,,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gemini,Appliance,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 96.9; success 100.0%",verified
AH_tau_gemini_Shower,0.822,not quoted,,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gemini,Shower,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 85.0; success 100.0%",verified
AH_tau_gptoss_HVAC,0.943,not quoted,,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gptoss,HVAC,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 94.0; success 66.6%",verified
AH_tau_gptoss_Appliance,0.967,not quoted,,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gptoss,Appliance,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 98.8; success 100.0%",verified
AH_tau_gptoss_Shower,0.787,paper/paper_draft_v2.tex:977,tied with O (GPT-OSS) at 0.787,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gptoss,Shower,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 82.3; success 100.0%",verified
AH_tau_qwen_HVAC,0.881,paper/paper_draft_v2.tex:971,HVAC Worst 0.881 (Q) 87.4,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen,HVAC,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 87.4; success 99.4%",verified
AH_tau_qwen_Appliance,0.906,paper/paper_draft_v2.tex:974,Appliance Worst 0.906 (Q) 92.9,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen,Appliance,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 92.9; success 100.0%",verified
AH_tau_qwen_Shower,0.851,paper/paper_draft_v2.tex:976,Shower Best 0.851 (Q) 89.0,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,kendall_tau by decision_type,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),qwen,Shower,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A); Top-1 89.0; success 100.0%",verified
AH_failures_total,120,paper/paper_draft_v2.tex:909,GPT-OSS accounts for 117 of the 120 A_H failures,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,sentinel scenario-runs,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),per model: DeepSeek=1/Gemini=0/GPT-OSS=117/Qwen=2,Overall,count of sentinel scenario-runs over 5 runs; not a pooled metric,verified
AH_gptoss_failures_HVAC,117 (all HVAC),paper/paper_draft_v2.tex:909,most of them on HVAC scenarios,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,sentinel scenario-runs,Analysis/pass5/d2_reproduce_ah_numbers.py,gptoss,HVAC,HVAC scored 233/350 scenario-runs; Appliance and Shower 0 failures. 'most' understates: all 117 are HVAC,verified
AH_gptoss_failed_all_runs,1,paper/paper_draft_v2.tex:909,only one scenario failed in all five runs,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,n_successful_runs==0,Analysis/pass5/d2_reproduce_ah_numbers.py,gptoss,HVAC,scenario with no successful run,verified
AH_gptoss_recovery_tau,0.897,paper/paper_draft_v2.tex:909,"When we recover each failed scenario from a run in which it succeeded, the reported figures do not change (tau 0.897, Top-1 91.7%).","Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx (per_scenario, arm extracted_per_run)",kendall_tau,Analysis/pass5/d2_reproduce_ah_numbers.py sec. E,gptoss,Overall,"backfill recomputed: tau 0.9045, Top-1 92.0% (first other successful run); 0.9038 / 91.9% (mean of other successful runs). The quoted 0.897/91.7 are the NON-recovered values; paper_pipeline/generate_paper_results_numbers.py block 'GPTOSS_recovery' (L298-324) only copies per-run values and implements no recovery",mismatch
PROV_extracted_tau_deepseek,0.904,paper/supplementary.tex:1318,DeepSeek & LLM-extracted & 0.904 & 0.913 & 0.040,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,summary arm=extracted kendall_tau,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),deepseek,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; reproduced exactly (0.9043). Set A value for the same model = 0.8973",mismatch
PROV_extracted_top1_deepseek,0.913,paper/supplementary.tex:1318,Top-1 column,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,top1_accuracy,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),deepseek,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.9076",mismatch
PROV_extracted_mae_deepseek,0.040,paper/supplementary.tex:1318,MAE column,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,mae,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),deepseek,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.0448",mismatch
PROV_extracted_tau_deepseek_HVAC,0.952,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),deepseek,HVAC,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.9197",verified
PROV_extracted_tau_deepseek_Appliance,0.969,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),deepseek,Appliance,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.9754",verified
PROV_extracted_tau_deepseek_Shower,0.778,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),deepseek,Shower,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.7867",verified
PROV_median_deepseek,0.641 / 0.769 / 0.122,paper/supplementary.tex:1319,DeepSeek & Dataset median & 0.641 & 0.769 & 0.122,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,summary arm=default_params,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),deepseek,Overall,over all 195 scenarios; model-independent,verified
PROV_extracted_tau_gemini,0.921,paper/supplementary.tex:1321,Gemini & LLM-extracted & 0.921 & 0.928 & 0.047,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,summary arm=extracted kendall_tau,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gemini,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; reproduced exactly (0.9214). Set A value for the same model = 0.9234",mismatch
PROV_extracted_top1_gemini,0.928,paper/supplementary.tex:1321,Top-1 column,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,top1_accuracy,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gemini,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.9313",mismatch
PROV_extracted_mae_gemini,0.047,paper/supplementary.tex:1321,MAE column,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,mae,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gemini,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.0477",mismatch
PROV_extracted_tau_gemini_HVAC,0.971,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gemini,HVAC,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.9772",verified
PROV_extracted_tau_gemini_Appliance,0.959,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gemini,Appliance,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.9590",verified
