scenario_id,question,location,square_footage,insulation,household_size,utility_budget,housing_type,outdoor_temp,house_age,r_value,seer,hvac_age,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_kwh,raw_cost,raw_emissions
10,"We're done for the day, what heat temperature should I set overnight?","Wilkes-Barre, PA",1900,Good,2,290,Single-family,17,9,24,16,7,65,9.11,9.18,6.11,7.6,8.308,3,3.8,0.72,3.71
10,"We're done for the day, what heat temperature should I set overnight?","Wilkes-Barre, PA",1900,Good,2,290,Single-family,17,9,24,16,7,68,8.88,8.97,8.6,7.6,8.663499999999999,2,4.15,0.79,4.05
10,"We're done for the day, what heat temperature should I set overnight?","Wilkes-Barre, PA",1900,Good,2,290,Single-family,17,9,24,16,7,70,8.73,8.82,10.0,7.6,8.846,1,4.38,0.83,4.27
11,"I'm sticking around the house with 2 people, what AC temperature should I set?","West Chester, PA",1400,Good,2,220,Condo,79,8,23,16,5,73,8.12,8.11,7.83,10.0,8.340499999999999,3,5.29,1.0,5.39
11,"I'm sticking around the house with 2 people, what AC temperature should I set?","West Chester, PA",1400,Good,2,220,Condo,79,8,23,16,5,77,8.37,8.35,9.32,10.0,8.7975,1,4.91,0.93,5.01
11,"I'm sticking around the house with 2 people, what AC temperature should I set?","West Chester, PA",1400,Good,2,220,Condo,79,8,23,16,5,80,8.56,8.54,7.0,10.0,8.457,2,4.63,0.88,4.72
12,"With 4 people home, what AC temperature should I set?","Reading, PA",2400,Poor,4,380,Single-family,90,28,9,12,22,70,0.0,0.0,4.5,8.16,2.124,3,21.3,4.05,21.71
12,"With 4 people home, what AC temperature should I set?","Reading, PA",2400,Poor,4,380,Single-family,90,28,9,12,22,76,0.0,0.0,10.0,9.63,3.4445,1,18.18,3.45,18.53
12,"With 4 people home, what AC temperature should I set?","Reading, PA",2400,Poor,4,380,Single-family,90,28,9,12,22,79,0.54,0.77,7.59,9.63,3.394,2,16.61,3.16,16.94
13,"I'm heading out and won't be back for hours, what AC temperature should I set?","King of Prussia, PA",1800,Good,2,270,Townhouse,92,14,24,16,10,73,6.76,6.69,7.83,9.63,7.380000000000001,2,7.32,1.39,7.62
13,"I'm heading out and won't be back for hours, what AC temperature should I set?","King of Prussia, PA",1800,Good,2,270,Townhouse,92,14,24,16,10,77,7.07,7.0,9.32,9.63,7.8795,1,6.85,1.3,7.13
13,"I'm heading out and won't be back for hours, what AC temperature should I set?","King of Prussia, PA",1800,Good,2,270,Townhouse,92,14,24,16,10,82,7.47,7.39,5.13,9.63,7.297999999999998,3,6.26,1.19,6.52
14,"With 3 people home, what heat temperature should I set?","Williamsport, PA",2100,Medium,3,280,Single-family,18,25,16,13,20,64,5.43,5.51,5.13,7.6,5.7235,2,9.31,1.77,9.49
14,"With 3 people home, what heat temperature should I set?","Williamsport, PA",2100,Medium,3,280,Single-family,18,25,16,13,20,68,4.69,4.79,8.6,7.6,5.943499999999999,1,10.42,1.98,10.62
14,"With 3 people home, what heat temperature should I set?","Williamsport, PA",2100,Medium,3,280,Single-family,18,25,16,13,20,74,3.57,3.71,7.0,7.6,4.9095,3,12.08,2.3,12.31
15,"I'm spending the day at home with 3 people, what AC temperature should I set?","Stroudsburg, PA",2300,Good,3,340,Single-family,77,22,20,15,19,73,5.38,5.45,7.83,10.0,6.587499999999999,3,9.39,1.78,9.57
15,"I'm spending the day at home with 3 people, what AC temperature should I set?","Stroudsburg, PA",2300,Good,3,340,Single-family,77,22,20,15,19,77,6.0,6.06,9.32,10.0,7.284999999999999,1,8.45,1.6,8.61
15,"I'm spending the day at home with 3 people, what AC temperature should I set?","Stroudsburg, PA",2300,Good,3,340,Single-family,77,22,20,15,19,80,6.48,6.52,7.0,10.0,7.125999999999999,2,7.74,1.47,7.89
16,"I'm heading out for the day, what heat temperature should I set?","Lebanon, PA",2000,Poor,2,230,Apartment,44,32,9,12,26,65,9.53,9.44,6.11,8.86,8.714,2,3.18,0.6,3.31
16,"I'm heading out for the day, what heat temperature should I set?","Lebanon, PA",2000,Poor,2,230,Apartment,44,32,9,12,26,68,8.96,8.87,8.6,8.86,8.8415,1,4.03,0.77,4.19
16,"I'm heading out for the day, what heat temperature should I set?","Lebanon, PA",2000,Poor,2,230,Apartment,44,32,9,12,26,71,8.39,8.31,9.32,8.86,8.6185,3,4.88,0.93,5.08
17,"With 2 people home, what heat temperature should I set?","DuBois, PA",1850,Good,2,275,Single-family,10,33,20,13,28,63,5.88,5.95,4.06,7.6,5.7985,2,8.63,1.64,8.79
17,"With 2 people home, what heat temperature should I set?","DuBois, PA",1850,Good,2,275,Single-family,10,33,20,13,28,68,5.15,5.23,8.6,7.6,6.2355,1,9.73,1.85,9.91
17,"With 2 people home, what heat temperature should I set?","DuBois, PA",1850,Good,2,275,Single-family,10,33,20,13,28,75,4.12,4.24,6.11,7.6,5.082,3,11.26,2.14,11.48
18,"We're just getting in for the night, what heat temperature should I set overnight?","Erie, PA",2750,Good,6,285,Single-family,5,11,24,18,4,63,7.59,7.77,1.38,7.6,6.412499999999999,3,6.07,1.15,5.93
18,"We're just getting in for the night, what heat temperature should I set overnight?","Erie, PA",2750,Good,6,285,Single-family,5,11,24,18,4,66,7.29,7.49,5.92,7.6,7.132499999999999,2,6.53,1.24,6.37
18,"We're just getting in for the night, what heat temperature should I set overnight?","Erie, PA",2750,Good,6,285,Single-family,5,11,24,18,4,69,6.98,7.21,9.11,7.6,7.579499999999999,1,6.98,1.33,6.81
19,"I'm stepping out for a few hours, what heat temperature should I set for the condo?","King of Prussia, PA",1120,Good,1,155,Condo,50,9,21,17,5,62,10.0,10.0,2.86,8.28,8.314,3,0.0,0.0,0.0
19,"I'm stepping out for a few hours, what heat temperature should I set for the condo?","King of Prussia, PA",1120,Good,1,155,Condo,50,9,21,17,5,66,10.0,10.0,7.0,9.63,9.3445,2,0.0,0.0,0.0
19,"I'm stepping out for a few hours, what heat temperature should I set for the condo?","King of Prussia, PA",1120,Good,1,155,Condo,50,9,21,17,5,69,10.0,10.0,9.32,9.63,9.8085,1,0.0,0.0,0.0
20,"With 3 people home, what heat temperature should I set?","Reading, PA",2250,Poor,3,245,Single-family,54,52,11,12,19,65,10.0,10.0,6.11,9.63,9.166500000000001,3,0.73,0.14,0.75
20,"With 3 people home, what heat temperature should I set?","Reading, PA",2250,Poor,3,245,Single-family,54,52,11,12,19,68,10.0,10.0,8.6,9.63,9.6645,2,1.97,0.37,2.01
20,"With 3 people home, what heat temperature should I set?","Reading, PA",2250,Poor,3,245,Single-family,54,52,11,12,19,70,9.78,9.73,10.0,9.63,9.783999999999999,1,2.8,0.53,2.85
21,"I'm staying put today with 1 person, what heat temperature should I set?","State College, PA",760,Medium,1,135,Apartment,62,24,17,15,8,68,10.0,10.0,8.6,10.0,9.72,1,0.0,0.0,0.0
21,"I'm staying put today with 1 person, what heat temperature should I set?","State College, PA",760,Medium,1,135,Apartment,62,24,17,15,8,72,10.0,10.0,8.6,9.63,9.6645,2,0.0,0.0,0.0
21,"I'm staying put today with 1 person, what heat temperature should I set?","State College, PA",760,Medium,1,135,Apartment,62,24,17,15,8,76,10.0,10.0,5.13,9.63,8.9705,3,0.0,0.0,0.0
22,"We're done for the day, what heat temperature should I set overnight?","York, PA",1480,Medium,3,180,Townhouse,59,35,14,14,13,64,10.0,10.0,5.13,10.0,9.026,3,0.0,0.0,0.0
22,"We're done for the day, what heat temperature should I set overnight?","York, PA",1480,Medium,3,180,Townhouse,59,35,14,14,13,68,10.0,10.0,8.6,10.0,9.72,1,0.0,0.0,0.0
22,"We're done for the day, what heat temperature should I set overnight?","York, PA",1480,Medium,3,180,Townhouse,59,35,14,14,13,72,10.0,10.0,8.6,9.63,9.6645,2,0.0,0.0,0.0
23,"With 4 people home, what AC temperature should I set?","Pittsburgh, PA",1320,Poor,4,215,Rowhouse,72,74,9,12,18,68,10.0,10.0,8.46,10.0,9.692,1,0.0,0.0,0.0
23,"With 4 people home, what AC temperature should I set?","Pittsburgh, PA",1320,Poor,4,215,Rowhouse,72,74,9,12,18,72,10.0,10.0,8.46,10.0,9.692,2,0.0,0.0,0.0
23,"With 4 people home, what AC temperature should I set?","Pittsburgh, PA",1320,Poor,4,215,Rowhouse,72,74,9,12,18,76,10.0,10.0,4.5,10.0,8.9,3,0.0,0.0,0.0
24,"I'm away most of today, what AC temperature should I set?","Lancaster, PA",1550,Medium,3,195,Townhouse,82,31,16,15,10,76,7.8,7.72,10.0,10.0,8.542,1,5.77,1.1,6.0
24,"I'm away most of today, what AC temperature should I set?","Lancaster, PA",1550,Medium,3,195,Townhouse,82,31,16,15,10,80,8.16,8.08,7.0,10.0,8.176,2,5.23,0.99,5.44
24,"I'm away most of today, what AC temperature should I set?","Lancaster, PA",1550,Medium,3,195,Townhouse,82,31,16,15,10,83,8.43,8.35,4.06,8.86,7.592499999999999,3,4.82,0.92,5.02
25,"With 1 person home, what AC temperature should I set?","Wilkes-Barre, PA",880,Poor,1,145,Apartment,80,44,10,13,16,74,8.54,8.52,8.6,10.0,8.764,2,4.65,0.88,4.74
25,"With 1 person home, what AC temperature should I set?","Wilkes-Barre, PA",880,Poor,1,145,Apartment,80,44,10,13,16,77,8.79,8.77,9.32,10.0,9.0705,1,4.28,0.81,4.36
25,"With 1 person home, what AC temperature should I set?","Wilkes-Barre, PA",880,Poor,1,145,Apartment,80,44,10,13,16,81,9.12,9.09,6.11,10.0,8.6395,3,3.78,0.72,3.86
26,"I'm out running errands all day, what AC temperature should I set?","West Chester, PA",2950,Medium,5,300,Single-family,83,22,18,16,9,77,5.75,5.7,9.18,10.0,7.056,1,8.82,1.68,9.19
26,"I'm out running errands all day, what AC temperature should I set?","West Chester, PA",2950,Medium,5,300,Single-family,83,22,18,16,9,81,6.34,6.28,5.13,10.0,6.625999999999999,2,7.95,1.51,8.27
26,"I'm out running errands all day, what AC temperature should I set?","West Chester, PA",2950,Medium,5,300,Single-family,83,22,18,16,9,84,6.78,6.71,0.64,7.6,5.6505,3,7.29,1.38,7.59
27,"I'm leaving for work shortly, what AC temperature should I set?","Norristown, PA",1180,Medium,2,175,Condo,98,26,15,14,12,78,7.63,7.55,8.6,8.86,7.980499999999999,1,6.02,1.14,6.27
27,"I'm leaving for work shortly, what AC temperature should I set?","Norristown, PA",1180,Medium,2,175,Condo,98,26,15,14,12,81,7.82,7.75,6.11,9.63,7.725000000000001,2,5.73,1.09,5.96
27,"I'm leaving for work shortly, what AC temperature should I set?","Norristown, PA",1180,Medium,2,175,Condo,98,26,15,14,12,84,8.02,7.94,2.86,7.29,6.850499999999999,3,5.43,1.03,5.65
28,"I'm gone for the entire workday, what heat temperature should I set?","Erie, PA",1700,Medium,2,220,Single-family,18,25,14,13,22,60,7.82,7.75,0.0,3.75,5.621,3,5.73,1.09,5.96
28,"I'm gone for the entire workday, what heat temperature should I set?","Erie, PA",1700,Medium,2,220,Single-family,18,25,14,13,22,63,7.45,7.37,4.06,7.6,6.7665,2,6.29,1.19,6.55
28,"I'm gone for the entire workday, what heat temperature should I set?","Erie, PA",1700,Medium,2,220,Single-family,18,25,14,13,22,66,7.07,7.0,7.0,7.6,7.111,1,6.85,1.3,7.13
29,"I'm working from home today with 3 people, what AC temperature should I set?","Pittsburgh, PA",1750,Good,3,250,Townhouse,87,15,22,14,12,73,5.53,5.6,7.83,9.63,6.6295,3,9.15,1.74,9.33
29,"I'm working from home today with 3 people, what AC temperature should I set?","Pittsburgh, PA",1750,Good,3,250,Townhouse,87,15,22,14,12,76,5.85,5.91,10.0,9.63,7.267999999999999,1,8.67,1.65,8.84
29,"I'm working from home today with 3 people, what AC temperature should I set?","Pittsburgh, PA",1750,Good,3,250,Townhouse,87,15,22,14,12,79,6.17,6.22,7.83,10.0,7.093999999999999,2,8.2,1.56,8.35
30,"I'm heading out for the day, what heat temperature should I set?","West Mifflin, PA",1500,Medium,2,200,Single-family,22,30,14,12,25,60,8.22,8.14,0.0,3.75,5.8775,3,5.14,0.98,5.35
30,"I'm heading out for the day, what heat temperature should I set?","West Mifflin, PA",1500,Medium,2,200,Single-family,22,30,14,12,25,63,7.82,7.74,4.06,7.6,7.007,2,5.73,1.09,5.97
30,"I'm heading out for the day, what heat temperature should I set?","West Mifflin, PA",1500,Medium,2,200,Single-family,22,30,14,12,25,66,7.42,7.35,7.0,7.6,7.3385,1,6.32,1.2,6.58
31,"With 4 people home, what AC temperature should I set?","Pittsburgh, PA",2200,Medium,4,320,Single-family,92,28,14,13,22,76,1.83,2.01,10.0,9.63,4.697,1,14.69,2.79,14.97
31,"With 4 people home, what AC temperature should I set?","Pittsburgh, PA",2200,Medium,4,320,Single-family,92,28,14,13,22,79,2.47,2.64,7.59,9.63,4.6275,2,13.72,2.61,13.99
31,"With 4 people home, what AC temperature should I set?","Pittsburgh, PA",2200,Medium,4,320,Single-family,92,28,14,13,22,82,3.12,3.27,4.5,9.63,4.425,3,12.76,2.42,13.01
32,"I'm gone most of the day, what heat temperature should I set?","Philadelphia, PA",1350,Poor,3,210,Rowhouse,12,68,10,9,40,60,4.37,4.75,0.0,3.75,3.536,3,10.26,1.95,10.68
32,"I'm gone most of the day, what heat temperature should I set?","Philadelphia, PA",1350,Poor,3,210,Rowhouse,12,68,10,9,40,64,2.72,3.98,5.13,7.6,4.375,2,11.41,2.17,11.88
32,"I'm gone most of the day, what heat temperature should I set?","Philadelphia, PA",1350,Poor,3,210,Rowhouse,12,68,10,9,40,68,1.52,3.22,8.6,7.6,4.443,1,12.56,2.39,13.08
33,"We're winding down for the night, what AC temperature should I set overnight?","Pittsburgh, PA",2050,Medium,3,220,Single-family,87,33,15,12,28,72,4.16,4.9,7.0,9.63,5.807500000000001,3,10.69,2.03,10.43
33,"We're winding down for the night, what AC temperature should I set overnight?","Pittsburgh, PA",2050,Medium,3,220,Single-family,87,33,15,12,28,75,4.98,5.34,9.32,9.63,6.6715,2,9.98,1.9,9.74
33,"We're winding down for the night, what AC temperature should I set overnight?","Pittsburgh, PA",2050,Medium,3,220,Single-family,87,33,15,12,28,78,5.45,5.78,8.6,10.0,6.878,1,9.28,1.76,9.05
34,I'm setting the thermostat for bedtime during a spring cold snap. What heat temperature is best for sleeping?,"Harrisburg, PA",1600,Medium,2,230,Townhouse,34,30,13,14,11,64,9.83,9.84,5.13,8.86,8.748,3,2.73,0.52,2.67
34,I'm setting the thermostat for bedtime during a spring cold snap. What heat temperature is best for sleeping?,"Harrisburg, PA",1600,Medium,2,230,Townhouse,34,30,13,14,11,67,9.52,9.56,7.83,8.86,9.097,2,3.19,0.61,3.11
34,I'm setting the thermostat for bedtime during a spring cold snap. What heat temperature is best for sleeping?,"Harrisburg, PA",1600,Medium,2,230,Townhouse,34,30,13,14,11,70,9.22,9.28,10.0,7.6,9.154,1,3.65,0.69,3.56
35,It's a very humid summer night and we're going to sleep. What AC temperature should I use?,"York, PA",1450,Good,3,240,Condo,86,18,19,16,7,74,8.37,8.49,8.6,9.63,8.647,3,4.91,0.93,4.8
35,It's a very humid summer night and we're going to sleep. What AC temperature should I use?,"York, PA",1450,Good,3,240,Condo,86,18,19,16,7,76,8.48,8.59,10.0,9.63,8.995,1,4.75,0.9,4.63
35,It's a very humid summer night and we're going to sleep. What AC temperature should I use?,"York, PA",1450,Good,3,240,Condo,86,18,19,16,7,79,8.64,8.75,7.83,10.0,8.720500000000001,2,4.5,0.85,4.39
