decision_type,question,location,square_footage,insulation,household_size,utility_budget,housing_type,outdoor_temp,house_age,appliance_age,flow_rate,alternative_1,alternative_2,alternative_3
HVAC,"With 3 people home, what AC temperature should I set?","Lebanon, PA",2350.0,Medium,3,320,Single-family,91.0,21-30 years,,,76,79,82
HVAC,"With 2 people home, what heat temperature should I set?","Altoona, PA",1550.0,Poor,2,215,Apartment,17.0,21-30 years,,,66,69,72
HVAC,"We're heading to bed soon, what heat temperature should I set overnight?","Stroudsburg, PA",2050.0,Medium,3,295,Single-family,21.0,101-110 years,,,66,69,72
HVAC,"I'm working from home today with 4 people, what AC temperature should I set?","Hazleton, PA",2200.0,Poor,4,360,Single-family,98.0,31-40 years,,,78,80,82
HVAC,"I'm home all day with 5 people, what AC temperature should I set?","New Castle, PA",2400.0,Poor,5,415,Single-family,97.0,31-40 years,,,79,81,83
HVAC,"I'm running out for a short while, what AC temperature should I set for the townhouse?","Coatesville, PA",1850.0,Medium,3,240,Townhouse,91.0,16-20 years,,,77,79,81
HVAC,"I'm gone for a few hours, what AC temperature should I set for the townhouse?","Oil City, PA",2100.0,Good,4,300,Townhouse,91.0,6-10 years,,,82,76,70
HVAC,"I'm not going anywhere with 3 people, what AC temperature should I set?","Carlisle, PA",2000.0,Poor,3,305,Single-family,102.0,21-30 years,,,78,80,82
HVAC,"I'm out of the house all day, what AC temperature should I set?","West Mifflin, PA",2300.0,Poor,4,360,Single-family,94.0,21-30 years,,,79,81,83
HVAC,"I'm popping out for a bit, what AC temperature should I set for the single-family?","Levittown, PA",1700.0,Medium,3,330,Single-family,89.0,31-40 years,,,78,80,82
HVAC,"I'm away for the day, what heat temperature should I set?","Stroudsburg, PA",3000.0,Poor,5,375,Single-family,15.0,21-30 years,,,60,63,67
HVAC,"With 3 people home, what AC temperature should I set?","Allentown, PA",1900.0,Medium,3,290,Single-family,78.0,11-15 years,,,73,76,79
HVAC,"With 5 people home, what AC temperature should I set?","Harrisburg, PA",2500.0,Medium,5,360,Single-family,82.0,6-10 years,,,74,78,80
HVAC,"With 4 people home, what heat temperature should I set?","Lancaster, PA",2200.0,Good,4,355,Single-family,48.0,16-20 years,,,66,69,72
HVAC,"I'm planning to stay in all day with 2 people, what heat temperature should I set?","Pittsburgh, PA",1800.0,Medium,2,220,Townhouse,42.0,21-30 years,,,65,68,72
HVAC,"With 4 people home, what heat temperature should I set?","Scranton, PA",1700.0,Medium,4,265,Rowhouse,40.0,21-30 years,,,66,70,74
HVAC,"I'm around all day with 3 people, what AC temperature should I set?","Philadelphia, PA",2000.0,Medium,3,310,Single-family,95.0,16-20 years,,,71,76,82
HVAC,"I'm home for the day with 2 people, what heat temperature should I set?","Hazleton, PA",1600.0,Poor,2,230,Apartment,22.0,31-40 years,,,65,70,76
HVAC,"I'm going to be out all day, what AC temperature should I set?","Media, PA",2000.0,Medium,3,310,Single-family,92.0,21-30 years,,,78,85,Off
HVAC,"I'm leaving the house for most of the day, what AC temperature should I set?","Newtown, PA",2100.0,Good,3,320,Single-family,88.0,11-15 years,,,78,85,Off
HVAC,"We're winding down for the night, what AC temperature should I set overnight?","Lower Merion, PA",2800.0,Good,4,375,Single-family,84.0,6-10 years,,,73,77,80
HVAC,"We're calling it a night, what heat temperature should I set overnight?","Meadville, PA",1800.0,Good,2,245,Single-family,12.0,16-20 years,,,65,68,72
HVAC,"We're about to turn in, what heat temperature should I set overnight?","Lebanon, PA",2100.0,Medium,3,260,Townhouse,20.0,21-30 years,,,66,70,73
HVAC,"With 3 people home, what heat temperature should I set?","Exton, PA",2400.0,Good,3,315,Single-family,22.0,1-5 years,,,67,70,75
HVAC,"We're heading to bed soon, what heat temperature should I set overnight?","Gettysburg, PA",2000.0,Good,3,315,Single-family,28.0,1-5 years,,,66,69,73
HVAC,"I'm not planning to leave today with 4 people, what AC temperature should I set?","Norristown, PA",2050.0,Poor,4,340,Single-family,94.0,21-30 years,,,70,75,80
HVAC,"With 3 people home, what AC temperature should I set?","Hazleton, PA",2100.0,Poor,3,350,Single-family,91.0,41-50 years,,,74,78,82
HVAC,"With 3 people home, what AC temperature should I set?","Blue Bell, PA",1600.0,Medium,3,270,Condo,68.0,11-15 years,,,68,70,72
HVAC,"I'm staying home today with 2 people, what heat temperature should I set?","Scranton, PA",980.0,Medium,2,185,Apartment,8.0,16-20 years,,,66,69,72
HVAC,"I'm home and not going out with 4 people, what heat temperature should I set?","Allentown, PA",1600.0,Medium,4,205,Townhouse,42.0,21-30 years,,,65,68,71
HVAC,"I'm out of the house for a while, what AC temperature should I set?","Harrisburg, PA",1850.0,Good,2,190,Single-family,68.0,11-15 years,,,66,72,78
HVAC,"I'm working from home today with 2 people, what AC temperature should I set?","Bethlehem, PA",1010.0,Good,2,165,Condo,78.0,16-20 years,,,72,76,79
HVAC,"I'm home all day with 4 people, what AC temperature should I set?","Media, PA",1720.0,Good,4,230,Townhouse,96.0,6-10 years,,,72,76,80
HVAC,"I'm not going anywhere with 5 people, what AC temperature should I set?","Philadelphia, PA",1450.0,Poor,5,255,Rowhouse,90.0,81-90 years,,,73,77,81
HVAC,"I'm heading out for a quick errand, what heat temperature should I set for the single-family?","Altoona, PA",1780.0,Medium,2,200,Single-family,29.0,41-50 years,,,62,66,69
HVAC,"I'm sticking around the house with 1 person, what heat temperature should I set?","Bethlehem, PA",690.0,Good,1,130,Apartment,24.0,11-15 years,,,66,69,72
HVAC,"I'm staying in today with 3 people, what heat temperature should I set?","Meadville, PA",1900.0,Good,3,265,Single-family,25.0,21-30 years,,,64,67,70
HVAC,"With 4 people home, what heat temperature should I set?","Greensburg, PA",2100.0,Medium,4,290,Single-family,18.0,21-30 years,,,62,65,68
HVAC,"I'm heading out for the day, what heat temperature should I set?","McKeesport, PA",1350.0,Poor,2,195,Apartment,14.0,31-40 years,,,58,61,64
HVAC,"I'm around all day with 2 people, what heat temperature should I set?","Monroeville, PA",1500.0,Medium,2,215,Townhouse,28.0,16-20 years,,,64,67,70
HVAC,"We're calling it a night, what heat temperature should I set overnight?","New Castle, PA",2000.0,Good,3,275,Single-family,10.0,16-20 years,,,60,63,66
HVAC,"I'm not going anywhere with 3 people, what heat temperature should I set?","Bradford, PA",1700.0,Poor,3,235,Single-family,5.0,31-40 years,,,62,65,68
HVAC,"I'm stepping out for a few hours, what heat temperature should I set?","Oil City, PA",1600.0,Medium,2,210,Rowhouse,22.0,21-30 years,,,60,63,66
HVAC,"With 5 people home, what heat temperature should I set?","Uniontown, PA",2400.0,Poor,5,365,Single-family,12.0,21-30 years,,,62,65,68
HVAC,"I'm working from home today with 2 people, what AC temperature should I set?","Gettysburg, PA",1800.0,Good,2,235,Single-family,89.0,11-15 years,,,73,76,79
HVAC,"I'm out running errands all day, what AC temperature should I set?","Chambersburg, PA",1650.0,Medium,3,250,Townhouse,91.0,21-30 years,,,78,81,84
Appliance,It's around 2 in the afternoon and I need to run the washing machine. When should I start it?,"Monroeville, PA",,,3,175,Townhouse,,,7-9 years,,2:00 PM,9:00 PM,6:00 AM
Appliance,It's around 7 in the evening and I need to run the dryer. When should I start it?,"Indiana, PA",,,4,200,Apartment,,,10-12 years,,7:00 PM,11:00 PM,2:00 PM
Appliance,It's nearly 11 at night and I need to run the dishwasher. When should I start it?,"Uniontown, PA",,,5,220,Townhouse,,,4-6 years,,11:00 PM,3:00 PM,7:00 AM
Appliance,It's around 10 in the morning and I need to run the washer. When should I start it?,"Butler, PA",,,3,160,Single-family,,,1-3 years,,10:00 AM,2:00 PM,10:00 PM
Appliance,"It's just past 5 PM, when should I run the dryer?","Greensburg, PA",,,2,190,Townhouse,,,13-17 years,,5:00 PM,2:00 PM,11:00 PM
Appliance,It's past 1 in the morning and I need to run the washing machine. When should I start it?,"Monroeville, PA",,,5,210,Apartment,,,10-12 years,,1:00 AM,9:00 AM,2:00 PM
Appliance,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Indiana, PA",,,4,180,Townhouse,,,7-9 years,,3:00 PM,8:00 PM,11:00 PM
Appliance,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dishwasher. When should I run it?","York, PA",,,4,200,Townhouse,,,7-9 years,,2:00 PM,3:00 PM,11:00 PM
Appliance,"It's mid-afternoon, about 2 and I need to run the dryer. When should I start it?","Philadelphia, PA",,,3,175,Townhouse,,,10-12 years,,2:00 PM,11:00 PM,7:00 PM
Appliance,"It's around 7 in the evening, when should I run the dishwasher?","Philadelphia, PA",,,3,150,Single-family,,,1-3 years,,7:00 PM,5:00 PM,4:00 PM
Appliance,It's around 8 at night and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",,,4,120,Single-family,,,4-6 years,,8:00 PM,5:00 PM,1:00 AM
Appliance,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the washing machine. When should I run it?","Norristown, PA",,,3,120,Apartment,,,4-6 years,,2:00 PM,10:00 PM,1:00 AM
Appliance,It's just gone 1 AM and I need to run the dryer. When should I start it?,"West Chester, PA",,,4,120,Townhouse,,,4-6 years,,1:00 AM,3:00 PM,11:00 PM
Appliance,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Philadelphia, PA",,,3,120,Apartment,,,10-12 years,,3:00 PM,10:00 PM,8:00 AM
Appliance,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"DuBois, PA",,,5,150,Townhouse,,,7-9 years,,5:00 PM,2:00 PM,10:00 PM
Appliance,"It's getting close to midnight, when should I run the washing machine?","Pittsburgh, PA",,,5,175,Single-family,,,4-6 years,,11:00 PM,3:00 PM,5:00 PM
Appliance,"It's just past 5 PM, when should I run the washer?","Erie, PA",,,3,120,Apartment,,,10-12 years,,5:00 PM,2:00 PM,9:00 PM
Appliance,"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Altoona, PA",,,3,120,Single-family,,,10-12 years,,4:00 PM,1:00 AM,10:00 PM
Appliance,"It's late afternoon, around 4 and I'm trying to figure out when to start the washing machine. When should I run it?","Erie, PA",,,4,175,Apartment,,,7-9 years,,4:00 PM,12:00 PM,9:00 PM
Appliance,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"York, PA",,,2,120,Townhouse,,,13-17 years,,5:00 PM,1:00 AM,7:00 PM
Appliance,It's around 7 in the evening and I need to run the washing machine. When should I start it?,"Carlisle, PA",,,3,175,Single-family,,,1-3 years,,7:00 PM,2:00 PM,1:00 AM
Appliance,It's around 5 in the evening and I need to run the dryer. When should I start it?,"Easton, PA",,,5,175,Townhouse,,,4-6 years,,5:00 PM,10:00 PM,1:00 AM
Appliance,"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Philadelphia, PA",,,4,175,Apartment,,,13-17 years,,4:00 PM,11:00 PM,9:00 AM
Appliance,It's around 2 in the afternoon and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",,,4,200,Apartment,,,4-6 years,,2:00 PM,12:00 AM,11:00 PM
Appliance,"It's past 1 in the morning, when should I run the dryer?","Pittsburgh, PA",,,4,175,Townhouse,,,10-12 years,,1:00 AM,2:00 PM,8:00 PM
Appliance,It's just past 8 PM and I need to run the washer. When should I start it?,"McKeesport, PA",,,3,200,Townhouse,,,7-9 years,,8:00 PM,10:00 AM,4:00 PM
Appliance,It's just gone 1 AM and I need to run the dryer. When should I start it?,"Pottstown, PA",,,3,200,Townhouse,,,10-12 years,,1:00 AM,9:00 PM,4:00 PM
Appliance,It's right at midnight and I need to run the dryer. When should I start it?,"Erie, PA",,,4,150,Apartment,,,1-3 years,,12:00 AM,7:00 PM,3:00 PM
Appliance,"It's just past midnight, when should I run the dishwasher?","Chester, PA",,,2,200,Townhouse,,,10-12 years,,12:00 AM,10:00 PM,4:00 PM
Appliance,"It's late afternoon, around 4 and I need to run the washing machine. When should I start it?","Oil City, PA",,,2,175,Single-family,,,13-17 years,,4:00 PM,10:00 PM,6:00 AM
Appliance,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Gettysburg, PA",,,2,200,Townhouse,,,1-3 years,,3:00 PM,11:00 PM,1:00 AM
Appliance,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dryer. When should I run it?","York, PA",,,2,150,Apartment,,,4-6 years,,2:00 PM,2:00 AM,9:00 PM
Appliance,It's just past 7 PM and I need to run the dishwasher. When should I start it?,"York, PA",,,3,195,Townhouse,,,4-6 years,,7:00 PM,10:00 PM,1:00 AM
Appliance,"It's around 8 at night, when should I run the dishwasher?","Media, PA",,,4,265,Single-family,,,4-6 years,,8:00 PM,11:00 PM,2:00 AM
Appliance,It's about 7 in the morning and I need to run the dishwasher. When should I start it?,"McKeesport, PA",,,2,340,Apartment,,,10-12 years,,7:00 PM,10:00 PM,12:00 AM
Appliance,It's just after 8 AM and I need to run the washer. When should I start it?,"Altoona, PA",,,2,210,Apartment,,,1-3 years,,7:00 AM,10:00 AM,1:00 PM
Appliance,It's just past 5 PM and I need to run the dryer. When should I start it?,"Chester, PA",,,4,295,Townhouse,,,7-9 years,,5:00 PM,2:00 PM,12:00 AM
Appliance,It's around 8 in the morning and I need to run the washer. When should I start it?,"Easton, PA",,,3,175,Single-family,,,10-12 years,,7:00 AM,10:00 AM,2:00 PM
Appliance,It's about 9 in the morning and I need to run the washer. When should I start it?,"Doylestown, PA",,,5,385,Single-family,,,4-6 years,,8:00 AM,12:00 PM,4:00 PM
Appliance,It's about 9 in the morning and I need to run the dryer. When should I start it?,"Scranton, PA",,,2,195,Apartment,,,10-12 years,,9:00 AM,12:00 PM,3:00 PM
Appliance,It's around 10 in the morning and I need to run the dishwasher. When should I start it?,"Philadelphia, PA",,,3,175,Townhouse,,,4-6 years,,10:00 AM,3:00 PM,11:00 PM
Appliance,It's just after 8 AM and I need to run the dryer. When should I start it?,"Allentown, PA",,,3,200,Single-family,,,4-6 years,,8:00 AM,6:00 PM,12:00 AM
Appliance,"It's mid-morning, about 10 and I need to run the dishwasher. When should I start it?","Pittsburgh, PA",,,2,150,Apartment,,,4-6 years,,10:00 AM,3:00 PM,11:00 PM
Appliance,"It's late afternoon, just past 3 and I need to run the washing machine. When should I start it?","Pittsburgh, PA",,,4,175,Single-family,,,4-6 years,,3:00 PM,7:00 PM,12:00 AM
Appliance,It's just past 7 PM and I need to run the dishwasher. When should I start it?,"McKeesport, PA",,,3,120,Apartment,,,7-9 years,,7:00 PM,10:00 PM,12:00 AM
Appliance,It's around 2 in the afternoon and I need to run the washing machine. When should I start it?,"Pittsburgh, PA",,,2,150,Townhouse,,,1-3 years,,2:00 PM,7:00 AM,10:00 PM
Appliance,"It's late afternoon, just past 3 and I need to run the dryer. When should I start it?","Philadelphia, PA",,,4,200,Single-family,,,13-17 years,,3:00 PM,8:00 AM,11:00 PM
Appliance,It's nearly 11 at night and I need to run the washing machine. When should I start it?,"Scranton, PA",,,3,150,Apartment,,,4-6 years,,11:00 PM,8:00 AM,2:00 PM
Appliance,It's just past midnight and I need to run the washing machine. When should I start it?,"York, PA",,,2,175,Apartment,,,4-6 years,,12:00 AM,10:00 AM,3:00 PM
Appliance,It's just gone 1 AM and I need to run the dryer. When should I start it?,"Erie, PA",,,2,150,Apartment,,,7-9 years,,1:00 AM,9:00 AM,2:00 PM
Appliance,It's around 8 in the morning and I need to run the dishwasher. When should I start it?,"Doylestown, PA",,,5,175,Single-family,,,4-6 years,,8:00 AM,12:00 PM,6:00 PM
Appliance,It's 3 in the morning and I need to run the dryer. When should I start it?,"Chester, PA",,,5,175,Apartment,,,4-6 years,,3:00 AM,10:00 AM,3:00 PM
Appliance,It's just past 8 PM and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",,,5,160,Single-family,,,1-3 years,,8:00 PM,9:00 AM,11:00 PM
Appliance,It's about 4 in the afternoon and I need to run the dryer. When should I start it?,"Bethlehem, PA",,,4,195,Townhouse,,,7-9 years,,4:00 PM,6:00 PM,10:00 PM
Appliance,It's just past 5 PM and I need to run the washing machine. When should I start it?,"Scranton, PA",,,2,175,Apartment,,,28-32 years,,5:00 PM,11:00 PM,6:00 AM
Appliance,It's around 9 in the morning and I need to run the dishwasher. When should I start it?,"Exton, PA",,,2,170,Condo,,,4-6 years,,9:00 AM,3:00 PM,11:00 PM
Appliance,It's just past 6 PM and I need to run the washing machine. When should I start it?,"West Chester, PA",,,1,155,Condo,,,4-6 years,,6:00 PM,11:00 PM,8:00 AM
Appliance,It's about 10 in the morning and I need to run the dryer. When should I start it?,"Coatesville, PA",,,2,185,Condo,,,7-9 years,,10:00 AM,3:00 PM,11:00 PM
Appliance,It's just past 8 AM and I need to run the dishwasher. When should I start it?,"Bethlehem, PA",,,3,170,Rowhouse,,,7-9 years,,8:00 AM,2:00 PM,10:00 PM
Appliance,It's around 3 in the afternoon and I need to run the washing machine. When should I start it?,"Hazleton, PA",,,2,160,Rowhouse,,,4-6 years,,3:00 PM,9:00 PM,2:00 AM
Appliance,It's just past 7 PM and I need to run the dryer. When should I start it?,"Stroudsburg, PA",,,4,195,Rowhouse,,,10-12 years,,7:00 PM,11:00 PM,8:00 AM
Appliance,It's around 8 in the morning and I need to run the dishwasher. When should I start it?,"Levittown, PA",,,1,135,Apartment,,,1-3 years,,8:00 AM,2:00 PM,11:00 PM
Appliance,It's about 3 in the afternoon and I need to run the washing machine. When should I start it?,"Pottstown, PA",,,2,145,Single-family,,,4-6 years,,3:00 PM,9:00 PM,6:00 AM
Appliance,It's just past 7 PM and I need to run the dryer. When should I start it?,"Phoenixville, PA",,,1,155,Townhouse,,,4-6 years,,7:00 PM,11:00 PM,8:00 AM
Appliance,It's around 11 in the morning and I need to run the dishwasher. When should I start it?,"Quakertown, PA",,,2,140,Apartment,,,4-6 years,,11:00 AM,3:00 PM,10:00 PM
Shower,How long should I shower?,"Pittsburgh, PA",,,2,185,Apartment,28.0,,,low_flow,3,5,8
Shower,How long should I shower?,"Philadelphia, PA",,,3,220,Townhouse,85.0,,,low_flow,4,7,10
Shower,How long should I shower?,"Lancaster, PA",,,1,180,Apartment,18.0,,,low_flow,5,8,12
Shower,How long should I shower?,"Harrisburg, PA",,,2,190,Townhouse,75.0,,,standard,5,7,10
Shower,How long should I shower?,"Allentown, PA",,,4,260,Single-family,78.0,,,low_flow,5,7,10
Shower,How long should I shower?,"Erie, PA",,,4,300,Single-family,28.0,,,standard,6,9,12
Shower,How long should I shower?,"Scranton, PA",,,2,180,Apartment,32.0,,,low_flow,5,7,10
Shower,How long should I shower?,"Bethlehem, PA",,,5,240,Townhouse,30.0,,,low_flow,3,6,9
Shower,How long should I shower?,"Reading, PA",,,5,350,Single-family,82.0,,,standard,5,8,12
Shower,How long should I shower?,"York, PA",,,5,320,Single-family,20.0,,,high_flow,8,12,16
Shower,How long should I shower?,"West Chester, PA",,,6,360,Single-family,82.0,,,high_flow,10,15,18
Shower,How long should I shower?,"State College, PA",,,4,290,Single-family,30.0,,,standard,6,10,15
Shower,How long should I shower?,"Doylestown, PA",,,3,310,Single-family,85.0,,,standard,6,9,12
Shower,How long should I shower?,"Media, PA",,,4,280,Townhouse,25.0,,,high_flow,6,10,15
Shower,How long should I shower?,"Norristown, PA",,,3,300,Apartment,90.0,,,high_flow,7,12,16
Shower,How long should I shower?,"King of Prussia, PA",,,6,390,Single-family,15.0,,,high_flow,12,15,18
Shower,How long should I shower?,"Pottstown, PA",,,2,210,Apartment,78.0,,,low_flow,5,8,12
Shower,How long should I shower?,"Exton, PA",,,5,410,Townhouse,88.0,,,high_flow,10,14,18
Shower,How long should I shower?,"Newtown, PA",,,4,230,Apartment,22.0,,,low_flow,2,3,5
Shower,How long should I shower?,"Wilkes-Barre, PA",,,5,260,Townhouse,80.0,,,standard,3,5,8
Shower,How long should I shower?,"Phoenixville, PA",,,7,430,Single-family,12.0,,,standard,8,12,15
Shower,How long should I shower?,"Greensburg, PA",,,2,300,Single-family,92.0,,,low_flow,5,8,12
Shower,How long should I shower?,"Hazleton, PA",,,3,250,Townhouse,30.0,,,high_flow,5,8,12
Shower,How long should I shower?,"Altoona, PA",,,2,210,Apartment,70.0,,,high_flow,4,7,10
Shower,How long should I shower?,"Chambersburg, PA",,,4,320,Single-family,55.0,,,high_flow,4,7,10
Shower,How long should I shower?,"Johnstown, PA",,,4,240,Townhouse,58.0,,,low_flow,3,8,15
Shower,How long should I shower?,"Lebanon, PA",,,2,195,Apartment,65.0,,,standard,4,10,18
Shower,How long should I shower?,"Monroeville, PA",,,4,280,Single-family,50.0,,,low_flow,5,12,20
Shower,How long should I shower?,"Stroudsburg, PA",,,2,185,Apartment,40.0,,,standard,2,7,14
Shower,How long should I shower?,"Carlisle, PA",,,3,255,Townhouse,72.0,,,low_flow,6,10,16
Shower,How long should I shower?,"Coatesville, PA",,,2,200,Apartment,52.0,,,low_flow,5,8,12
Shower,How long should I shower?,"DuBois, PA",,,3,240,Single-family,45.0,,,standard,5,8,12
Shower,How long should I shower?,"Gettysburg, PA",,,2,205,Townhouse,60.0,,,low_flow,5,8,12
Shower,How long should I shower?,"Chester, PA",,,3,260,Single-family,55.0,,,standard,5,8,12
Shower,How long should I shower?,"Easton, PA",,,4,290,Single-family,48.0,,,standard,5,8,12
Shower,How long should I shower?,"Butler, PA",,,5,320,Single-family,55.0,,,standard,8,10,12
Shower,How long should I shower?,"Meadville, PA",,,4,280,Single-family,50.0,,,standard,8,10,12
Shower,How long should I shower?,"Indiana, PA",,,6,380,Single-family,60.0,,,standard,8,10,12
Shower,How long should I shower?,"Oil City, PA",,,5,310,Single-family,55.0,,,low_flow,8,10,12
Shower,How long should I shower?,"Uniontown, PA",,,7,430,Single-family,58.0,,,standard,8,10,12
Shower,How long should I shower?,"Erie, PA",,,3,265,Apartment,10.0,,,standard,5,8,12
Shower,How long should I shower?,"Scranton, PA",,,2,200,Single-family,20.0,,,low_flow,5,8,12
Shower,How long should I shower?,"Stroudsburg, PA",,,3,250,Single-family,32.0,,,standard,5,8,12
Shower,How long should I shower?,"Phoenixville, PA",,,3,260,Apartment,92.0,,,standard,5,8,12
Shower,How long should I shower?,"Carlisle, PA",,,2,200,Apartment,42.0,,,standard,4,7,10
Shower,How long should I shower?,"DuBois, PA",,,5,350,Single-family,38.0,,,high_flow,4,7,10
Shower,How long should I shower?,"Gettysburg, PA",,,3,235,Townhouse,55.0,,,low_flow,1,6,12
Shower,How long should I shower?,"Easton, PA",,,2,190,Apartment,62.0,,,standard,7,14,22
Shower,How long should I shower?,"Butler, PA",,,3,245,Single-family,50.0,,,low_flow,5,8,12
Shower,How long should I shower?,"Hazleton, PA",,,2,205,Apartment,58.0,,,standard,5,8,12
Shower,How long should I shower?,"Lebanon, PA",,,4,260,Townhouse,55.0,,,standard,6,8,10
Shower,How long should I shower?,"Monroeville, PA",,,8,490,Single-family,58.0,,,standard,8,10,12
Shower,How long should I shower?,"Bradford, PA",,,2,190,Single-family,5.0,,,low_flow,5,8,12
Shower,How long should I shower?,"King of Prussia, PA",,,2,195,Condo,65.0,,,low_flow,3,5,8
Shower,How long should I shower?,"Blue Bell, PA",,,3,245,Condo,78.0,,,standard,3,5,8
Shower,How long should I shower?,"Philadelphia, PA",,,3,250,Rowhouse,72.0,,,standard,3,5,8
Shower,How long should I shower?,"Lancaster, PA",,,2,195,Rowhouse,58.0,,,low_flow,3,5,8
Shower,How long should I shower?,"State College, PA",,,1,145,Apartment,35.0,,,low_flow,4,6,10
Shower,How long should I shower?,"New Castle, PA",,,1,150,Apartment,45.0,,,low_flow,4,6,10
Shower,How long should I shower?,"McKeesport, PA",,,2,190,Apartment,42.0,,,low_flow,3,5,8
