scenario_id,question,location,utility_budget,appliance,appliance_age,housing_type,household_size,kwh_per_cycle,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_cost,raw_emissions
9,"It's just past 7 PM, when should I run the dryer?","Bethlehem, PA",175,dryer,12,Townhouse,3,3.5,7:00 PM,6.98,0.0,10.0,10.0,5.593999999999999,1,0.35,3.643
9,"It's just past 7 PM, when should I run the dryer?","Bethlehem, PA",175,dryer,12,Townhouse,3,3.5,9:00 AM,6.98,0.0,5.13,3.42,3.633,3,0.35,3.643
9,"It's just past 7 PM, when should I run the dryer?","Bethlehem, PA",175,dryer,12,Townhouse,3,3.5,12:00 AM,6.98,0.67,5.06,3.88,3.9225,2,0.35,3.416
10,It's around 3 in the afternoon and I need to run the dishwasher. When should I start it?,"Exton, PA",150,dishwasher,2,Apartment,2,0.72,3:00 PM,8.07,8.51,10.0,10.0,8.8995,1,0.2304,0.75
10,It's around 3 in the afternoon and I need to run the dishwasher. When should I start it?,"Exton, PA",150,dishwasher,2,Apartment,2,0.72,9:00 AM,9.66,8.51,7.43,6.21,8.294,2,0.0547,0.75
10,It's around 3 in the afternoon and I need to run the dishwasher. When should I start it?,"Exton, PA",150,dishwasher,2,Apartment,2,0.72,10:00 PM,9.66,8.51,7.0,4.64,7.9725,3,0.0547,0.75
11,"It's late, just past 10 PM and I need to run the dryer. When should I start it?","Philadelphia, PA",150,dryer,6,Apartment,4,2.5,10:00 PM,8.43,3.06,7.83,9.25,6.5535,1,0.19,2.603
11,"It's late, just past 10 PM and I need to run the dryer. When should I start it?","Philadelphia, PA",150,dryer,6,Apartment,4,2.5,9:00 AM,8.43,3.06,4.71,2.95,4.9845,2,0.19,2.603
11,"It's late, just past 10 PM and I need to run the dryer. When should I start it?","Philadelphia, PA",150,dryer,6,Apartment,4,2.5,2:00 PM,2.9,3.06,5.92,4.31,3.7715,3,0.8,2.603
12,"It's getting close to midnight, when should I run the washing machine?","Greensburg, PA",175,washing_machine,5,Townhouse,3,0.45,11:00 PM,9.88,9.43,8.3,9.25,9.312,1,0.0302,0.439
12,"It's getting close to midnight, when should I run the washing machine?","Greensburg, PA",175,washing_machine,5,Townhouse,3,0.45,8:00 AM,9.88,9.34,5.53,3.87,7.919499999999999,3,0.0302,0.468
12,"It's getting close to midnight, when should I run the washing machine?","Greensburg, PA",175,washing_machine,5,Townhouse,3,0.45,3:00 PM,9.48,9.34,5.92,4.64,7.992999999999999,2,0.0743,0.468
13,"It's mid-afternoon, about 2 and I need to run the dryer. When should I start it?","Wilkes-Barre, PA",200,dryer,7,Single-family,5,2.5,2:00 PM,6.98,3.06,10.0,10.0,6.665,1,0.35,2.603
13,"It's mid-afternoon, about 2 and I need to run the dryer. When should I start it?","Wilkes-Barre, PA",200,dryer,7,Single-family,5,2.5,4:00 PM,6.98,3.06,8.73,8.03,6.115500000000001,2,0.35,2.603
13,"It's mid-afternoon, about 2 and I need to run the dryer. When should I start it?","Wilkes-Barre, PA",200,dryer,7,Single-family,5,2.5,8:00 PM,7.89,3.06,6.11,4.64,5.356,3,0.25,2.603
14,"It's just after 8 AM, when should I run the dishwasher?","Lebanon, PA",150,dishwasher,5,Townhouse,4,1.1,9:00 AM,9.16,7.35,10.0,10.0,8.8205,1,0.11,1.145
14,"It's just after 8 AM, when should I run the dishwasher?","Lebanon, PA",150,dishwasher,5,Townhouse,4,1.1,3:00 PM,8.76,7.35,7.09,5.81,7.49,2,0.154,1.145
14,"It's just after 8 AM, when should I run the dishwasher?","Lebanon, PA",150,dishwasher,5,Townhouse,4,1.1,8:00 PM,9.16,7.35,4.78,4.64,6.972499999999999,3,0.11,1.145
15,It's around 2 in the morning and I need to run the washing machine. When should I start it?,"Allentown, PA",120,washing_machine,6,Apartment,6,0.38,2:00 AM,9.81,9.63,7.83,8.45,9.147,1,0.038,0.371
15,It's around 2 in the morning and I need to run the washing machine. When should I start it?,"Allentown, PA",120,washing_machine,6,Apartment,6,0.38,10:00 AM,9.81,9.55,5.23,4.64,8.027500000000002,2,0.038,0.396
15,It's around 2 in the morning and I need to run the washing machine. When should I start it?,"Allentown, PA",120,washing_machine,6,Apartment,6,0.38,3:00 PM,9.67,9.55,3.94,2.03,7.336,3,0.0532,0.396
16,"It's late morning, just before noon and I need to run the dryer. When should I start it?","Easton, PA",190,dryer,6,Single-family,3,2.5,11:00 AM,8.34,3.06,10.0,10.0,7.073,1,0.2,2.603
16,"It's late morning, just before noon and I need to run the dryer. When should I start it?","Easton, PA",190,dryer,6,Single-family,3,2.5,3:00 PM,5.17,3.06,7.81,6.66,5.183,2,0.55,2.603
16,"It's late morning, just before noon and I need to run the dryer. When should I start it?","Easton, PA",190,dryer,6,Single-family,3,2.5,12:00 AM,8.34,3.54,2.86,1.51,4.539499999999999,3,0.2,2.44
17,It's around 10 in the morning and I need to run the washing machine. When should I start it?,"Chambersburg, PA",165,washing_machine,4,Apartment,2,0.32,10:00 AM,9.92,9.74,10.0,10.0,9.885,1,0.0256,0.333
17,It's around 10 in the morning and I need to run the washing machine. When should I start it?,"Chambersburg, PA",165,washing_machine,4,Apartment,2,0.32,4:00 PM,9.52,9.74,7.43,6.21,8.6825,2,0.0704,0.333
17,It's around 10 in the morning and I need to run the washing machine. When should I start it?,"Chambersburg, PA",165,washing_machine,4,Apartment,2,0.32,10:00 PM,9.92,9.74,1.53,2.2,7.021,3,0.0256,0.333
18,It's around 3 in the afternoon and I need to run the washing machine. When should I start it?,"Philadelphia, PA",140,washing_machine,1,Apartment,1,0.15,3:00 PM,9.72,10.0,10.0,10.0,9.916,1,0.048,0.156
18,It's around 3 in the afternoon and I need to run the washing machine. When should I start it?,"Philadelphia, PA",140,washing_machine,1,Apartment,1,0.15,9:00 AM,10.0,10.0,7.43,6.21,8.9175,2,0.0114,0.156
18,It's around 3 in the afternoon and I need to run the washing machine. When should I start it?,"Philadelphia, PA",140,washing_machine,1,Apartment,1,0.15,11:00 PM,10.0,10.0,3.59,4.08,7.83,3,0.0114,0.146
19,It's just past midnight and I need to run the dryer. When should I start it?,"Pittsburgh, PA",180,dryer,5,Apartment,3,2.5,12:00 AM,7.04,3.54,7.83,8.45,6.1845,1,0.3438,2.44
19,It's just past midnight and I need to run the dryer. When should I start it?,"Pittsburgh, PA",180,dryer,5,Apartment,3,2.5,9:00 AM,7.04,3.06,5.53,3.87,4.869499999999999,2,0.3438,2.603
19,It's just past midnight and I need to run the dryer. When should I start it?,"Pittsburgh, PA",180,dryer,5,Apartment,3,2.5,2:00 PM,7.04,3.06,5.13,3.42,4.722,3,0.3438,2.603
20,"It's nearly 11 at night, when should I run the washing machine?","Altoona, PA",155,washing_machine,6,Apartment,4,0.42,11:00 PM,9.88,9.51,7.83,9.25,9.245999999999999,1,0.0302,0.41
20,"It's nearly 11 at night, when should I run the washing machine?","Altoona, PA",155,washing_machine,6,Apartment,4,0.42,10:00 AM,9.88,9.43,4.71,2.95,7.649,3,0.0302,0.437
20,"It's nearly 11 at night, when should I run the washing machine?","Altoona, PA",155,washing_machine,6,Apartment,4,0.42,3:00 PM,9.45,9.43,5.92,4.64,8.0155,2,0.0777,0.437
21,It's barely 5 in the morning and I need to run the dishwasher. When should I start it?,"King of Prussia, PA",165,dishwasher,4,Single-family,3,1.2,5:00 AM,9.33,7.27,10.0,8.45,8.610999999999999,1,0.0912,1.171
21,It's barely 5 in the morning and I need to run the dishwasher. When should I start it?,"King of Prussia, PA",165,dishwasher,4,Single-family,3,1.2,9:00 AM,9.33,7.04,8.02,6.91,7.9035,2,0.0912,1.249
21,It's barely 5 in the morning and I need to run the dishwasher. When should I start it?,"King of Prussia, PA",165,dishwasher,4,Single-family,3,1.2,7:00 PM,9.33,7.04,5.26,4.64,7.010999999999999,3,0.0912,1.249
22,"It's late afternoon, just past 3, when should I run the dishwasher?","Greensburg, PA",180,dishwasher,6,Townhouse,3,1.05,3:00 PM,8.58,7.5,10.0,10.0,8.699,1,0.1733,1.093
22,"It's late afternoon, just past 3, when should I run the dishwasher?","Greensburg, PA",180,dishwasher,6,Townhouse,3,1.05,9:00 PM,9.52,7.5,7.09,5.81,7.7705,2,0.0704,1.093
22,"It's late afternoon, just past 3, when should I run the dishwasher?","Greensburg, PA",180,dishwasher,6,Townhouse,3,1.05,11:00 PM,9.52,7.7,6.17,3.44,7.301,3,0.0704,1.025
23,It's around 8 in the morning and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",185,dishwasher,35,Single-family,3,1.85,8:00 AM,7.85,5.05,10.0,10.0,7.6225,1,0.2544,1.926
23,It's around 8 in the morning and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",185,dishwasher,35,Single-family,3,1.85,2:00 PM,7.85,5.05,7.09,5.81,6.412,2,0.2544,1.926
23,It's around 8 in the morning and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",185,dishwasher,35,Single-family,3,1.85,11:00 PM,7.85,5.41,5.73,2.89,5.827999999999999,3,0.2544,1.806
24,It's around 2 in the afternoon and I need to run the dryer. When should I start it?,"Erie, PA",215,dryer,38,Townhouse,4,4.1,2:00 PM,3.28,0.0,10.0,10.0,4.484,1,0.7585,4.268
24,It's around 2 in the afternoon and I need to run the dryer. When should I start it?,"Erie, PA",215,dryer,38,Townhouse,4,4.1,9:00 PM,7.48,0.0,6.29,4.86,4.231,2,0.2952,4.268
24,It's around 2 in the afternoon and I need to run the dryer. When should I start it?,"Erie, PA",215,dryer,38,Townhouse,4,4.1,2:00 AM,7.48,0.0,1.24,1.51,2.7185,3,0.2952,4.002
25,It's about 10 in the morning and I need to run the dishwasher. When should I start it?,"Allentown, PA",200,dishwasher,40,Single-family,4,2.1,10:00 AM,8.25,4.29,10.0,10.0,7.4765,1,0.21,2.186
25,It's about 10 in the morning and I need to run the dishwasher. When should I start it?,"Allentown, PA",200,dishwasher,40,Single-family,4,2.1,2:00 PM,7.49,4.29,8.02,6.91,6.389,2,0.294,2.186
25,It's about 10 in the morning and I need to run the dishwasher. When should I start it?,"Allentown, PA",200,dishwasher,40,Single-family,4,2.1,11:00 PM,8.25,4.69,4.78,1.71,5.329000000000001,3,0.21,2.05
26,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"King of Prussia, PA",165,dishwasher,7,Condo,2,1.15,5:00 PM,6.82,7.2,10.0,10.0,8.065999999999999,1,0.368,1.197
26,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"King of Prussia, PA",165,dishwasher,7,Condo,2,1.15,11:00 PM,9.36,7.42,7.43,5.19,7.669499999999999,2,0.0874,1.122
26,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"King of Prussia, PA",165,dishwasher,7,Condo,2,1.15,8:00 AM,9.36,7.2,6.29,4.78,7.302999999999999,3,0.0874,1.197
27,It's around 10 in the morning and I need to run the washing machine. When should I start it?,"Blue Bell, PA",145,washing_machine,5,Condo,2,0.32,10:00 AM,9.93,9.74,10.0,10.0,9.888,1,0.0243,0.333
27,It's around 10 in the morning and I need to run the washing machine. When should I start it?,"Blue Bell, PA",145,washing_machine,5,Condo,2,0.32,3:00 PM,9.23,9.74,7.83,6.69,8.7475,2,0.1024,0.333
27,It's around 10 in the morning and I need to run the washing machine. When should I start it?,"Blue Bell, PA",145,washing_machine,5,Condo,2,0.32,11:00 PM,9.93,9.8,2.08,2.7,7.23,3,0.0243,0.312
28,It's just past 9 AM and I need to run the dryer. When should I start it?,"Doylestown, PA",175,dryer,9,Condo,3,2.9,9:00 AM,8.16,1.84,10.0,10.0,6.592000000000001,1,0.2204,3.019
28,It's just past 9 AM and I need to run the dryer. When should I start it?,"Doylestown, PA",175,dryer,9,Condo,3,2.9,2:00 PM,1.74,1.84,7.29,6.04,3.53,2,0.928,3.019
28,It's just past 9 AM and I need to run the dryer. When should I start it?,"Doylestown, PA",175,dryer,9,Condo,3,2.9,10:00 PM,8.16,1.84,0.94,1.61,3.5215,3,0.2204,3.019
29,It's around 2 in the afternoon and I need to run the dishwasher. When should I start it?,"Philadelphia, PA",165,dishwasher,6,Rowhouse,3,1.2,2:00 PM,6.67,7.04,10.0,10.0,7.965,1,0.384,1.249
29,It's around 2 in the afternoon and I need to run the dishwasher. When should I start it?,"Philadelphia, PA",165,dishwasher,6,Rowhouse,3,1.2,8:00 PM,9.33,7.04,7.09,5.81,7.5525,2,0.0912,1.249
29,It's around 2 in the afternoon and I need to run the dishwasher. When should I start it?,"Philadelphia, PA",165,dishwasher,6,Rowhouse,3,1.2,2:00 AM,9.33,7.27,4.28,1.51,6.425999999999999,3,0.0912,1.171
30,It's about 7 in the evening and I need to run the washing machine. When should I start it?,"Lancaster, PA",170,washing_machine,8,Rowhouse,4,0.42,7:00 PM,9.77,9.43,10.0,10.0,9.731499999999999,1,0.042,0.437
30,It's about 7 in the evening and I need to run the washing machine. When should I start it?,"Lancaster, PA",170,washing_machine,8,Rowhouse,4,0.42,11:00 PM,9.77,9.51,5.82,5.81,8.294999999999998,2,0.042,0.41
30,It's about 7 in the evening and I need to run the washing machine. When should I start it?,"Lancaster, PA",170,washing_machine,8,Rowhouse,4,0.42,8:00 AM,9.77,9.43,4.71,2.95,7.615999999999999,3,0.042,0.437
31,It's around 8 in the morning and I need to run the dryer. When should I start it?,"Norristown, PA",195,dryer,11,Rowhouse,3,3.1,8:00 AM,8.02,1.23,10.0,10.0,6.336499999999999,1,0.2356,3.227
31,It's around 8 in the morning and I need to run the dryer. When should I start it?,"Norristown, PA",195,dryer,11,Rowhouse,3,3.1,3:00 PM,1.16,1.23,6.29,4.86,2.7655,3,0.992,3.227
31,It's around 8 in the morning and I need to run the dryer. When should I start it?,"Norristown, PA",195,dryer,11,Rowhouse,3,3.1,11:00 PM,8.02,1.82,2.86,2.63,4.0095,2,0.2356,3.026
32,"It's around 2 in the afternoon, when should I run the dryer?","McKeesport, PA",220,dryer,7,Townhouse,4,2.6,2:00 PM,6.91,2.76,10.0,10.0,6.539,1,0.3575,2.707
32,"It's around 2 in the afternoon, when should I run the dryer?","McKeesport, PA",220,dryer,7,Townhouse,4,2.6,9:00 AM,6.91,2.76,7.29,6.04,5.403,2,0.3575,2.707
32,"It's around 2 in the afternoon, when should I run the dryer?","McKeesport, PA",220,dryer,7,Townhouse,4,2.6,10:00 PM,6.91,2.76,3.36,3.11,4.1775,3,0.3575,2.707
33,"I've just got home, it's around 6 PM, and I need to run the dishwasher. When should I start it?","Harrisburg, PA",200,dishwasher,10,Single-family,6,1.7,6:00 PM,8.61,5.51,10.0,10.0,8.0115,1,0.17,1.77
33,"I've just got home, it's around 6 PM, and I need to run the dishwasher. When should I start it?","Harrisburg, PA",200,dishwasher,10,Single-family,6,1.7,9:00 AM,8.61,5.51,5.21,4.64,6.249499999999999,3,0.17,1.77
33,"I've just got home, it's around 6 PM, and I need to run the dishwasher. When should I start it?","Harrisburg, PA",200,dishwasher,10,Single-family,6,1.7,10:00 PM,8.61,5.51,7.83,5.71,6.933999999999999,2,0.17,1.77
34,Laundry finished around 6 PM in Harrisburg. When should I run the dryer?,"Harrisburg, PA",260,dryer,9,Rowhouse,4,2.4,6:00 PM,7.98,3.37,10.0,10.0,7.0735,1,0.24,2.498
34,Laundry finished around 6 PM in Harrisburg. When should I run the dryer?,"Harrisburg, PA",260,dryer,9,Rowhouse,4,2.4,10:00 PM,7.98,3.37,5.69,5.67,5.562,2,0.24,2.498
34,Laundry finished around 6 PM in Harrisburg. When should I run the dryer?,"Harrisburg, PA",260,dryer,9,Rowhouse,4,2.4,6:00 AM,7.98,3.83,1.24,2.47,4.353,3,0.24,2.342
35,It's around 8 in the morning and I need to run the dishwasher in Doylestown. When should I start it?,"Doylestown, PA",210,dishwasher,6,Townhouse,3,1.05,8:00 AM,9.43,7.5,10.0,10.0,8.954,1,0.0798,1.093
35,It's around 8 in the morning and I need to run the dishwasher in Doylestown. When should I start it?,"Doylestown, PA",210,dishwasher,6,Townhouse,3,1.05,2:00 PM,7.11,7.5,7.09,5.81,7.0475,3,0.336,1.093
35,It's around 8 in the morning and I need to run the dishwasher in Doylestown. When should I start it?,"Doylestown, PA",210,dishwasher,6,Townhouse,3,1.05,11:00 PM,9.43,7.7,5.73,2.89,7.103499999999999,2,0.0798,1.025
