Description,Location,Utility Budget,Appliance,Housing Type,Occupants,kwh/cycle,Appliance Age/Type,Baseline Time,Alternative 1,Alternative 2,Alternative 3
"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dryer. When should I run it?","York, PA",150,dryer,Apartment,2,2.50,5,2:00 PM,2:00 PM,2:00 AM,9:00 PM
It's just past 7 PM and I need to run the dishwasher. When should I start it?,"York, PA",195,dishwasher,Townhouse,3,1.15,6,7:00 PM,7:00 PM,10:00 PM,1:00 AM
It's around 8 at night � when should I run the dishwasher?,"Media, PA",265,dishwasher,Single-family,4,0.95,4,8:00 PM,8:00 PM,11:00 PM,2:00 AM
It's about 7 in the morning and I need to run the dishwasher. When should I start it?,"McKeesport, PA",340,dishwasher,Apartment,2,1.55,10,7:00 AM,7:00 PM,10:00 PM,12:00 AM
It's just after 8 AM and I need to run the washer. When should I start it?,"Altoona, PA",210,washer,Apartment,2,0.22,2,8:00 AM,7:00 AM,10:00 AM,1:00 PM
It's just past 5 PM and I need to run the dryer. When should I start it?,"Chester, PA",295,dryer,Townhouse,4,2.90,8,5:00 PM,5:00 PM,2:00 PM,12:00 AM
It's around 8 in the morning and I need to run the washer. When should I start it?,"Easton, PA",175,washer,Single-family,3,0.45,10,8:00 AM,7:00 AM,10:00 AM,2:00 PM
It's about 9 in the morning and I need to run the washer. When should I start it?,"Doylestown, PA",385,washer,Single-family,5,0.38,6,9:00 AM,8:00 AM,12:00 PM,4:00 PM
"It's mid-morning, about 10 and I need to run the dryer. When should I start it?","Johnstown, PA",260,dryer,Townhouse,3,2.80,6,10:00 AM,9:00 AM,12:00 PM,4:00 PM
It's just past 9 AM � when should I run the dryer?,"Meadville, PA",320,dryer,Single-family,4,3.50,8,9:00 AM,9:00 AM,1:00 PM,5:00 PM
It's about 9 in the morning and I need to run the dryer. When should I start it?,"Scranton, PA",195,dryer,Apartment,2,3.50,10,9:00 AM,9:00 AM,12:00 PM,3:00 PM
It's around 10 in the morning and I need to run the dishwasher. When should I start it?,"Philadelphia, PA",175,dishwasher,Townhouse,3,1.25,5,10:00 AM,10:00 AM,3:00 PM,11:00 PM
It's just past 9 AM and I need to run the washing machine. When should I start it?,"Lancaster, PA",150,washing_machine,Single-family,4,0.35,6,9:00 AM,9:00 AM,3:00 PM,12:00 AM
It's just after 8 AM and I need to run the dryer. When should I start it?,"Allentown, PA",200,dryer,Single-family,3,2.50,4,8:00 AM,8:00 AM,6:00 PM,12:00 AM
"It's late morning, around 11 and I need to run the dishwasher. When should I start it?","Norristown, PA",175,dishwasher,Apartment,2,1.10,3,11:00 AM,11:00 AM,4:00 PM,8:00 PM
It's just past 9 AM and I need to run the washing machine. When should I start it?,"Reading, PA",150,washing_machine,Townhouse,3,0.45,7,9:00 AM,9:00 AM,8:00 PM,12:00 AM
"It's mid-morning, about 10 and I need to run the dishwasher. When should I start it?","Pittsburgh, PA",150,dishwasher,Apartment,2,1.25,5,10:00 AM,10:00 AM,3:00 PM,11:00 PM
"It's late afternoon, just past 3 and I need to run the washing machine. When should I start it?","Pittsburgh, PA",175,washing_machine,Single-family,4,0.38,4,3:00 PM,3:00 PM,7:00 PM,12:00 AM
It's just past 9 AM � when should I run the dryer?,"McKeesport, PA",200,dryer,Townhouse,3,2.80,6,9:00 AM,9:00 AM,2:00 PM,11:00 PM
It's just past 7 PM and I need to run the dishwasher. When should I start it?,"McKeesport, PA",120,dishwasher,Apartment,3,0.95,8,7:00 PM,7:00 PM,10:00 PM,12:00 AM
It's around 2 in the afternoon and I need to run the washing machine. When should I start it?,"Pittsburgh, PA",150,washing_machine,Townhouse,2,0.28,3,2:00 PM,2:00 PM,7:00 AM,10:00 PM
"It's late afternoon, around 4 and I need to run the washing machine. When should I start it?","State College, PA",150,washing_machine,Apartment,2,0.20,2,4:00 PM,4:00 PM,9:00 AM,12:00 AM
It's around 5 in the evening � when should I run the washing machine?,"Harrisburg, PA",120,washing_machine,Single-family,3,0.23,1,5:00 PM,5:00 PM,9:00 AM,10:00 PM
"It's late afternoon, just past 3 and I need to run the dryer. When should I start it?","Philadelphia, PA",200,dryer,Single-family,4,3.20,15,3:00 PM,3:00 PM,8:00 AM,11:00 PM
It's just past 7 PM � when should I run the dryer?,"Bethlehem, PA",175,dryer,Townhouse,3,3.50,12,7:00 PM,7:00 PM,9:00 AM,12:00 AM
It's around 3 in the afternoon and I need to run the dishwasher. When should I start it?,"Exton, PA",150,dishwasher,Apartment,2,0.72,2,3:00 PM,3:00 PM,9:00 AM,10:00 PM
It's nearly 11 at night and I need to run the washing machine. When should I start it?,"Scranton, PA",150,washing_machine,Apartment,3,0.38,5,11:00 PM,11:00 PM,8:00 AM,2:00 PM
It's late � just past 10 PM and I need to run the dryer. When should I start it?,"Philadelphia, PA",150,dryer,Apartment,4,2.50,6,10:00 PM,10:00 PM,9:00 AM,2:00 PM
It's just past midnight and I need to run the washing machine. When should I start it?,"York, PA",175,washing_machine,Apartment,2,0.35,4,12:00 AM,12:00 AM,10:00 AM,3:00 PM
It's just gone 1 AM and I need to run the dryer. When should I start it?,"Erie, PA",150,dryer,Apartment,2,3.00,8,1:00 AM,1:00 AM,9:00 AM,2:00 PM
It's getting close to midnight � when should I run the washing machine?,"Greensburg, PA",175,washing_machine,Townhouse,3,0.45,5,11:00 PM,11:00 PM,8:00 AM,3:00 PM
It's around 8 in the morning and I need to run the dishwasher. When should I start it?,"Doylestown, PA",175,dishwasher,Single-family,5,1.25,4,8:00 AM,8:00 AM,12:00 PM,6:00 PM
"It's mid-afternoon, about 2 and I need to run the dryer. When should I start it?","Wilkes-Barre, PA",200,dryer,Single-family,5,2.50,7,2:00 PM,2:00 PM,4:00 PM,8:00 PM
It's just after 8 AM � when should I run the dishwasher?,"Lebanon, PA",150,dishwasher,Townhouse,4,1.10,5,9:00 AM,9:00 AM,3:00 PM,8:00 PM
It's around 2 in the morning and I need to run the washing machine. When should I start it?,"Allentown, PA",120,washing_machine,Apartment,6,0.38,6,2:00 AM,2:00 AM,10:00 AM,3:00 PM
It's 3 in the morning and I need to run the dryer. When should I start it?,"Chester, PA",175,dryer,Apartment,5,2.80,5,3:00 AM,3:00 AM,10:00 AM,3:00 PM
"It's late morning, just before noon and I need to run the dryer. When should I start it?","Easton, PA",190,dryer,Single-family,3,2.50,6,11:00 AM,11:00 AM,3:00 PM,12:00 AM
It's around 10 in the morning and I need to run the washing machine. When should I start it?,"Chambersburg, PA",165,washing_machine,Apartment,2,0.32,4,10:00 AM,10:00 AM,4:00 PM,10:00 PM
It's just past 8 PM and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",160,dishwasher,Single-family,5,1.10,3,8:00 PM,8:00 PM,9:00 AM,11:00 PM
It's around 3 in the afternoon and I need to run the washing machine. When should I start it?,"Philadelphia, PA",140,washing_machine,Apartment,1,0.15,1,3:00 PM,3:00 PM,9:00 AM,11:00 PM
It's just past midnight and I need to run the dryer. When should I start it?,"Pittsburgh, PA",180,dryer,Apartment,3,2.50,5,12:00 AM,12:00 AM,9:00 AM,2:00 PM
It's nearly 11 at night � when should I run the washing machine?,"Altoona, PA",155,washing_machine,Apartment,4,0.42,6,11:00 PM,11:00 PM,10:00 AM,3:00 PM
It's barely 5 in the morning and I need to run the dishwasher. When should I start it?,"King of Prussia, PA",165,dishwasher,Single-family,3,1.20,4,5:00 AM,5:00 AM,9:00 AM,7:00 PM
It's about 4 in the afternoon and I need to run the dryer. When should I start it?,"Bethlehem, PA",195,dryer,Townhouse,4,2.80,8,4:00 PM,4:00 PM,6:00 PM,10:00 PM
"It's late afternoon, just past 3 � when should I run the dishwasher?","Greensburg, PA",180,dishwasher,Townhouse,3,1.05,6,3:00 PM,3:00 PM,9:00 PM,11:00 PM
It's around 8 in the morning and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",185,dishwasher,Single-family,3,1.85,35,8:00 AM,8:00 AM,2:00 PM,11:00 PM
It's around 2 in the afternoon and I need to run the dryer. When should I start it?,"Erie, PA",215,dryer,Townhouse,4,4.10,38,2:00 PM,2:00 PM,9:00 PM,2:00 AM
It's just past 5 PM and I need to run the washing machine. When should I start it?,"Scranton, PA",175,washing_machine,Apartment,2,0.85,32,5:00 PM,5:00 PM,11:00 PM,6:00 AM
It's about 10 in the morning and I need to run the dishwasher. When should I start it?,"Allentown, PA",200,dishwasher,Single-family,4,2.10,40,10:00 AM,10:00 AM,2:00 PM,11:00 PM
It's just past 5 PM and I need to run the dishwasher. When should I start it?,"King of Prussia, PA",165,dishwasher,Condo,2,1.15,7,5:00 PM,5:00 PM,11:00 PM,8:00 AM
It's around 10 in the morning and I need to run the washing machine. When should I start it?,"Blue Bell, PA",145,washing_machine,Condo,2,0.32,5,10:00 AM,10:00 AM,3:00 PM,11:00 PM
It's just past 9 AM and I need to run the dryer. When should I start it?,"Doylestown, PA",175,dryer,Condo,3,2.90,9,9:00 AM,9:00 AM,2:00 PM,10:00 PM
It's around 2 in the afternoon and I need to run the dishwasher. When should I start it?,"Philadelphia, PA",165,dishwasher,Rowhouse,3,1.20,6,2:00 PM,2:00 PM,8:00 PM,2:00 AM
It's about 7 in the evening and I need to run the washing machine. When should I start it?,"Lancaster, PA",170,washing_machine,Rowhouse,4,0.42,8,7:00 PM,7:00 PM,11:00 PM,8:00 AM
It's around 8 in the morning and I need to run the dryer. When should I start it?,"Norristown, PA",195,dryer,Rowhouse,3,3.10,11,8:00 AM,8:00 AM,3:00 PM,11:00 PM
It's around 9 in the morning and I need to run the dishwasher. When should I start it?,"Exton, PA",170,dishwasher,Condo,2,1.05,5,9:00 AM,9:00 AM,3:00 PM,11:00 PM
It's just past 6 PM and I need to run the washing machine. When should I start it?,"West Chester, PA",155,washing_machine,Condo,1,0.35,4,6:00 PM,6:00 PM,11:00 PM,8:00 AM
It's about 10 in the morning and I need to run the dryer. When should I start it?,"Coatesville, PA",185,dryer,Condo,2,2.90,9,10:00 AM,10:00 AM,3:00 PM,11:00 PM
It's just past 8 AM and I need to run the dishwasher. When should I start it?,"Bethlehem, PA",170,dishwasher,Rowhouse,3,1.25,7,8:00 AM,8:00 AM,2:00 PM,10:00 PM
It's around 3 in the afternoon and I need to run the washing machine. When should I start it?,"Hazleton, PA",160,washing_machine,Rowhouse,2,0.42,6,3:00 PM,3:00 PM,9:00 PM,2:00 AM
It's just past 7 PM and I need to run the dryer. When should I start it?,"Stroudsburg, PA",195,dryer,Rowhouse,4,3.10,11,7:00 PM,7:00 PM,11:00 PM,8:00 AM
It's around 8 in the morning and I need to run the dishwasher. When should I start it?,"Levittown, PA",135,dishwasher,Apartment,1,0.85,3,8:00 AM,8:00 AM,2:00 PM,11:00 PM
It's about 3 in the afternoon and I need to run the washing machine. When should I start it?,"Pottstown, PA",145,washing_machine,Single-family,2,0.30,5,3:00 PM,3:00 PM,9:00 PM,6:00 AM
It's just past 7 PM and I need to run the dryer. When should I start it?,"Phoenixville, PA",155,dryer,Townhouse,1,2.80,6,7:00 PM,7:00 PM,11:00 PM,8:00 AM
It's around 11 in the morning and I need to run the dishwasher. When should I start it?,"Quakertown, PA",140,dishwasher,Apartment,2,1.10,4,11:00 AM,11:00 AM,3:00 PM,10:00 PM
It's around 2 in the afternoon � when should I run the dryer?,"McKeesport, PA",220,dryer,Townhouse,4,2.60,7,2:00 PM,2:00 PM,9:00 AM,10:00 PM
It's just got home � it's around 6 PM � and I need to run the dishwasher. When should I start it?,"Harrisburg, PA",200,dishwasher,Single-family,6,1.70,10,6:00 PM,6:00 PM,9:00 AM,10:00 PM
