Decision Type,Question,Location,Square Footage,Insulation,Household Size,Utility Budget,Housing Type,Outdoor Temp,House Age,Appliance Age,Flow rate,Alternative 1,Alternative 2,Alternative 3
HVAC,I'm going to be out all day — what AC temperature should I set?,"Media, PA",2000,Medium,3,310,Single-family,92,22,,,78,85,Off
HVAC,I'm leaving the house for most of the day — what AC temperature should I set?,"Newtown, PA",2100,Good,3,320,Single-family,88,12,,,78,85,Off
HVAC,We're winding down for the night — what AC temperature should I set overnight?,"Lower Merion, PA",2800,Good,4,375,Single-family,84,8,,,73,77,80
HVAC,We're calling it a night — what heat temperature should I set overnight?,"Meadville, PA",1800,Good,2,245,Single-family,12,20,,,65,68,72
HVAC,We're about to turn in — what heat temperature should I set overnight?,"Lebanon, PA",2100,Medium,3,260,Townhouse,20,24,,,66,70,73
HVAC,"With 3 people home, what heat temperature should I set?","Exton, PA",2400,Good,3,315,Single-family,22,1,,,67,70,75
HVAC,We're heading to bed soon — what heat temperature should I set overnight?,"Gettysburg, PA",2000,Good,3,315,Single-family,28,3,,,66,69,73
HVAC,I'm not planning to leave today with 4 people — what AC temperature should I set?,"Norristown, PA",2050,Poor,4,340,Single-family,94,24,,,70,75,80
HVAC,"With 3 people home, what AC temperature should I set?","Hazleton, PA",2100,Poor,3,350,Single-family,91,48,,,74,78,82
HVAC,"With 3 people home, what AC temperature should I set?","Blue Bell, PA",1600,Medium,3,270,Condo,68,15,,,68,70,72
HVAC,I'm staying home today with 2 people — what heat temperature should I set?,"Scranton, PA",980,Medium,2,185,Apartment,8,18,,,66,69,72
HVAC,I'm home and not going out with 4 people — what heat temperature should I set?,"Allentown, PA",1600,Medium,4,205,Townhouse,42,29,,,65,68,71
HVAC,I'm out of the house for a while — what AC temperature should I set?,"Harrisburg, PA",1850,Good,2,190,Single-family,68,14,,,66,72,78
HVAC,"With 4 people home, what AC temperature should I set?","Pittsburgh, PA",1320,Poor,4,215,Rowhouse,72,74,,,68,72,76
HVAC,I'm working from home today with 2 people — what AC temperature should I set?,"Bethlehem, PA",1010,Good,2,165,Condo,78,16,,,72,76,79
HVAC,I'm home all day with 4 people — what AC temperature should I set?,"Media, PA",1720,Good,4,230,Townhouse,96,7,,,72,76,80
HVAC,I'm not going anywhere with 5 people — what AC temperature should I set?,"Philadelphia, PA",1450,Poor,5,255,Rowhouse,90,86,,,73,77,81
HVAC,I'm heading out for a quick errand — what heat temperature should I set for the single-family?,"Altoona, PA",1780,Medium,2,200,Single-family,29,41,,,62,66,69
HVAC,I'm sticking around the house with 1 person — what heat temperature should I set?,"Bethlehem, PA",690,Good,1,130,Apartment,24,12,,,66,69,72
Appliance,It's around 8 in the morning and I need to run the dishwasher. When should I start it?,"Greensburg, PA",,,2,150,Single-family,,,4,1.1,8:00 AM,2:00 PM,11:00 PM
Appliance,It's around 2 in the afternoon and I need to run the washing machine. When should I start it?,"Monroeville, PA",,,3,175,Townhouse,,,8,0.45,2:00 PM,9:00 PM,6:00 AM
Appliance,It's just past 5 PM — when should I run the dryer?,"Greensburg, PA",,,2,190,Townhouse,,,15,3.5,5:00 PM,2:00 PM,11:00 PM
Appliance,It's past 1 in the morning and I need to run the washing machine. When should I start it?,"Monroeville, PA",,,5,210,Apartment,,,10,0.65,1:00 AM,9:00 AM,2:00 PM
Appliance,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Indiana, PA",,,4,180,Townhouse,,,7,2.8,3:00 PM,8:00 PM,11:00 PM
Appliance,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dishwasher. When should I run it?","York, PA",,,4,200,Townhouse,,,7,1.4,2:00 PM,3:00 PM,11:00 PM
Appliance,"It's mid-afternoon, about 2 and I need to run the dryer. When should I start it?","Philadelphia, PA",,,3,175,Townhouse,,,10,3,2:00 PM,11:00 PM,7:00 PM
Appliance,It's around 7 in the evening — when should I run the dishwasher?,"Philadelphia, PA",,,3,150,Single-family,,,2,0.95,7:00 PM,5:00 PM,4:00 PM
Appliance,It's around 8 at night and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",,,4,120,Single-family,,,6,0.95,8:00 PM,5:00 PM,1:00 AM
Appliance,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the washing machine. When should I run it?","Norristown, PA",,,3,120,Apartment,,,4,0.38,2:00 PM,10:00 PM,1:00 AM
Appliance,It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Philadelphia, PA",,,3,120,Apartment,,,12,3.2,3:00 PM,10:00 PM,8:00 AM
Appliance,It's getting close to midnight — when should I run the washing machine?,"Pittsburgh, PA",,,5,175,Single-family,,,6,0.22,11:00 PM,3:00 PM,5:00 PM
Appliance,"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Altoona, PA",,,3,120,Single-family,,,12,3.5,4:00 PM,1:00 AM,10:00 PM
Appliance,"It's late afternoon, around 4 and I'm trying to figure out when to start the washing machine. When should I run it?","Erie, PA",,,4,175,Apartment,,,7,0.28,4:00 PM,12:00 PM,9:00 PM
Appliance,It's just past 5 PM and I need to run the dishwasher. When should I start it?,"York, PA",,,2,120,Townhouse,,,15,0.95,5:00 PM,1:00 AM,7:00 PM
Appliance,It's around 5 in the evening and I need to run the dryer. When should I start it?,"Easton, PA",,,5,175,Townhouse,,,4,3.5,5:00 PM,10:00 PM,1:00 AM
Appliance,It's just past midnight — when should I run the dishwasher?,"York, PA",,,3,150,Townhouse,,,3,0.3,9:00 PM,12:00 AM,2:00 PM
Appliance,"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Philadelphia, PA",,,4,175,Apartment,,,15,3.5,4:00 PM,11:00 PM,9:00 AM
Appliance,It's around 2 in the afternoon and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",,,4,200,Apartment,,,6,0.95,2:00 PM,12:00 AM,11:00 PM
Appliance,It's past 1 in the morning — when should I run the dryer?,"Pittsburgh, PA",,,4,175,Townhouse,,,12,1.2,1:00 AM,2:00 PM,8:00 PM
Appliance,It's just past 8 PM and I need to run the washer. When should I start it?,"McKeesport, PA",,,3,200,Townhouse,,,8,0.38,8:00 PM,10:00 AM,4:00 PM
Appliance,It's right at midnight and I need to run the dryer. When should I start it?,"Erie, PA",,,4,150,Apartment,,,3,3.5,12:00 AM,7:00 PM,3:00 PM
Appliance,"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dryer. When should I run it?","York, PA",,,2,150,Apartment,,,5,2.5,2:00 PM,2:00 AM,9:00 PM
Appliance,It's just past 7 PM and I need to run the dishwasher. When should I start it?,"York, PA",,,3,195,Townhouse,,,6,1.15,7:00 PM,10:00 PM,1:00 AM
Appliance,It's about 7 in the morning and I need to run the dishwasher. When should I start it?,"McKeesport, PA",,,2,340,Apartment,,,10,1.55,7:00 PM,10:00 PM,12:00 AM
Appliance,It's just after 8 AM and I need to run the washer. When should I start it?,"Altoona, PA",,,2,210,Apartment,,,2,0.22,7:00 AM,10:00 AM,1:00 PM
Appliance,It's just past 5 PM and I need to run the dryer. When should I start it?,"Chester, PA",,,4,295,Townhouse,,,8,2.9,5:00 PM,2:00 PM,12:00 AM
Appliance,It's around 8 in the morning and I need to run the washer. When should I start it?,"Easton, PA",,,3,175,Single-family,,,10,0.45,7:00 AM,10:00 AM,2:00 PM
Appliance,It's about 9 in the morning and I need to run the washer. When should I start it?,"Doylestown, PA",,,5,385,Single-family,,,6,0.38,8:00 AM,12:00 PM,4:00 PM
Appliance,It's about 9 in the morning and I need to run the dryer. When should I start it?,"Scranton, PA",,,2,195,Apartment,,,10,3.5,9:00 AM,12:00 PM,3:00 PM
Appliance,It's around 10 in the morning and I need to run the dishwasher. When should I start it?,"Philadelphia, PA",,,3,175,Townhouse,,,5,1.25,10:00 AM,3:00 PM,11:00 PM
Appliance,It's just after 8 AM and I need to run the dryer. When should I start it?,"Allentown, PA",,,3,200,Single-family,,,4,2.5,8:00 AM,6:00 PM,12:00 AM
Appliance,It's just got home — it's around 6 PM — and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",,,2,150,Apartment,,,5,1.25,10:00 AM,3:00 PM,11:00 PM
Appliance,"It's late afternoon, just past 3 and I need to run the washing machine. When should I start it?","Pittsburgh, PA",,,4,175,Single-family,,,4,0.38,3:00 PM,7:00 PM,12:00 AM
Appliance,It's just past 9 AM — when should I run the dryer?,"McKeesport, PA",,,3,200,Townhouse,,,6,2.8,9:00 AM,2:00 PM,11:00 PM
Appliance,It's just past 7 PM and I need to run the dishwasher. When should I start it?,"McKeesport, PA",,,3,120,Apartment,,,8,0.95,7:00 PM,10:00 PM,12:00 AM
Appliance,It's around 2 in the afternoon and I need to run the washing machine. When should I start it?,"Pittsburgh, PA",,,2,150,Townhouse,,,3,0.28,2:00 PM,7:00 AM,10:00 PM
Appliance,It's around 5 in the evening — when should I run the washing machine?,"Harrisburg, PA",,,3,120,Single-family,,,1,0.23,5:00 PM,9:00 AM,10:00 PM
Appliance,"It's late afternoon, just past 3 and I need to run the dryer. When should I start it?","Philadelphia, PA",,,4,200,Single-family,,,15,3.2,3:00 PM,8:00 AM,11:00 PM
Appliance,It's nearly 11 at night and I need to run the washing machine. When should I start it?,"Scranton, PA",,,3,150,Apartment,,,5,0.38,11:00 PM,8:00 AM,2:00 PM
Appliance,It's late — just past 10 PM and I need to run the dryer. When should I start it?,"Philadelphia, PA",,,4,150,Apartment,,,6,2.5,10:00 PM,9:00 AM,2:00 PM
Appliance,It's just past midnight and I need to run the washing machine. When should I start it?,"York, PA",,,2,175,Apartment,,,4,0.35,12:00 AM,10:00 AM,3:00 PM
Appliance,It's just gone 1 AM and I need to run the dryer. When should I start it?,"Erie, PA",,,2,150,Apartment,,,8,3,1:00 AM,9:00 AM,2:00 PM
Appliance,It's getting close to midnight — when should I run the washing machine?,"Greensburg, PA",,,3,175,Townhouse,,,5,0.45,11:00 PM,8:00 AM,3:00 PM
Appliance,It's around 8 in the morning and I need to run the dishwasher. When should I start it?,"Doylestown, PA",,,5,175,Single-family,,,4,1.25,8:00 AM,12:00 PM,6:00 PM
Appliance,It's 3 in the morning and I need to run the dryer. When should I start it?,"Chester, PA",,,5,175,Apartment,,,5,2.8,3:00 AM,10:00 AM,3:00 PM
Appliance,It's just past 8 PM and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",,,5,160,Single-family,,,3,1.1,8:00 PM,9:00 AM,11:00 PM
Appliance,It's nearly 11 at night — when should I run the washing machine?,"Altoona, PA",,,4,155,Apartment,,,6,0.42,11:00 PM,10:00 AM,3:00 PM
Appliance,It's about 4 in the afternoon and I need to run the dryer. When should I start it?,"Bethlehem, PA",,,4,195,Townhouse,,,8,2.8,4:00 PM,6:00 PM,10:00 PM
Appliance,"It's late afternoon, just past 3 — when should I run the dishwasher?","Greensburg, PA",,,3,180,Townhouse,,,6,1.05,3:00 PM,9:00 PM,11:00 PM
Shower,How long should I shower?,"Erie, PA",,,2,185,Apartment,28,,105,low,3,5,8
Shower,How long should I shower?,"Harrisburg, PA",,,2,190,Townhouse,75,,120,high,5,7,10
Shower,How long should I shower?,"Allentown, PA",,,4,260,Single-family,78,,130,low,5,7,10
Shower,How long should I shower?,"Erie, PA",,,4,300,Single-family,28,,120,high,6,9,12
Shower,How long should I shower?,"Uniontown, PA",,,2,180,Apartment,32,,120,low,5,7,10
Shower,How long should I shower?,"Bethlehem, PA",,,5,240,Townhouse,30,,120,low,3,6,9
Shower,How long should I shower?,"Reading, PA",,,5,350,Single-family,82,,120,high,5,8,12
Shower,How long should I shower?,"York, PA",,,5,320,Single-family,20,,135,high,8,12,16
Shower,How long should I shower?,"State College, PA",,,4,290,Single-family,30,,120,high,6,10,15
Shower,How long should I shower?,"Doylestown, PA",,,3,310,Single-family,85,,120,high,6,9,12
Shower,How long should I shower?,"King of Prussia, PA",,,6,390,Single-family,15,,135,high,12,15,18
Shower,How long should I shower?,"Pottstown, PA",,,2,210,Apartment,78,,120,medium,5,8,12
Shower,How long should I shower?,"Exton, PA",,,5,410,Townhouse,88,,140,high,10,14,18
Shower,How long should I shower?,"Newtown, PA",,,4,230,Apartment,22,,105,medium,2,3,5
Shower,How long should I shower?,"Hazleton, PA",,,3,250,Townhouse,30,,120,high,5,8,12
Shower,How long should I shower?,"Chambersburg, PA",,,4,320,Single-family,55,,120,high,4,7,10
Shower,How long should I shower?,"Johnstown, PA",,,4,240,Townhouse,58,,120,medium,3,8,15
Shower,How long should I shower?,"Lebanon, PA",,,2,195,Apartment,65,,120,high,4,10,18
Shower,How long should I shower?,"Monroeville, PA",,,4,280,Single-family,50,,120,medium,5,12,20
Shower,How long should I shower?,"Carlisle, PA",,,3,255,Townhouse,72,,120,medium,6,10,16
Shower,How long should I shower?,"Coatesville, PA",,,2,200,Apartment,52,,105,medium,5,8,12
Shower,How long should I shower?,"DuBois, PA",,,3,240,Single-family,45,,105,high,5,8,12
Shower,How long should I shower?,"Chester, PA",,,3,260,Single-family,55,,130,high,5,8,12
Shower,How long should I shower?,"Butler, PA",,,5,320,Single-family,55,,120,high,8,10,12
Shower,How long should I shower?,"Indiana, PA",,,6,380,Single-family,60,,120,high,8,10,12
Shower,How long should I shower?,"Phoenixville, PA",,,3,260,Apartment,92,,120,high,5,8,12
Shower,How long should I shower?,"Carlisle, PA",,,2,200,Apartment,42,,120,high,4,7,10
Shower,How long should I shower?,"DuBois, PA",,,5,350,Single-family,38,,120,high,4,7,10
Shower,How long should I shower?,"Gettysburg, PA",,,3,235,Townhouse,55,,120,medium,1,6,12
Shower,How long should I shower?,"Easton, PA",,,2,190,Apartment,62,,120,high,7,14,22
Shower,How long should I shower?,"Butler, PA",,,3,245,Single-family,50,,105,medium,5,8,12
Shower,How long should I shower?,"Hazleton, PA",,,2,205,Apartment,58,,135,high,5,8,12
Shower,How long should I shower?,"Lebanon, PA",,,4,260,Townhouse,55,,120,high,6,8,10
Shower,How long should I shower?,"Monroeville, PA",,,8,490,Single-family,58,,120,high,8,10,12
Shower,How long should I shower?,"Bradford, PA",,,2,190,Single-family,5,,120,medium,5,8,12
HVAC,I'm staying in today with 3 people — what heat temperature should I set?,"Meadville, PA",1900,Good,3,265,Single-family,25,22,,,64,67,70
HVAC,"With 4 people home, what heat temperature should I set?","Greensburg, PA",2100,Medium,4,290,Single-family,18,28,,,62,65,68
HVAC,I'm heading out for the day — what heat temperature should I set?,"McKeesport, PA",1350,Poor,2,195,Apartment,14,35,,,58,61,64
HVAC,I'm around all day with 2 people — what heat temperature should I set?,"Monroeville, PA",1500,Medium,2,215,Townhouse,28,20,,,64,67,70
HVAC,We're calling it a night — what heat temperature should I set overnight?,"New Castle, PA",2000,Good,3,275,Single-family,10,18,,,60,63,66
HVAC,I'm not going anywhere with 3 people — what heat temperature should I set?,"Bradford, PA",1700,Poor,3,235,Single-family,5,40,,,62,65,68
HVAC,I'm stepping out for a few hours — what heat temperature should I set?,"Oil City, PA",1600,Medium,2,210,Rowhouse,22,30,,,60,63,66
HVAC,"With 5 people home, what heat temperature should I set?","Uniontown, PA",2400,Poor,5,365,Single-family,12,25,,,62,65,68
HVAC,I'm working from home today with 2 people — what AC temperature should I set?,"Gettysburg, PA",1800,Good,2,235,Single-family,89,15,,,73,76,79
HVAC,I'm out running errands all day — what AC temperature should I set?,"Chambersburg, PA",1650,Medium,3,250,Townhouse,91,22,,,78,81,84
Appliance,It's around 9 in the morning and I need to run the dishwasher. When should I start it?,"Exton, PA",,,2,170,Condo,,,5,1.05,9:00 AM,3:00 PM,11:00 PM
Appliance,It's just past 6 PM and I need to run the washing machine. When should I start it?,"West Chester, PA",,,1,155,Condo,,,4,0.35,6:00 PM,11:00 PM,8:00 AM
Appliance,It's about 10 in the morning and I need to run the dryer. When should I start it?,"Coatesville, PA",,,2,185,Condo,,,9,2.9,10:00 AM,3:00 PM,11:00 PM
Appliance,It's just past 8 AM and I need to run the dishwasher. When should I start it?,"Bethlehem, PA",,,3,170,Rowhouse,,,7,1.25,8:00 AM,2:00 PM,10:00 PM
Appliance,It's around 3 in the afternoon and I need to run the washing machine. When should I start it?,"Hazleton, PA",,,2,160,Rowhouse,,,6,0.42,3:00 PM,9:00 PM,2:00 AM
Appliance,It's just past 7 PM and I need to run the dryer. When should I start it?,"Stroudsburg, PA",,,4,195,Rowhouse,,,11,3.1,7:00 PM,11:00 PM,8:00 AM
Appliance,It's around 8 in the morning and I need to run the dishwasher. When should I start it?,"Levittown, PA",,,1,135,Apartment,,,3,0.85,8:00 AM,2:00 PM,11:00 PM
Appliance,It's about 3 in the afternoon and I need to run the washing machine. When should I start it?,"Pottstown, PA",,,2,145,Single-family,,,5,0.3,3:00 PM,9:00 PM,6:00 AM
Appliance,It's just past 7 PM and I need to run the dryer. When should I start it?,"Phoenixville, PA",,,1,155,Townhouse,,,6,2.8,7:00 PM,11:00 PM,8:00 AM
Appliance,It's around 11 in the morning and I need to run the dishwasher. When should I start it?,"Quakertown, PA",,,2,140,Apartment,,,4,1.1,11:00 AM,3:00 PM,10:00 PM
Appliance,"It's mid-morning, about 10 and I need to run the dishwasher. When should I start it?","Pittsburgh, PA",,,2,150,Apartment,,,5,1.25,10:00 AM,3:00 PM,11:00 PM
Appliance,It's just past 5 PM and I need to run the washing machine. When should I start it?,"Scranton, PA",,,2,175,Apartment,,,32,0.85,5:00 PM,11:00 PM,6:00 AM
Shower,How long should I shower?,"Exton, PA",,,3,260,Condo,62,,120,high,3,5,8
Shower,How long should I shower?,"Pottstown, PA",,,2,195,Condo,75,,115,low,3,5,8
Shower,How long should I shower?,"Phoenixville, PA",,,4,310,Condo,55,,120,high,3,5,7
Shower,How long should I shower?,"Bethlehem, PA",,,2,200,Rowhouse,62,,115,low,3,5,8
Shower,How long should I shower?,"Hazleton, PA",,,3,250,Rowhouse,48,,120,high,3,5,8
Shower,How long should I shower?,"Wilkes-Barre, PA",,,4,280,Rowhouse,70,,120,low,3,5,7
Shower,How long should I shower?,"Meadville, PA",,,1,140,Apartment,38,,105,low,4,6,10
Shower,How long should I shower?,"New Castle, PA",,,1,150,Apartment,45,,110,low,4,6,10
Shower,How long should I shower?,"Uniontown, PA",,,2,160,Apartment,52,,115,low,3,5,8
Shower,How long should I shower?,"Williamsport, PA",,,3,255,Single-family,48,,120,high,3,5,8
Shower,How long should I shower?,"Williamsport, PA",,,2,195,Apartment,35,,120,low,3,5,8
Shower,How long should I shower?,"West Mifflin, PA",,,3,250,Townhouse,60,,120,high,3,5,8
Shower,How long should I shower?,"McKeesport, PA",,,2,190,Apartment,42,,120,low,3,5,8
Shower,How long should my showers be?,"Uniontown, PA",,,7,430,Single-family,58,,,2.5,8,10,12
Shower,How long should my showers be?,"Erie, PA",,,3,265,Apartment,10,,,2.5,5,8,12
Shower,"Given the number of people and water usage, what shower duration makes sense?","Scranton, PA",,,2,200,Single-family,20,,,2,5,8,12
Shower,How long should my showers be?,"Stroudsburg, PA",,,3,250,Single-family,32,,,2.5,5,8,12
Shower,What's the ideal shower length?,"Blue Bell, PA",,,2,195,Townhouse,75,,,2,5,8,12
Shower,What shower time would you suggest for my household's water and energy use?,"Phoenixville, PA",,,3,260,Apartment,92,,,2.5,5,8,12
HVAC,"With 4 people home on a hot day, what's the best AC setting?","Lancaster, PA",2500,Good,4,$500 ,Single-family,92,27,,,72,76,80
HVAC,Cold day today with 4 people home. What's a good heating temperature?,"Lancaster, PA",2500,Good,4,$500 ,Single-family,20,27,,,68,71,74
HVAC,We have an old system that's barely keeping up on this hot day. What temperature should I realistically set?,"Hazleton, PA",2100,Poor,3,$165 ,Single-family,91,48,,,74,78,82
HVAC,We're leaving the house for a few hours on a hot day. What should I set the AC to?,"Levittown, PA",1700,Medium,3,$300 ,Single-family,89,32,,,78,80,82
