Decision Type,Question,Location,Square Footage,Insulation,Household Size,Utility Budget,Housing Type,Outdoor Temp,House Age,Appliance Age,Flow rate,Alternative 1,Alternative 2,Alternative 3
Appliance,When should I do laundry today?,"Chester, PA",,,4,$295.00 ,Townhouse,,,11-Jan,,Run at 8am,Run at 11am,Run at 3pm
Appliance,When should I do laundry today?,"Easton, PA",,,3,$175.00 ,Single-family,,,15-May,,Run at 8am,Run at 10am,Run at 2pm
Appliance,When should I do laundry today?,"Lebanon, PA",,,5,$385.00 ,Single-family,,,3-Jan,,Run at 8am,Run at 12pm,Run at 4pm
Appliance,When should I run my dryer after washing clothes?,"Johnstown, PA",,,3,$260.00 ,Townhouse,,,11-Jan,,Run at 9am,Run at 12pm,Run at 4pm
Appliance,When should I run my dryer after washing clothes?,"Hazleton, PA",,,4,$320.00 ,Single-family,,,0-7,,Run at 9am,Run at 1pm,Run at 5pm
Appliance,When should I run my dryer after washing clothes?,"Scranton, PA",,,2,$195.00 ,Apartment,,,15-May,,Run at 9am,Run at 12pm,Run at 3pm
Appliance,When should I run my dryer after washing clothes?,"Reading, PA",,,3,$230 ,Townhouse,,,0-16,,Run at 10am,Run at 1pm,Run at 4pm
Shower,What's the ideal shower length?,"Erie, PA",4,,,240,Single-family,28,,,standard,6,9,12
Shower,What's the ideal shower length?,"Scranton, PA",2,,,205,Rowhouse,32,,,standard,5,7,10
Shower,What's the ideal shower length?,"Bethlehem, PA",3,,,260,Townhouse,60,,,low_flow,5,10,15
Shower,How long should my showers be?,"Reading, PA",5,,,195,Single-family,82,,,standard,5,8,12
Shower,How long should my showers be?,"York, PA",2,,,230,Condo,48,,,standard,5,10,15
Shower,How long should my showers be?,"West Chester, PA",3,,,340,Single-family,58,,,low_flow,5,7,10
Shower,How long should my showers be?,"State College, PA",4,,,270,Single-family,30,,,standard,6,10,15
Shower,How long should my showers be?,"Doylestown, PA",3,,,290,Single-family,85,,,standard,6,9,12
Shower,What's the ideal shower length?,"Media, PA",2,,,210,Twin,52,,,low_flow,5,8,12
Shower,What's the ideal shower length?,"Norristown, PA",4,,,235,Apartment,35,,,standard,6,10,15
Shower,What's the ideal shower length?,"King of Prussia, PA",3,,,360,Townhouse,62,,,standard,6,9,12
Shower,How long should my showers be?,"Pottstown, PA",2,,,200,Single-family,78,,,standard,5,8,12
Shower,What's the ideal shower length?,"Exton, PA",4,,,320,Single-family,55,,,standard,6,9,12
Shower,What's the ideal shower length?,"Newtown, PA",3,,,350,Single-family,33,,,standard,5,7,10
Shower,What's the ideal shower length?,"Wilkes-Barre, PA",2,,,225,Single-family,58,,,low_flow,2,16,29
