scenario_id,question,location,square_footage,insulation,household_size,utility_budget,housing_type,outdoor_temp,house_age,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,raw_kwh,raw_cost,raw_emissions
9,The house is unoccupied for 8 hours. What should I set the thermostat to?,"State College, PA",2100,Good,3,$300 ,Single-family,18,42,66,6.5,6.56,5.13,7.29,10.45,1.46,6.75
9,The house is unoccupied for 8 hours. What should I set the thermostat to?,"State College, PA",2100,Good,3,$300 ,Single-family,18,42,69,6.14,6.21,9.32,7.29,11.18,1.57,7.22
9,The house is unoccupied for 8 hours. What should I set the thermostat to?,"State College, PA",2100,Good,3,$300 ,Single-family,18,42,72,5.78,5.85,8.6,7.29,11.91,1.67,7.69
10,"With 1 people home on a hot day, what's the best AC setting?","Philadelphia, PA",900,Poor,1,$150 ,Apartment,93,47,78,7.53,7.58,8.6,9.59,8.36,1.17,5.4
10,"With 1 people home on a hot day, what's the best AC setting?","Philadelphia, PA",900,Poor,1,$150 ,Apartment,93,47,81,7.83,7.87,5.13,9.59,7.76,1.09,5.01
10,"With 1 people home on a hot day, what's the best AC setting?","Philadelphia, PA",900,Poor,1,$150 ,Apartment,93,47,84,8.12,8.16,1.53,7.29,7.16,1.0,4.63
11,Cold day today with 1 people home. What's a good heating temperature?,"Philadelphia, PA",900,Poor,1,$150 ,Apartment,24,47,64,8.27,8.31,2.86,7.29,6.86,0.96,4.43
11,Cold day today with 1 people home. What's a good heating temperature?,"Philadelphia, PA",900,Poor,1,$150 ,Apartment,24,47,67,7.97,8.01,6.11,7.29,7.48,1.05,4.83
11,Cold day today with 1 people home. What's a good heating temperature?,"Philadelphia, PA",900,Poor,1,$150 ,Apartment,24,47,70,7.66,7.7,10.0,7.29,8.11,1.14,5.24
12,The house is unoccupied for 4 hours today. What's the best AC temperature?,"Erie, PA",1800,Medium,4,$260 ,Single-family,82,21,74,8.03,8.07,8.46,10.0,7.35,1.03,4.75
12,The house is unoccupied for 4 hours today. What's the best AC temperature?,"Erie, PA",1800,Medium,4,$260 ,Single-family,82,21,77,8.34,8.37,9.25,10.0,6.73,0.94,4.35
12,The house is unoccupied for 4 hours today. What's the best AC temperature?,"Erie, PA",1800,Medium,4,$260 ,Single-family,82,21,80,8.64,8.67,6.65,10.0,6.11,0.86,3.95
13,The house is unoccupied for 4 hours. What should I set the thermostat to?,"Erie, PA",1800,Medium,4,$260 ,Single-family,15,21,66,6.67,6.73,4.71,7.29,10.11,1.42,6.53
13,The house is unoccupied for 4 hours. What should I set the thermostat to?,"Erie, PA",1800,Medium,4,$260 ,Single-family,15,21,69,6.35,6.41,9.25,7.29,10.76,1.51,6.95
13,The house is unoccupied for 4 hours. What should I set the thermostat to?,"Erie, PA",1800,Medium,4,$260 ,Single-family,15,21,72,6.03,6.1,8.46,7.29,11.41,1.6,7.37
14,"With 2 people home on a hot day, what's the best AC setting?","Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,89,23,76,8.65,8.68,10.0,9.59,6.1,0.85,3.94
14,"With 2 people home on a hot day, what's the best AC setting?","Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,89,23,79,8.81,8.84,7.83,9.59,5.77,0.81,3.72
14,"With 2 people home on a hot day, what's the best AC setting?","Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,89,23,82,8.98,9.0,4.06,10.0,5.44,0.76,3.51
15,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,26,23,67,9.76,9.78,6.11,7.29,3.84,0.54,2.48
15,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,26,23,70,9.59,9.61,10.0,7.29,4.19,0.59,2.7
15,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,26,23,73,9.42,9.44,7.83,7.29,4.53,0.63,2.93
16,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,91,17,72,7.71,7.75,5.73,9.59,8.0,1.12,5.17
16,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,91,17,75,7.91,7.96,9.25,9.59,7.59,1.06,4.9
16,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,91,17,79,8.19,8.23,7.59,9.59,7.03,0.98,4.54
17,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,19,17,68,8.51,8.54,8.46,7.29,6.38,0.89,4.12
17,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,19,17,71,8.3,8.33,9.25,7.29,6.81,0.95,4.4
17,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,19,17,74,8.08,8.12,6.65,7.29,7.25,1.01,4.68
18,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",1700,Medium,3,$240 ,Rowhouse,87,12,75,8.67,8.7,9.32,9.59,6.05,0.85,3.91
18,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",1700,Medium,3,$240 ,Rowhouse,87,12,78,8.9,8.93,8.6,10.0,5.59,0.78,3.61
18,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",1700,Medium,3,$240 ,Rowhouse,87,12,81,9.12,9.15,5.13,10.0,5.14,0.72,3.32
19,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",1700,Medium,3,$240 ,Rowhouse,23,12,67,8.56,8.59,6.11,7.29,6.28,0.88,4.06
19,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",1700,Medium,3,$240 ,Rowhouse,23,12,70,8.32,8.36,10.0,7.29,6.76,0.95,4.36
19,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",1700,Medium,3,$240 ,Rowhouse,23,12,73,8.09,8.13,7.83,7.29,7.23,1.01,4.67
20,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,90,5,76,8.57,8.6,10.0,9.59,6.26,0.88,4.04
20,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,90,5,79,8.79,8.82,7.83,9.59,5.81,0.81,3.75
20,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,90,5,82,9.02,9.04,4.06,10.0,5.35,0.75,3.46
21,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,21,5,66,8.45,8.49,5.13,7.29,6.49,0.91,4.19
21,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,21,5,69,8.22,8.26,9.32,7.29,6.97,0.98,4.5
21,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,21,5,72,7.99,8.03,8.6,7.29,7.44,1.04,4.81
22,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,94,1,76,7.6,7.65,10.0,9.59,8.22,1.15,5.31
22,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,94,1,79,7.9,7.95,7.34,9.59,7.61,1.07,4.91
22,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,94,1,82,8.21,8.24,2.61,9.59,7.0,0.98,4.52
23,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,17,1,66,6.76,6.81,4.28,7.29,9.94,1.39,6.42
23,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,17,1,69,6.44,6.5,9.18,7.29,10.58,1.48,6.83
23,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,17,1,72,6.13,6.19,8.3,7.29,11.22,1.57,7.24
24,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,88,1,73,8.27,8.31,7.59,9.59,6.87,0.96,4.43
24,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,88,1,76,8.46,8.5,10.0,9.59,6.48,0.91,4.18
24,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,88,1,79,8.65,8.69,7.59,10.0,6.09,0.85,3.93
25,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,22,1,68,8.85,8.88,8.46,7.29,5.69,0.8,3.67
25,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,22,1,71,8.65,8.68,9.25,7.29,6.09,0.85,3.94
25,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,22,1,74,8.45,8.49,6.65,7.29,6.5,0.91,4.2
26,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",1500,Poor,2,$180 ,Single-family,92,4,78,9.2,9.23,8.6,9.59,4.98,0.7,3.22
26,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",1500,Poor,2,$180 ,Single-family,92,4,81,9.39,9.42,5.13,9.59,4.59,0.64,2.96
26,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",1500,Poor,2,$180 ,Single-family,92,4,84,9.59,9.61,1.53,7.29,4.2,0.59,2.71
27,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",1500,Poor,2,$180 ,Single-family,20,4,65,8.91,8.94,4.06,7.29,5.57,0.78,3.6
27,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",1500,Poor,2,$180 ,Single-family,20,4,68,8.71,8.74,8.6,7.29,5.98,0.84,3.86
27,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",1500,Poor,2,$180 ,Single-family,20,4,71,8.5,8.54,9.32,7.29,6.39,0.89,4.13
28,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,89,5,76,8.5,8.53,10.0,9.59,6.4,0.9,4.13
28,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,89,5,79,8.74,8.77,7.83,9.59,5.92,0.83,3.82
28,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,89,5,82,8.97,9.0,4.06,10.0,5.44,0.76,3.51
29,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,24,5,66,8.52,8.55,5.13,7.29,6.37,0.89,4.11
29,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,24,5,69,8.27,8.31,9.32,7.29,6.87,0.96,4.43
29,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,24,5,72,8.02,8.06,8.6,7.29,7.37,1.03,4.76
30,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,84,7,75,9.05,9.08,9.32,10.0,5.29,0.74,3.42
30,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,84,7,78,9.26,9.29,8.6,10.0,4.86,0.68,3.14
30,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,84,7,81,9.47,9.5,6.11,10.0,4.42,0.62,2.86
31,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,16,7,66,8.26,8.3,5.13,7.29,6.88,0.96,4.44
31,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,16,7,69,8.04,8.08,9.32,7.29,7.33,1.03,4.74
31,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,16,7,72,7.82,7.86,8.6,7.29,7.78,1.09,5.03
32,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,91,9,78,9.23,9.26,8.6,9.59,4.92,0.69,3.18
32,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,91,9,81,9.42,9.44,5.13,9.59,4.53,0.63,2.93
32,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,91,9,84,9.61,9.63,1.53,7.29,4.15,0.58,2.68
33,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,19,9,65,8.95,8.98,4.06,7.29,5.48,0.77,3.54
33,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,19,9,68,8.75,8.78,8.6,7.29,5.89,0.82,3.8
33,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,19,9,71,8.55,8.59,9.32,7.29,6.29,0.88,4.06
34,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,90,10,71,6.64,6.7,4.61,9.59,10.17,1.42,6.57
34,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,90,10,75,6.99,7.05,9.25,9.59,9.45,1.32,6.1
34,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,90,10,79,7.35,7.4,7.59,9.59,8.74,1.22,5.64
35,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,23,10,68,7.84,7.89,8.46,7.29,7.73,1.08,4.99
35,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,23,10,71,7.57,7.61,9.25,7.29,8.29,1.16,5.36
35,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,23,10,74,7.29,7.34,6.65,7.29,8.85,1.24,5.72
36,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,93,12,75,7.11,7.16,9.18,9.59,9.23,1.29,5.96
36,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,93,12,78,7.41,7.46,8.3,9.59,8.61,1.21,5.56
36,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,93,12,81,7.72,7.76,4.06,9.59,7.99,1.12,5.16
37,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,18,12,66,6.93,6.98,4.28,7.29,9.59,1.34,6.19
37,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,18,12,69,6.61,6.67,9.18,7.29,10.23,1.43,6.61
37,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,18,12,72,6.29,6.35,8.3,7.29,10.88,1.52,7.03
38,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,88,13,76,8.25,8.28,10.0,9.59,6.92,0.97,4.47
38,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,88,13,79,8.5,8.54,7.83,10.0,6.39,0.89,4.13
38,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,88,13,82,8.76,8.8,4.06,10.0,5.86,0.82,3.79
39,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,21,13,66,7.96,8.0,5.13,7.29,7.5,1.05,4.84
39,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,21,13,69,7.69,7.73,9.32,7.29,8.04,1.13,5.19
39,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,21,13,72,7.42,7.47,8.6,7.29,8.59,1.2,5.55
40,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",2400,Good,4,$380 ,Single-family,91,14,73,7.58,7.62,7.59,9.59,8.28,1.16,5.34
40,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",2400,Good,4,$380 ,Single-family,91,14,76,7.79,7.83,10.0,9.59,7.84,1.1,5.06
40,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",2400,Good,4,$380 ,Single-family,91,14,79,8.01,8.05,7.59,9.59,7.4,1.04,4.78
41,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",2400,Good,4,$380 ,Single-family,20,14,67,8.47,8.5,5.82,7.29,6.46,0.91,4.17
41,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",2400,Good,4,$380 ,Single-family,20,14,70,8.24,8.28,10.0,7.29,6.92,0.97,4.47
41,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",2400,Good,4,$380 ,Single-family,20,14,73,8.02,8.06,7.59,7.29,7.38,1.03,4.76
42,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",1600,Poor,2,$190 ,Rowhouse,92,15,78,8.03,8.07,8.6,9.59,7.34,1.03,4.74
42,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",1600,Poor,2,$190 ,Rowhouse,92,15,81,8.32,8.36,5.13,9.59,6.76,0.95,4.37
42,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",1600,Poor,2,$190 ,Rowhouse,92,15,84,8.61,8.64,1.53,7.29,6.18,0.86,3.99
43,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",1600,Poor,2,$190 ,Rowhouse,22,15,65,7.75,7.79,4.06,7.29,7.92,1.11,5.12
43,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",1600,Poor,2,$190 ,Rowhouse,22,15,68,7.45,7.5,8.6,7.29,8.53,1.19,5.51
43,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",1600,Poor,2,$190 ,Rowhouse,22,15,71,7.15,7.2,9.32,7.29,9.14,1.28,5.9
44,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",2100,Good,3,$340 ,Single-family,89,17,74,7.94,7.98,8.6,9.59,7.54,1.06,4.87
44,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",2100,Good,3,$340 ,Single-family,89,17,77,8.14,8.18,9.32,9.59,7.13,1.0,4.6
44,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",2100,Good,3,$340 ,Single-family,89,17,80,8.35,8.38,6.11,10.0,6.71,0.94,4.33
45,It's a cold day. What should I set the thermostat to?,"Newtown, PA",2100,Good,3,$340 ,Single-family,24,17,67,8.96,8.99,6.11,7.29,5.47,0.77,3.53
45,It's a cold day. What should I set the thermostat to?,"Newtown, PA",2100,Good,3,$340 ,Single-family,24,17,70,8.74,8.78,10.0,7.29,5.91,0.83,3.81
45,It's a cold day. What should I set the thermostat to?,"Newtown, PA",2100,Good,3,$340 ,Single-family,24,17,73,8.53,8.56,7.83,7.29,6.34,0.89,4.09
46,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,87,19,75,7.71,7.75,9.25,9.59,8.01,1.12,5.17
46,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,87,19,78,8.01,8.05,8.46,10.0,7.4,1.04,4.78
46,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,87,19,81,8.31,8.35,4.61,10.0,6.78,0.95,4.38
47,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,19,19,66,7.12,7.17,4.71,7.29,9.2,1.29,5.94
47,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,19,19,69,6.81,6.86,9.25,7.29,9.84,1.38,6.35
47,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,19,19,72,6.49,6.55,8.46,7.29,10.48,1.47,6.76
48,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",1650,Poor,2,$195 ,Townhouse,90,21,78,7.31,7.35,8.6,9.59,8.82,1.24,5.7
48,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",1650,Poor,2,$195 ,Townhouse,90,21,81,7.67,7.72,5.13,10.0,8.08,1.13,5.22
48,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",1650,Poor,2,$195 ,Townhouse,90,21,84,8.04,8.08,1.53,7.29,7.34,1.03,4.74
49,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",1650,Poor,2,$195 ,Townhouse,23,21,65,6.8,6.85,4.06,7.29,9.86,1.38,6.36
49,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",1650,Poor,2,$195 ,Townhouse,23,21,68,6.41,6.47,8.6,7.29,10.63,1.49,6.86
49,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",1650,Poor,2,$195 ,Townhouse,23,21,71,6.03,6.1,9.32,7.29,11.4,1.6,7.36
50,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,91,25,76,5.51,5.58,10.0,9.59,12.47,1.75,8.05
50,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,91,25,79,5.95,6.02,7.83,9.59,11.57,1.62,7.47
50,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,91,25,82,6.4,6.46,4.06,10.0,10.67,1.49,6.89
51,It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,21,25,66,5.2,5.27,5.13,7.29,13.1,1.83,8.46
