Question,Location,Square Footage,Insulation,Household Size,Utility Budget,Housing Type,Outdoor Temp,House Age,R-Value,HVAC Age,SEER,Occupancy context,Alternative 1,Alternative 2,Alternative 3
I'm sticking around the house with 2 people — what AC temperature should I set?,"West Chester, PA",1400,Good,2,220,Condo,79,8,23,5,16,occupied_all_day,73,77,80
"With 4 people home, what heat temperature should I set?","Lancaster, PA",2200,Good,4,355,Single-family,48,20,21,16,14,standard,66,69,72
I'm planning to stay in all day with 2 people — what heat temperature should I set?,"Pittsburgh, PA",1800,Medium,2,220,Townhouse,42,30,14,25,12,occupied_all_day,65,68,72
"With 4 people home, what heat temperature should I set?","Scranton, PA",1700,Medium,4,265,Rowhouse,40,22,16,18,13,standard,66,70,74
I'm around all day with 3 people — what AC temperature should I set?,"Philadelphia, PA",2000,Medium,3,310,Single-family,95,20,15,18,13,occupied_all_day,71,76,82
"With 4 people home, what AC temperature should I set?","Reading, PA",2400,Poor,4,380,Single-family,90,28,9,22,12,standard,70,76,79
I'm heading out and won't be back for hours — what AC temperature should I set?,"King of Prussia, PA",1800,Good,2,270,Townhouse,92,14,24,10,16,unoccupied_8hr,73,77,82
"With 3 people home, what heat temperature should I set?","Williamsport, PA",2100,Medium,3,280,Single-family,18,25,16,20,13,standard,64,68,74
I'm home for the day with 2 people — what heat temperature should I set?,"Hazleton, PA",1600,Poor,2,230,Apartment,22,40,9,32,10,occupied_all_day,65,70,76
I'm going to be out all day — what AC temperature should I set?,"Media, PA",2000,Medium,3,310,Single-family,92,22,16,18,13,unoccupied_8hr,78,85,Off
I'm leaving the house for most of the day — what AC temperature should I set?,"Newtown, PA",2100,Good,3,320,Single-family,88,12,23,10,15,unoccupied_8hr,78,85,Off
We're winding down for the night — what AC temperature should I set overnight?,"Lower Merion, PA",2800,Good,4,375,Single-family,84,8,24,6,17,overnight_sleep,73,77,80
We're calling it a night — what heat temperature should I set overnight?,"Meadville, PA",1800,Good,2,245,Single-family,12,20,21,16,15,overnight_sleep,65,68,72
We're about to turn in — what heat temperature should I set overnight?,"Lebanon, PA",2100,Medium,3,260,Townhouse,20,24,15,20,13,overnight_sleep,66,70,73
"With 3 people home, what heat temperature should I set?","Exton, PA",2400,Good,3,315,Single-family,22,1,24,1,22,standard,67,70,75
We're heading to bed soon — what heat temperature should I set overnight?,"Gettysburg, PA",2000,Good,3,315,Single-family,28,3,22,3,20,overnight_sleep,66,69,73
I'm spending the day at home with 3 people — what AC temperature should I set?,"Stroudsburg, PA",2300,Good,3,340,Single-family,77,22,20,19,15,occupied_all_day,73,77,80
I'm heading out for the day — what heat temperature should I set?,"Lebanon, PA",2000,Poor,2,230,Apartment,44,32,9,26,12,unoccupied_8hr,65,68,71
I'm not planning to leave today with 4 people — what AC temperature should I set?,"Norristown, PA",2050,Poor,4,340,Single-family,94,24,11,20,13,occupied_all_day,70,75,80
"With 2 people home, what heat temperature should I set?","DuBois, PA",1850,Good,2,275,Single-family,10,33,20,28,13,standard,63,68,75
"With 3 people home, what AC temperature should I set?","Hazleton, PA",2100,Poor,3,350,Single-family,91,48,10,33,9,standard,74,78,82
"With 3 people home, what AC temperature should I set?","Blue Bell, PA",1600,Medium,3,270,Condo,68,15,17,8,14,standard,68,70,72
I'm staying home today with 2 people — what heat temperature should I set?,"Scranton, PA",980,Medium,2,185,Apartment,8,18,16,6,16,occupied_all_day,66,69,72
We're just getting in for the night — what heat temperature should I set overnight?,"Erie, PA",2750,Good,6,285,Single-family,5,11,24,4,18,overnight_sleep,63,66,69
I'm home and not going out with 4 people — what heat temperature should I set?,"Allentown, PA",1600,Medium,4,205,Townhouse,42,29,15,11,15,occupied_all_day,65,68,71
I'm stepping out for a few hours — what heat temperature should I set for the condo?,"King of Prussia, PA",1120,Good,1,155,Condo,50,9,21,5,17,unoccupied_4hr,62,66,69
"With 3 people home, what heat temperature should I set?","Reading, PA",2250,Poor,3,245,Single-family,54,52,11,19,12,standard,65,68,70
I'm staying put today with 1 person — what heat temperature should I set?,"State College, PA",760,Medium,1,135,Apartment,62,24,17,8,15,occupied_all_day,68,72,76
I'm out of the house for a while — what AC temperature should I set?,"Harrisburg, PA",1850,Good,2,190,Single-family,68,14,23,3,18,unoccupied_8hr,66,72,78
We're done for the day — what heat temperature should I set overnight?,"York, PA",1480,Medium,3,180,Townhouse,59,35,14,13,14,overnight_sleep,64,68,72
"With 4 people home, what AC temperature should I set?","Pittsburgh, PA",1320,Poor,4,215,Rowhouse,72,74,9,18,12,standard,68,72,76
I'm working from home today with 2 people — what AC temperature should I set?,"Bethlehem, PA",1010,Good,2,165,Condo,78,16,22,7,17,occupied_all_day,72,76,79
I'm away most of today — what AC temperature should I set?,"Lancaster, PA",1550,Medium,3,195,Townhouse,82,31,16,10,15,unoccupied_8hr,76,80,83
"With 1 person home, what AC temperature should I set?","Wilkes-Barre, PA",880,Poor,1,145,Apartment,80,44,10,16,13,standard,74,77,81
I'm out running errands all day — what AC temperature should I set?,"West Chester, PA",2950,Medium,5,300,Single-family,83,22,18,9,16,unoccupied_12hr,77,81,84
I'm home all day with 4 people — what AC temperature should I set?,"Media, PA",1720,Good,4,230,Townhouse,96,7,24,4,19,occupied_all_day,72,76,80
I'm leaving for work shortly — what AC temperature should I set?,"Norristown, PA",1180,Medium,2,175,Condo,98,26,15,12,14,unoccupied_8hr,78,81,84
I'm not going anywhere with 5 people — what AC temperature should I set?,"Philadelphia, PA",1450,Poor,5,255,Rowhouse,90,86,8,21,11,occupied_all_day,73,77,81
I'm heading out for a quick errand — what heat temperature should I set for the single-family?,"Altoona, PA",1780,Medium,2,200,Single-family,29,41,13,15,13,unoccupied_4hr,62,66,69
I'm sticking around the house with 1 person — what heat temperature should I set?,"Bethlehem, PA",690,Good,1,130,Apartment,24,12,20,6,16,occupied_all_day,66,69,72
I'm gone for the entire workday — what heat temperature should I set?,"Erie, PA",1700,Medium,2,220,Single-family,18,25,14,22,13,unoccupied_12hr,60,63,66
I'm working from home today with 3 people — what AC temperature should I set?,"Pittsburgh, PA",1750,Good,3,250,Townhouse,87,15,22,12,14,occupied_all_day,73,76,79
I'm heading out for the day — what heat temperature should I set?,"West Mifflin, PA",1500,Medium,2,200,Single-family,22,30,14,25,12,unoccupied_8hr,60,63,66
"With 4 people home, what AC temperature should I set?","Pittsburgh, PA",2200,Medium,4,320,Single-family,92,28,14,22,13,standard,76,79,82
I'm staying in today with 3 people — what heat temperature should I set?,"Meadville, PA",1900,Good,3,265,Single-family,25,22,20,18,14,occupied_all_day,64,67,70
"With 4 people home, what heat temperature should I set?","Greensburg, PA",2100,Medium,4,290,Single-family,18,28,15,24,12,standard,62,65,68
I'm heading out for the day — what heat temperature should I set?,"McKeesport, PA",1350,Poor,2,195,Apartment,14,35,10,28,11,unoccupied_8hr,58,61,64
I'm around all day with 2 people — what heat temperature should I set?,"Monroeville, PA",1500,Medium,2,215,Townhouse,28,20,14,16,13,occupied_all_day,64,67,70
We're calling it a night — what heat temperature should I set overnight?,"New Castle, PA",2000,Good,3,275,Single-family,10,18,22,14,15,overnight_sleep,60,63,66
I'm not going anywhere with 3 people — what heat temperature should I set?,"Bradford, PA",1700,Poor,3,235,Single-family,5,40,9,32,10,occupied_all_day,62,65,68
I'm stepping out for a few hours — what heat temperature should I set?,"Oil City, PA",1600,Medium,2,210,Rowhouse,22,30,14,22,13,unoccupied_4hr,60,63,66
"With 5 people home, what heat temperature should I set?","Uniontown, PA",2400,Poor,5,365,Single-family,12,25,9,20,11,standard,62,65,68
I'm working from home today with 2 people — what AC temperature should I set?,"Gettysburg, PA",1800,Good,2,235,Single-family,89,15,22,12,14,occupied_all_day,73,76,79
I'm out running errands all day — what AC temperature should I set?,"Chambersburg, PA",1650,Medium,3,250,Townhouse,91,22,16,18,13,unoccupied_12hr,78,81,84
I'm gone most of the day — what heat temperature should I set?,"Philadelphia, PA",1350,Poor,3,210,Rowhouse,12,68,10,40,9,unoccupied_8hr,60,64,68
We're winding down for the night — what AC temperature should I set overnight?,"Pittsburgh, PA",2050,Medium,3,220,Single-family,87,33,15,28,12,sleep,72,75,78
