Decision Type,Question,Location,square_footage,Insulation,household_size,Utility Budget,Housing Type,outdoor_temp,hvac_age,Appliance Age,Flow rate,Alternative 1,Alternative 2,Alternative 3
HVAC,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",2050,Medium,3,$270 ,Single-family,21,35-45 years,,,66,69,72
HVAC,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",2200,Poor,4,$180 ,Single-family,98,22-28 years,,,78,80,82
HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",2000,Medium,3,$250 ,Condo,92,30-40 years,,,76,78,80
HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",2400,Poor,5,$150 ,Single-family,97,1-5 years,,,79,81,83
HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Butler, PA",2500,Good,4,$600 ,Single-family,88,15-25 years,,,72,75,78
HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Coatesville, PA",1850,Medium,3,$200 ,Townhouse,91,45-65 years,,,77,79,81
HVAC,It's a hot day. What should I set my air conditioning to?,"Uniontown, PA",2100,Poor,4,$280 ,Single-family,95,50-70 years,,,78,80,82
HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Indiana, PA",1900,Medium,3,$250 ,Apartment,18,1-3 years,,,65,68,71
HVAC,It's a hot day. What should I set my air conditioning to?,"Meadville, PA",2200,Good,4,$400 ,Single-family,90,40-50 years,,,73,76,79
HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Greensburg, PA",1800,Poor,2,$170 ,Single-family,93,15-22 years,,,79,81,83
HVAC,It's a hot day. What should I set my air conditioning to?,"DuBois, PA",1950,Medium,3,$260 ,Single-family,89,25-35 years,,,76,77,78
HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Oil City, PA",2100,Good,4,$320 ,Townhouse,91,15-22 years,,,82,76,70
HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Reading, PA",2000,Medium,3,$290 ,Single-family,20,25-35 years,,,65,72,79
HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Carlisle, PA",2000,Poor,3,$300 ,Single-family,102,33-43 years,,,78,80,82
HVAC,Cold day today with 4 people home. What's a good heating temperature?,"Chambersburg, PA",2200,Poor,4,$280 ,Single-family,5,10-15 years,,,66,69,72
HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",1800,Medium,2,$220 ,Condo,60,12 years,,,68,70,72
Appliance,I need to dry clothes this afternoon (around 2 PM). When should I start?,"York, PA",,,2,150,Apartment,,,0 to 10,,Dry at 2:00 PM,Dry at 2:00 AM,Dry at 9:00 PM
Appliance,Dinner's done around 7 PM. What's the best time to run the dishwasher?,"Lancaster, PA",,,3,150,Single-family,,,0 to 9,,Run dishwasher at 7:00 PM,Run dishwasher at 5:00 PM,Run dishwasher at 4:00 PM
Appliance,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Pittsburgh, PA",,,4,120,Single-family,,,1 to 11,,Run dishwasher at 8:00 PM,Run dishwasher at 5:00 PM,Run dishwasher at 1:00 AM
Appliance,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",,,3,120,Apartment,,,5 to 11,,Run dishwasher at 2:00 PM,Run dishwasher at 10:00 PM,Run dishwasher at 1:00 AM
Appliance,The dishwasher is full (around 1 AM). Should I run it now or delay it?,"Allentown, PA",,,4,120,Townhouse,,,0 to 9,,Run dishwasher at 1:00 AM,Run dishwasher at 3:00 PM,Run dishwasher at 11:00 PM
Appliance,I'm finally getting to laundry (around 1 AM). When should I start the washer?,"Philadelphia, PA",,,3,120,Apartment,,,1 to 11,,Wash at 1:00 AM,Wash at 7:00 PM,Wash at 3:00 PM
Appliance,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Lancaster, PA",,,5,150,Townhouse,,,3 to 13,,Wash at 5:00 PM,Wash at 2:00 PM,Wash at 10:00 PM
Appliance,Planning to run the washing machine around 11 PM. Is that okay or should I wait?,"Pittsburgh, PA",,,5,175,Single-family,,,1 to 11,,Wash at 11:00 PM,Wash at 3:00 PM,Wash at 5:00 PM
Appliance,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Harrisburg, PA",,,3,120,Apartment,,,0 to 9,,Wash at 5:00 PM,Wash at 2:00 PM,Wash at 9:00 PM
Appliance,Thinking of washing clothes around 4 PM. Good timing?,"Allentown, PA",,,3,120,Single-family,,,3 to 13,,Wash at 4:00 PM,Wash at 1:00 AM,Wash at 10:00 PM
Appliance,I have time to do laundry this afternoon (around 4 PM). When should I start?,"Erie, PA",,,4,175,Apartment,,,4 to 10,,Wash at 4:00 PM,Wash at 12:00 PM,Wash at 9:00 PM
Appliance,Thinking of washing clothes around 5 PM. Good timing?,"Scranton, PA",,,2,120,Townhouse,,,1 to 3,,Wash at 5:00 PM,Wash at 1:00 AM,Wash at 7:00 PM
Appliance,It's late (around 7 PM) but I need to wash clothes. Should I do it now?,"Bethlehem, PA",,,3,175,Single-family,,,2 to 22,,Wash at 7:00 PM,Wash at 2:00 PM,Wash at 1:00 AM
Appliance,I want to run a load of laundry around 5 PM. When's the best time?,"Reading, PA",,,5,175,Townhouse,,,2 to 12,,Wash at 5:00 PM,Wash at 10:00 PM,Wash at 1:00 AM
Appliance,Planning to run the washing machine around 9 PM. Is that okay or should I wait?,"York, PA",,,3,150,Townhouse,,,0 to 8,,Wash at 9:00 PM,Wash at 12:00 AM,Wash at 2:00 PM
Appliance,My laundry is ready to dry (around 2 PM). Should I run the dryer now or wait?,"Philadelphia, PA",,,4,175,Apartment,,,0 to 7,,Dry at 2:00 PM,Dry at 9:00 PM,Dry at 5:00 PM
Appliance,Planning to run the dryer around 2 PM. Is that a good time?,"Lancaster, PA",,,4,200,Apartment,,,2 to 12,,Dry at 2:00 PM,Dry at 12:00 AM,Dry at 11:00 PM
Appliance,I'm ready to dry clothes (around 1 AM). When should I start the dryer?,"Pittsburgh, PA",,,4,175,Townhouse,,,2 to 22,,Dry at 1:00 AM,Dry at 2:00 PM,Dry at 8:00 PM
Appliance,I'm ready to dry clothes (around 8 PM). When should I start the dryer?,"Harrisburg, PA",,,3,200,Townhouse,,,1 to 3,,Dry at 8:00 PM,Dry at 10:00 AM,Dry at 4:00 PM
Appliance,Planning to run the dryer around 1 AM. Is that the best time?,"Allentown, PA",,,3,200,Townhouse,,,0 to 6,,Dry at 1:00 AM,Dry at 9:00 PM,Dry at 4:00 PM
Appliance,It's late (around midnight) and I need to dry laundry. Should I start now or delay?,"Erie, PA",,,4,150,Apartment,,,0 to 6,,Dry at 12:00 AM,Dry at 7:00 PM,Dry at 3:00 PM
Appliance,I'm ready to dry clothes (around midnight). When should I start the dryer?,"Scranton, PA",,,2,200,Townhouse,,,3 to 13,,Dry at 12:00 AM,Dry at 10:00 PM,Dry at 4:00 PM
Appliance,My laundry is ready to dry (around 4 PM). Should I run the dryer now or wait?,"Bethlehem, PA",,,2,175,Single-family,,,2 to 22,,Dry at 4:00 PM,Dry at 10:00 PM,Dry at 6:00 AM
Appliance,Planning to run the dryer around 3 PM. Is that a good time?,"Reading, PA",,,2,200,Townhouse,,,5 to 25,,Dry at 3:00 PM,Dry at 11:00 PM,Dry at 1:00 AM
Appliance,When should I do dishes today?,"York, PA",,,2,150,Apartment,,,0 to 10,,Run dishwasher at 7:00 PM,Run dishwasher at 10:00 PM,Run dishwasher at 1:00 AM
Shower,What's the ideal shower length?,"Erie, PA",,,4,240,Single-family,28,,,standard,6,9,12
Shower,What's the ideal shower length?,"Scranton, PA",,,2,205,Rowhouse,32,,,standard,5,7,10
Shower,What's the ideal shower length?,"Bethlehem, PA",,,3,260,Townhouse,60,,,low_flow,5,10,15
Shower,How long should my showers be?,"Reading, PA",,,5,195,Single-family,82,,,standard,5,8,12
Shower,How long should my showers be?,"York, PA",,,2,230,Condo,48,,,standard,5,10,15
Shower,How long should my showers be?,"West Chester, PA",,,3,340,Single-family,58,,,low_flow,5,7,10
Shower,How long should my showers be?,"State College, PA",,,4,270,Single-family,30,,,standard,6,10,15
Shower,How long should my showers be?,"Doylestown, PA",,,3,290,Single-family,85,,,standard,6,9,12
Shower,What's the ideal shower length?,"Media, PA",,,2,210,Twin,52,,,low_flow,5,8,12
Shower,What's the ideal shower length?,"Norristown, PA",,,4,235,Apartment,35,,,standard,6,10,15
Shower,What's the ideal shower length?,"King of Prussia, PA",,,3,360,Townhouse,62,,,standard,6,9,12
Shower,How long should my showers be?,"Pottstown, PA",,,2,200,Single-family,78,,,standard,5,8,12
Shower,What's the ideal shower length?,"Exton, PA",,,4,320,Single-family,55,,,standard,6,9,12
Shower,What's the ideal shower length?,"Newtown, PA",,,3,350,Single-family,33,,,standard,5,7,10
Shower,What's the ideal shower length?,"Wilkes-Barre, PA",,,2,225,Single-family,58,,,low_flow,2,16,29
HVAC,It's warm but not scorching today. What should I set the AC to?,"Allentown, PA",1900,Medium,3,280,Single-family,78,15 years,,,73,76,
HVAC,The house will be empty for 4 hours on a mildly hot day. What AC temperature should I set?,"Doylestown, PA",2200,Good,4,350,Single-family,80,18 years,,,74,77,
HVAC,Someone's home all day and it's just barely hot enough for AC. What should I set it to?,"Erie, PA",1600,Poor,2,190,Townhouse,77,25 years,,,72,76,
HVAC,It's a warm afternoon but nothing extreme. What AC temperature makes sense?,"Harrisburg, PA",2500,Medium,5,320,Single-family,82,10 years,,,74,78,
HVAC,We're working from home on a warm day. What should I set the AC to?,"West Chester, PA",1400,Good,2,220,Condo,79,8 years,,,73,77,
HVAC,It's a cool fall morning. What should I set the heat to?,"Lancaster, PA",2200,Good,4,400,Single-family,48,20 years,,,66,69,
HVAC,It's chilly this morning but not freezing. What temperature should I set the heat to?,"Pittsburgh, PA",1800,Medium,2,250,Townhouse,42,30 years,,,65,68,
HVAC,The house will be empty for 4 hours on a mild winter day. What heat setting should I use?,"Bethlehem, PA",1500,Poor,3,200,Apartment,45,35 years,,,64,67,
HVAC,It's a brisk spring day. What should I set the thermostat to?,"State College, PA",2600,Good,3,300,Single-family,52,12 years,,,67,70,
HVAC,It's a cool evening in early fall. What heating temperature makes sense?,"Scranton, PA",1700,Medium,4,230,Rowhouse,40,22 years,,,66,70,
HVAC,It's very hot and I'm trying to decide between aggressive cooling or saving energy. What AC temperature should I set?,"Philadelphia, PA",2000,Medium,3,260,Single-family,95,20 years,,,71,76,
HVAC,"With 4 people home on a hot day, what's the best AC setting?","Reading, PA",2400,Poor,4,200,Single-family,90,28 years,,,70,76,
HVAC,The house will be empty for 8 hours today. What AC temperature should I set?,"King of Prussia, PA",1800,Good,2,350,Townhouse,92,14 years,,,73,77,
HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Williamsport, PA",2100,Medium,3,270,Single-family,18,25 years,,,64,68,
HVAC,Someone's home all day and it's cold. What heating temperature should I use?,"Hazleton, PA",1600,Poor,2,180,Apartment,22,40 years,,,65,70,
HVAC,We're away for 8 hours on a hot day. Should I leave the AC on low or turn it off?,"Media, PA",2000,Medium,3,240,Single-family,92,22 years,,,78,85,
HVAC,We're all out for 12 hours in the heat. Should I turn the AC off or set it high?,"Pottstown, PA",1700,Poor,2,190,Townhouse,95,30 years,,,80,Off (85),
HVAC,The house will be empty for 12 hours on a very cold day. How far should I set back the heat?,"Erie, PA",2400,Medium,4,280,Single-family,10,18 years,,,60,65,
HVAC,We're leaving for 8 hours in cold weather. Should I turn the heat off or keep it low?,"Altoona, PA",1900,Poor,3,175,Single-family,15,35 years,,,62,Off,
HVAC,Nobody's home for 8 hours on a warm day. Is it worth running the AC at all?,"Newtown, PA",2100,Good,3,340,Single-family,88,12 years,,,78,Off (85),
HVAC,I'm setting the thermostat for bedtime on a hot night. What AC temperature is best for sleeping?,"Philadelphia, PA",1500,Poor,2,180,Apartment,88,30 years,,,72,76,
HVAC,What AC temperature should I set for sleeping tonight?,"Lower Merion, PA",2800,Good,4,500,Single-family,84,8 years,,,73,77,
HVAC,I'm going to bed and it's warm out. What should I set the AC to for overnight?,"York, PA",2000,Medium,3,260,Single-family,82,16 years,,,74,76,
HVAC,I'm setting the thermostat for bedtime on a cold night. What heating temperature is best?,"Meadville, PA",1800,Good,2,220,Single-family,12,20 years,,,65,68,
HVAC,What heating temperature should I set for sleeping tonight? It's cold out.,"Lebanon, PA",2100,Medium,3,270,Townhouse,20,24 years,,,66,70,
HVAC,It's hot and our old AC struggles. What temperature should I set it to?,"Uniontown, PA",2200,Poor,4,170,Single-family,93,45 years,,,73,77,
HVAC,It's cold and our old furnace isn't very efficient. What should I set the heat to?,"Johnstown, PA",1900,Poor,3,160,Single-family,14,50 years,,,64,68,
HVAC,We just got a new high-efficiency system installed. What AC temperature should we use on this hot day?,"Blue Bell, PA",2600,Good,4,450,Single-family,91,2 years,,,72,76,
HVAC,We have a brand-new HVAC system and it's cold out. What heating temperature makes sense?,"Exton, PA",2400,Good,3,380,Single-family,22,1 years,,,67,70,
HVAC,Our AC is ancient and it's a scorching day. What's a realistic temperature to set?,"Indiana, PA",1700,Medium,2,190,Single-family,96,38 years,,,74,78,
HVAC,We just upgraded to a high-efficiency heat pump. What should I set the heat to tonight?,"Gettysburg, PA",2000,Good,3,320,Single-family,28,3 years,,,66,69,
Appliance,I want to run my dishwasher this morning (around 10 AM). When should I start it?,"Philadelphia, PA",,,3,175,Townhouse,,,5,,0.416666667,0.625,0.958333333
Appliance,I have time to do laundry this morning (around 9 AM). When should I start?,"Lancaster, PA",,,4,150,Single-family,,,6,,0.375,0.625,0
Appliance,My laundry is ready to dry (around 8 AM). Should I run the dryer now or wait?,"Allentown, PA",,,3,200,Single-family,,,4,,0.333333333,0.75,0
Appliance,Planning to run the dishwasher around 11 AM. Is that a good time?,"Norristown, PA",,,2,175,Apartment,,,3,,0.458333333,0.666666667,0.833333333
Appliance,I have time to do laundry this morning (around 9 AM). When should I start?,"Reading, PA",,,3,150,Townhouse,,,7,,0.375,0.833333333,0
Appliance,I want to run my dishwasher this morning (around 10 AM). When should I start it?,"Pittsburgh, PA",,,2,150,Apartment,,,5,,0.416666667,0.625,0.958333333
Appliance,I have time to do laundry this afternoon (around 3 PM). When should I start?,"Pittsburgh, PA",,,4,175,Single-family,,,4,,0.625,0.791666667,0
Appliance,My laundry is ready to dry (around 9 AM). Should I run the dryer now or wait?,"McKeesport, PA",,,3,200,Townhouse,,,6,,0.375,0.583333333,0.958333333
Appliance,Dinner's done around 7 PM. What's the best time to run the dishwasher?,"McKeesport, PA",,,3,120,Apartment,,,8,,0.791666667,0.916666667,0
Appliance,Planning to run the washing machine around 2 PM. Is that a good time?,"Pittsburgh, PA",,,2,150,Townhouse,,,3,,0.583333333,0.291666667,0.916666667
Appliance,I have time to do laundry this afternoon (around 4 PM). When should I start?,"State College, PA",,,2,150,Apartment,,,2,,0.666666667,0.375,0
Appliance,When should I do laundry today?,"Harrisburg, PA",,,3,120,Single-family,,,1,,0.708333333,0.375,0.916666667
Appliance,My laundry is ready to dry (around 3 PM). Should I run the dryer now or wait?,"Philadelphia, PA",,,4,200,Single-family,,,15,,0.625,0.333333333,0.958333333
Appliance,I need to dry clothes this evening (around 7 PM). When should I start?,"Bethlehem, PA",,,3,175,Townhouse,,,12,,0.791666667,0.375,0
Appliance,Planning to run the dishwasher around 3 PM. Is that a good time?,"Exton, PA",,,2,150,Apartment,,,2,,0.625,0.375,0.916666667
Appliance,Planning to run the washing machine around 11 PM. Is that okay or should I wait?,"Scranton, PA",,,3,150,Apartment,,,5,,0.958333333,0.333333333,0.583333333
Appliance,It's late (around 10 PM) and I need to dry laundry. Should I start now or wait?,"Philadelphia, PA",,,4,150,Apartment,,,6,,0.916666667,0.375,0.583333333
Appliance,It's late (around midnight) and I need to do laundry. Should I start now or wait?,"York, PA",,,2,175,Apartment,,,4,,0,0.416666667,0.625
Appliance,I'm ready to dry clothes (around 1 AM). When should I start the dryer?,"Erie, PA",,,2,150,Apartment,,,8,,0.041666667,0.375,0.583333333
Appliance,Planning to run the washing machine around 11 PM. Is that okay or should I wait?,"Greensburg, PA",,,3,175,Townhouse,,,5,,0.958333333,0.333333333,0.625
Appliance,I want to run my dishwasher this morning (around 8 AM). When should I start it?,"Doylestown, PA",,,5,175,Single-family,,,4,,0.333333333,0.5,0.75
Appliance,My laundry is ready to dry (around 2 PM). Should I run the dryer now or wait?,"Wilkes-Barre, PA",,,5,200,Single-family,,,7,,0.583333333,0.666666667,0.833333333
Appliance,Planning to run the dishwasher around 9 AM. Is that a good time?,"Lebanon, PA",,,4,150,Townhouse,,,5,,0.375,0.625,0.833333333
Appliance,It's late (around 2 AM) and I need to do laundry. Should I do it now or wait?,"Allentown, PA",,,6,120,Apartment,,,6,,0.083333333,0.416666667,0.625
Appliance,I'm ready to dry clothes (around 3 AM). When should I start the dryer?,"Chester, PA",,,5,175,Apartment,,,5,,0.125,0.416666667,0.625
Shower,How long should my showers be?,"Phoenixville, PA",,,3,260,Single-family,62,,,3,5,8,12
Shower,What's the ideal shower length?,"Greensburg, PA",,,4,300,Single-family,45,,,3,5,8,12
Shower,How long should my showers be?,"Hazleton, PA",,,3,250,Townhouse,30,,,3.5,5,8,12
Shower,What's the ideal shower length?,"Altoona, PA",,,2,210,Apartment,70,,,3.5,4,7,10
Shower,How long should my showers be?,"Chambersburg, PA",,,4,320,Single-family,55,,,4,4,7,10
Shower,What's the ideal shower length?,"Johnstown, PA",,,3,240,Townhouse,58,,,2,3,8,15
Shower,How long should my showers be?,"Lebanon, PA",,,2,195,Apartment,65,,,2.5,4,10,18
Shower,How long should my showers be?,"Monroeville, PA",,,4,280,Single-family,50,,,2,5,12,20
Shower,What's the ideal shower length?,"Stroudsburg, PA",,,2,185,Apartment,40,,,2.5,2,7,14
Shower,How long should my showers be?,"Carlisle, PA",,,3,255,Townhouse,72,,,2,6,10,16
Shower,How long should my showers be?,"Coatesville, PA",,,2,200,Apartment,52,,,2,5,8,12
Shower,What's the ideal shower length?,"DuBois, PA",,,3,240,Single-family,45,,,2.5,5,8,12
Shower,How long should my showers be?,"Gettysburg, PA",,,2,205,Townhouse,60,,,2,5,8,12
Shower,What's the ideal shower length?,"Chester, PA",,,3,260,Single-family,55,,,2.5,5,8,12
Shower,How long should my showers be?,"Easton, PA",,,4,290,Single-family,48,,,2.5,5,8,12
Shower,How long should my showers be?,"Butler, PA",,,5,320,Single-family,55,,,2.5,8,10,12
Shower,What's the ideal shower length?,"Meadville, PA",,,4,280,Single-family,50,,,3,8,10,12
Shower,How long should my showers be?,"Indiana, PA",,,6,380,Single-family,60,,,2.5,8,10,12
Shower,What's the ideal shower length?,"Oil City, PA",,,5,310,Single-family,55,,,2,8,10,12
Shower,How long should my showers be?,"Uniontown, PA",,,7,430,Single-family,58,,,2.5,8,10,12
Shower,How long should my showers be?,"Erie, PA",,,3,265,Apartment,10,,,2.5,5,8,12
Shower,What's the ideal shower length?,"Scranton, PA",,,2,200,Single-family,20,,,2,5,8,12
Shower,How long should my showers be?,"Stroudsburg, PA",,,3,250,Single-family,32,,,2.5,5,8,12
Shower,What's the ideal shower length?,"Blue Bell, PA",,,2,195,Townhouse,75,,,2,5,8,12
Shower,How long should my showers be?,"Phoenixville, PA",,,3,260,Apartment,92,,,2.5,5,8,12
